Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CANDARAVE
,Departamento:TACNA,Provincia:CANDARAVE,Distrito:CANDARAVE
,Latitud:17°16'4.86'',Longitud:70°15'14.72'',Altitud:3410,msnm.
,Tipo:EMA,-Meteorológica,Código:47E2C2BA
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/01/01,00:00,6.1,0.0,100,5,0.9
2023/01/01,01:00,6.1,0.0,100,127,1.1
2023/01/01,02:00,6.0,0.0,100,114,0.8
2023/01/01,03:00,6.0,0.0,100,121,0.8
2023/01/01,04:00,6.0,0.0,100,147,1.0
2023/01/01,05:00,6.0,0.0,100,210,0.5
2023/01/01,06:00,6.1,0.0,100,90,0.6
2023/01/01,07:00,6.6,0.0,100,111,0.9
2023/01/01,08:00,7.8,0.0,99,141,2.7
2023/01/01,09:00,7.5,0.0,100,101,0.9
2023/01/01,10:00,9.3,0.0,96,173,2.4
2023/01/01,11:00,10.0,0.0,90,157,1.9
2023/01/01,12:00,12.0,0.0,79,160,2.8
2023/01/01,13:00,12.3,0.0,78,141,6.1
2023/01/01,14:00,9.1,0.0,94,124,3.6
2023/01/01,15:00,7.6,0.0,100,111,2.5
2023/01/01,16:00,7.6,0.0,100,122,1.7
2023/01/01,17:00,7.4,0.0,100,141,2.3
2023/01/01,18:00,6.8,0.0,100,82,1.4
2023/01/01,19:00,6.4,0.0,100,91,0.9
2023/01/01,20:00,6.5,0.0,100,346,1.8
2023/01/01,21:00,7.1,0.4,100,152,1.7
2023/01/01,22:00,6.4,0.0,100,117,2.7
2023/01/01,23:00,5.9,0.1,100,15,0.7
2023/01/02,00:00,6.0,0.0,100,356,2.0
2023/01/02,01:00,6.2,0.0,100,3,1.7
2023/01/02,02:00,6.4,0.1,97,91,1.0
2023/01/02,03:00,5.7,0.0,99,348,1.8
2023/01/02,04:00,6.0,0.0,98,319,0.6
2023/01/02,05:00,6.0,0.0,98,1,S/D
2023/01/02,06:00,5.7,0.0,98,121,1.2
2023/01/02,07:00,6.0,0.0,99,349,1.0
2023/01/02,08:00,8.4,0.0,90,116,1.7
2023/01/02,09:00,10.1,0.0,81,137,3.4
2023/01/02,10:00,11.0,0.0,72,125,3.4
2023/01/02,11:00,11.6,0.0,73,148,4.1
2023/01/02,12:00,11.3,0.0,76,153,2.9
2023/01/02,13:00,11.5,0.0,77,168,2.7
2023/01/02,14:00,11.3,0.0,78,240,4.4
2023/01/02,15:00,10.0,0.0,85,310,1.2
