Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/06/01,00:00,1.4,0.0,38,283,7.8
2022/06/01,01:00,0.8,0.0,40,266,5.4
2022/06/01,02:00,0.7,0.0,40,271,4.8
2022/06/01,03:00,-0.1,0.0,40,290,3.1
2022/06/01,04:00,-0.1,0.0,40,277,3.4
2022/06/01,05:00,0.8,0.0,38,292,2.9
2022/06/01,06:00,-3.0,0.0,46,107,0.5
2022/06/01,07:00,-3.8,0.0,54,107,2.9
2022/06/01,08:00,-0.9,0.0,46,106,2.3
2022/06/01,09:00,4.0,0.0,36,307,3.6
2022/06/01,10:00,7.8,0.0,25,290,9.2
2022/06/01,11:00,9.2,0.0,24,312,5.0
2022/06/01,12:00,10.3,0.0,24,289,8.7
2022/06/01,13:00,9.9,0.0,24,284,6.8
2022/06/01,14:00,9.2,0.0,25,268,6.9
2022/06/01,15:00,7.9,0.0,27,241,9.3
2022/06/01,16:00,6.8,0.0,29,250,8.4
2022/06/01,17:00,4.6,0.0,34,256,8.0
2022/06/01,18:00,2.8,0.0,39,320,7.3
2022/06/01,19:00,1.3,0.0,46,300,8.3
2022/06/01,20:00,1.8,0.0,44,293,8.4
2022/06/01,21:00,1.8,0.0,44,284,8.7
2022/06/01,22:00,1.6,0.0,45,290,9.0
2022/06/01,23:00,1.2,0.0,45,296,7.9
2022/06/02,00:00,1.3,0.0,46,278,8.2
2022/06/02,01:00,1.3,0.0,44,283,8.5
2022/06/02,02:00,1.2,0.0,43,281,8.7
2022/06/02,03:00,0.5,0.0,45,292,8.5
2022/06/02,04:00,0.5,0.0,45,277,8.0
2022/06/02,05:00,0.7,0.0,39,249,7.1
2022/06/02,06:00,0.0,0.0,36,112,4.6
2022/06/02,07:00,-3.7,0.0,52,52,1.4
2022/06/02,08:00,-0.3,0.0,42,329,2.1
2022/06/02,09:00,6.1,0.0,20,317,5.5
2022/06/02,10:00,9.0,0.0,17,317,5.9
2022/06/02,11:00,10.7,0.0,16,303,4.1
2022/06/02,12:00,11.9,0.0,15,291,3.7
2022/06/02,13:00,12.4,0.0,17,260,5.6
2022/06/02,14:00,12.0,0.0,20,249,9.2
2022/06/02,15:00,11.0,0.0,22,253,9.4
2022/06/02,16:00,9.3,0.0,26,256,11.4
2022/06/02,17:00,7.5,0.0,31,258,11.3
2022/06/02,18:00,6.1,0.0,36,277,10.1
2022/06/02,19:00,4.9,0.0,41,305,11.6
2022/06/02,20:00,5.0,0.0,42,297,10.8
2022/06/02,21:00,4.2,0.0,43,311,8.1
2022/06/02,22:00,3.9,0.0,46,290,6.3
2022/06/02,23:00,4.0,0.0,49,292,6.4
2022/06/03,00:00,3.7,0.0,49,302,8.3
2022/06/03,01:00,3.9,0.0,50,297,6.7
2022/06/03,02:00,2.7,0.0,52,267,2.4
2022/06/03,03:00,2.6,0.0,52,303,4.7
2022/06/03,04:00,2.6,0.0,50,293,3.9
2022/06/03,05:00,0.9,0.0,56,294,4.2
2022/06/03,06:00,-1.0,0.0,63,104,1.9
2022/06/03,07:00,-3.9,0.0,75,338,0.7
2022/06/03,08:00,-0.4,0.0,65,26,0.7
2022/06/03,09:00,5.3,0.0,48,15,3.0
2022/06/03,10:00,8.3,0.0,41,13,3.8
2022/06/03,11:00,10.9,0.0,33,330,3.4
2022/06/03,12:00,11.9,0.0,30,279,2.6
2022/06/03,13:00,12.4,0.0,28,297,4.9
2022/06/03,14:00,12.2,0.0,28,281,5.1
2022/06/03,15:00,11.6,0.0,29,263,6.2
2022/06/03,16:00,9.8,0.0,31,264,9.9
2022/06/03,17:00,7.9,0.0,35,262,9.4
2022/06/03,18:00,7.2,0.0,37,287,7.7
2022/06/03,19:00,6.6,0.0,40,288,10.7
2022/06/03,20:00,6.1,0.0,42,299,5.6
2022/06/03,21:00,4.4,0.0,43,209,1.5
2022/06/03,22:00,2.5,0.0,47,25,0.6
2022/06/03,23:00,2.3,0.0,46,298,5.3
2022/06/04,00:00,2.9,0.0,43,69,0.7
2022/06/04,01:00,-1.1,0.0,56,200,1.0
2022/06/04,02:00,-2.3,0.0,63,109,1.3
2022/06/04,03:00,-3.6,0.0,70,287,0.6
2022/06/04,04:00,-5.7,0.0,78,225,0.8
2022/06/04,05:00,-6.4,0.0,78,237,0.8
2022/06/04,06:00,-7.7,0.0,83,238,0.9
2022/06/04,07:00,-6.6,0.0,85,170,1.3
2022/06/04,08:00,-0.2,0.0,58,170,1.4
2022/06/04,09:00,5.9,0.0,38,68,2.5
2022/06/04,10:00,9.2,0.0,35,49,2.6
2022/06/04,11:00,11.5,0.0,32,276,1.5
