Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/11/01,00:00,-1.4,0.0,16,219,2.2
2022/11/01,01:00,-1.3,0.0,15,241,1.3
2022/11/01,02:00,-3.6,0.0,17,23,0.8
2022/11/01,03:00,-8.8,0.0,29,227,0.7
2022/11/01,04:00,-11.2,0.0,39,211,0.7
2022/11/01,05:00,-13.0,0.0,44,259,0.8
2022/11/01,06:00,-10.6,0.0,40,99,0.7
2022/11/01,07:00,-1.0,0.0,22,226,0.8
2022/11/01,08:00,6.9,0.0,12,65,1.9
2022/11/01,09:00,10.8,0.0,7,356,1.3
2022/11/01,10:00,13.3,0.0,6,55,2.3
2022/11/01,11:00,15.5,0.0,6,82,3.4
2022/11/01,12:00,17.0,0.0,6,301,7.1
2022/11/01,13:00,17.0,0.0,6,294,8.1
2022/11/01,14:00,15.8,0.0,7,281,9.2
2022/11/01,15:00,14.1,0.0,9,263,9.7
2022/11/01,16:00,13.2,0.0,11,245,9.0
2022/11/01,17:00,12.0,0.0,12,234,8.4
2022/11/01,18:00,10.4,0.0,12,228,9.1
2022/11/01,19:00,8.3,0.0,12,133,2.1
2022/11/01,20:00,3.3,0.0,16,160,0.8
2022/11/01,21:00,1.6,0.0,17,241,1.3
2022/11/01,22:00,0.1,0.0,15,66,0.7
2022/11/01,23:00,-5.8,0.0,27,251,0.6
2022/11/02,00:00,-8.3,0.0,36,291,0.4
2022/11/02,01:00,-10.6,0.0,42,21,0.8
2022/11/02,02:00,-12.7,0.0,51,227,1.1
2022/11/02,03:00,-13.4,0.0,53,245,4.3
2022/11/02,04:00,-14.9,0.0,56,29,2.2
2022/11/02,05:00,-16.2,0.0,63,59,2.5
2022/11/02,06:00,-13.3,0.0,57,76,0.9
