Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/04/01,00:00,4.5,0.0,100,255,0.6
2023/04/01,01:00,4.3,0.0,99,312,1.4
2023/04/01,02:00,2.8,0.0,97,1,S/D
2023/04/01,03:00,1.7,0.0,100,73,0.9
2023/04/01,04:00,1.8,0.0,100,26,0.8
2023/04/01,05:00,2.2,0.0,100,1,S/D
2023/04/01,06:00,3.1,0.0,100,183,3.5
2023/04/01,07:00,4.5,0.0,96,144,1.6
2023/04/01,08:00,5.7,0.0,86,120,1.0
2023/04/01,09:00,7.8,0.0,73,67,1.5
2023/04/01,10:00,8.7,0.0,62,145,2.1
2023/04/01,11:00,9.8,0.0,59,111,1.6
2023/04/01,12:00,10.8,0.0,55,58,3.1
2023/04/01,13:00,11.3,0.0,54,143,2.7
2023/04/01,14:00,10.7,0.0,57,171,1.2
2023/04/01,15:00,11.5,0.0,52,141,1.5
2023/04/01,16:00,12.1,0.0,50,126,3.0
2023/04/01,17:00,11.2,0.0,55,164,2.4
2023/04/01,18:00,9.6,0.0,64,189,2.4
2023/04/01,19:00,8.6,0.0,66,205,3.8
2023/04/01,20:00,6.8,0.0,74,270,1.1
2023/04/01,21:00,4.2,0.0,94,195,1.2
2023/04/01,22:00,4.0,0.0,99,219,1.2
2023/04/01,23:00,2.5,0.0,99,1,S/D
2023/04/02,00:00,1.4,0.0,100,240,1.8
2023/04/02,01:00,0.9,0.0,100,187,1.5
2023/04/02,02:00,-0.1,0.0,100,314,0.5
2023/04/02,03:00,-1.0,0.0,100,243,0.9
2023/04/02,04:00,-1.7,0.0,100,320,0.6
2023/04/02,05:00,-2.2,0.0,100,1,S/D
2023/04/02,06:00,-2.4,0.0,100,235,1.1
2023/04/02,07:00,-0.1,0.0,100,73,0.6
2023/04/02,08:00,3.8,0.1,92,99,0.6
2023/04/02,09:00,9.3,0.0,67,34,3.3
2023/04/02,10:00,11.8,0.0,54,108,1.1
2023/04/02,11:00,13.5,0.0,44,78,1.3
2023/04/02,12:00,14.4,0.0,39,82,3.2
2023/04/02,13:00,15.4,0.0,35,183,1.1
2023/04/02,14:00,14.9,0.0,29,16,2.1
2023/04/02,15:00,16.2,0.0,31,84,2.6
2023/04/02,16:00,13.5,0.0,44,153,8.0
2023/04/02,17:00,10.8,0.0,53,144,4.5
2023/04/02,18:00,9.3,0.0,63,101,5.2
2023/04/02,19:00,7.8,0.0,71,298,3.7
2023/04/02,20:00,6.4,0.0,78,309,2.6
2023/04/02,21:00,5.6,0.0,82,108,0.5
2023/04/02,22:00,3.6,0.0,93,212,0.9
2023/04/02,23:00,3.0,0.0,96,305,0.7
2023/04/03,00:00,1.3,0.0,100,217,1.2
2023/04/03,01:00,0.5,0.0,100,199,1.1
2023/04/03,02:00,-0.1,0.0,100,224,1.0
2023/04/03,03:00,0.5,0.0,100,82,1.0
