Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/02/01,00:00,1.2,0.0,100,219,0.9
2023/02/01,01:00,0.6,0.0,100,332,1.4
2023/02/01,02:00,1.3,0.0,100,107,0.7
2023/02/01,03:00,1.5,0.0,100,354,0.9
2023/02/01,04:00,1.9,0.0,100,315,0.8
2023/02/01,05:00,2.3,0.0,100,111,2.6
2023/02/01,06:00,3.2,0.1,100,30,1.1
2023/02/01,07:00,3.8,0.0,100,68,1.0
2023/02/01,08:00,5.1,0.0,99,120,0.8
2023/02/01,09:00,7.4,0.0,87,131,2.8
2023/02/01,10:00,8.2,0.0,80,120,3.3
2023/02/01,11:00,9.5,0.0,74,102,4.8
2023/02/01,12:00,10.7,0.0,65,104,5.6
2023/02/01,13:00,10.6,0.0,61,86,5.4
2023/02/01,14:00,11.4,0.0,58,120,2.2
2023/02/01,15:00,12.6,0.0,51,51,4.2
2023/02/01,16:00,11.8,0.0,60,25,4.6
2023/02/01,17:00,10.9,0.0,62,16,1.5
2023/02/01,18:00,10.5,0.0,63,289,1.5
2023/02/01,19:00,9.5,0.0,70,349,1.6
2023/02/01,20:00,7.3,0.0,79,190,0.5
2023/02/01,21:00,5.4,0.0,90,132,2.4
2023/02/01,22:00,4.8,0.0,97,288,3.8
2023/02/01,23:00,6.3,0.0,89,121,0.9
2023/02/02,00:00,5.4,0.0,93,283,4.0
2023/02/02,01:00,5.8,0.0,91,308,4.3
2023/02/02,02:00,5.3,0.1,96,47,1.6
2023/02/02,03:00,4.6,0.1,99,184,0.9
2023/02/02,04:00,3.5,0.0,100,223,2.4
2023/02/02,05:00,3.4,1.0,100,172,2.6
2023/02/02,06:00,3.1,2.7,100,304,2.8
2023/02/02,07:00,5.1,0.1,96,51,2.2
2023/02/02,08:00,7.2,0.0,85,322,1.5
2023/02/02,09:00,8.8,0.0,75,54,1.8
2023/02/02,10:00,10.5,0.0,64,52,1.4
2023/02/02,11:00,12.0,0.0,57,136,2.4
2023/02/02,12:00,12.4,0.0,55,92,5.0
2023/02/02,13:00,14.3,0.0,46,112,4.7
2023/02/02,14:00,15.6,0.0,42,93,4.7
2023/02/02,15:00,16.0,0.0,39,130,4.5
2023/02/02,17:00,9.3,1.9,66,227,8.9
2023/02/02,18:00,8.1,0.0,82,301,6.3
2023/02/02,19:00,7.4,0.0,83,172,1.5
2023/02/02,21:00,6.8,0.0,88,316,2.0
2023/02/02,22:00,4.9,0.0,98,128,1.0
2023/02/02,23:00,3.5,0.0,100,1,S/D
2023/02/03,00:00,2.2,0.0,100,210,0.9
2023/02/03,01:00,1.3,0.0,100,1,S/D
2023/02/03,02:00,0.5,0.0,100,29,0.5
2023/02/03,03:00,0.8,0.0,100,138,1.6
2023/02/03,04:00,0.9,0.0,100,250,0.7
2023/02/03,05:00,2.1,0.1,100,75,1.0
2023/02/03,06:00,3.3,0.0,100,28,1.4
2023/02/03,07:00,4.0,0.4,100,216,0.5
2023/02/03,08:00,5.9,0.1,98,42,1.4
2023/02/03,09:00,8.2,0.0,83,203,1.7
2023/02/03,10:00,9.6,0.0,72,28,2.9
2023/02/03,11:00,9.0,0.9,72,163,1.5
2023/02/03,12:00,7.6,1.5,83,190,2.3
2023/02/03,13:00,10.6,0.0,66,205,2.0
2023/02/03,14:00,12.6,0.0,56,27,7.6
2023/02/03,15:00,8.8,0.0,74,82,2.8
2023/02/03,16:00,9.3,0.0,67,309,2.6
2023/02/03,17:00,9.9,0.0,65,286,4.1
2023/02/03,18:00,9.6,0.0,65,241,3.7
2023/02/03,19:00,8.3,0.0,76,58,2.7
2023/02/03,20:00,6.7,0.0,83,161,1.3
2023/02/03,22:00,5.9,0.0,93,227,1.7
2023/02/03,23:00,5.8,0.0,91,196,2.4
2023/02/04,00:00,5.7,0.0,90,45,3.4
2023/02/04,01:00,4.6,0.0,94,340,1.0
2023/02/04,02:00,4.2,0.1,96,346,0.6
2023/02/04,03:00,3.8,0.1,100,343,0.8
2023/02/04,04:00,3.9,0.0,100,0,1.6
2023/02/04,05:00,3.8,0.0,100,1,S/D
2023/02/04,06:00,3.8,0.0,100,243,0.7
2023/02/04,07:00,4.7,0.0,99,37,1.0
