Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/03/01,00:00,5.2,0.1,100,339,0.5
2022/03/01,01:00,3.6,0.0,100,1,0.5
2022/03/01,02:00,2.5,0.0,100,216,0.7
2022/03/01,03:00,2.6,0.0,100,84,0.6
2022/03/01,04:00,3.0,0.0,100,121,0.9
2022/03/01,05:00,3.0,0.0,100,91,0.7
2022/03/01,06:00,3.4,0.1,100,174,1.4
2022/03/01,07:00,4.4,0.1,100,233,1.4
2022/03/01,08:00,6.5,0.0,95,36,1.4
2022/03/01,09:00,5.6,0.4,90,39,3.4
2022/03/01,10:00,6.3,0.1,90,6,1.2
2022/03/01,11:00,10.3,0.0,70,76,4.3
2022/03/01,12:00,12.5,0.0,58,57,3.7
2022/03/01,13:00,12.3,0.0,55,65,3.4
2022/03/01,14:00,12.5,0.0,53,63,4.6
2022/03/01,15:00,12.7,0.0,54,51,5.5
2022/03/01,16:00,12.5,0.0,54,273,1.8
2022/03/01,17:00,12.3,0.1,57,189,5.6
2022/03/01,18:00,S/D,S/D,S/D,S/D,S/D
2022/03/01,19:00,6.7,2.4,88,217,7.4
2022/03/01,20:00,7.2,0.0,88,214,1.8
2022/03/01,21:00,5.7,0.0,96,190,0.9
2022/03/01,22:00,4.5,0.0,100,244,1.3
2022/03/01,23:00,3.7,0.0,100,217,0.6
2022/03/02,00:00,2.7,0.0,100,1,S/D
2022/03/02,01:00,1.8,0.0,100,173,0.6
2022/03/02,02:00,1.6,0.0,100,254,0.5
2022/03/02,03:00,1.8,0.1,100,201,1.6
2022/03/02,04:00,1.1,0.0,100,255,0.9
2022/03/02,05:00,0.9,0.0,100,134,0.9
2022/03/02,06:00,1.7,0.0,100,205,1.0
2022/03/02,07:00,4.3,0.0,100,96,1.0
2022/03/02,08:00,7.1,0.0,91,290,0.8
2022/03/02,09:00,9.7,0.0,76,24,2.1
2022/03/02,10:00,10.8,0.0,65,82,2.4
2022/03/02,11:00,13.0,0.0,58,69,2.9
2022/03/02,12:00,13.0,0.0,54,139,1.8
2022/03/02,13:00,13.0,0.0,55,172,2.5
2022/03/02,14:00,15.2,0.0,46,44,4.4
2022/03/02,15:00,15.4,0.0,40,48,4.5
2022/03/02,16:00,13.2,0.0,53,287,7.5
2022/03/02,17:00,11.0,0.0,63,281,6.3
2022/03/02,18:00,8.6,0.2,76,276,1.6
2022/03/02,19:00,7.2,0.0,81,206,1.6
2022/03/02,20:00,6.4,0.0,82,328,4.7
2022/03/02,21:00,5.2,0.0,88,230,2.3
2022/03/02,22:00,4.4,0.0,94,227,1.0
2022/03/02,23:00,4.4,0.0,95,175,3.0
2022/03/03,00:00,2.9,0.0,97,335,1.2
2022/03/03,01:00,2.0,0.0,100,186,0.6
2022/03/03,02:00,2.7,0.0,100,97,2.5
2022/03/03,03:00,3.1,0.0,100,46,0.5
2022/03/03,04:00,3.2,0.0,100,286,1.0
2022/03/03,05:00,3.0,0.0,100,250,1.0
2022/03/03,06:00,2.5,0.0,100,272,0.3
2022/03/03,07:00,3.9,0.0,100,78,1.0
2022/03/03,08:00,6.0,0.0,97,124,1.3
2022/03/03,09:00,7.8,0.0,81,125,1.6
2022/03/03,10:00,8.1,0.0,79,169,2.6
2022/03/03,11:00,7.8,0.2,82,230,2.3
2022/03/03,12:00,12.3,0.0,59,96,2.6
2022/03/03,13:00,13.2,0.0,55,142,4.1
2022/03/03,14:00,13.3,0.0,51,46,3.8
2022/03/03,15:00,9.8,0.0,71,285,10.1
2022/03/03,16:00,9.0,0.0,72,251,8.7
2022/03/03,17:00,7.8,1.5,78,238,2.8
2022/03/03,18:00,5.8,1.2,92,324,1.0
2022/03/03,19:00,5.5,0.7,98,145,3.2
2022/03/03,20:00,4.9,0.2,100,110,1.3
2022/03/03,21:00,4.8,0.1,100,352,1.4
2022/03/03,22:00,4.6,0.0,100,20,1.8
2022/03/03,23:00,4.5,0.0,100,127,1.4
2022/03/04,00:00,4.0,0.0,100,147,1.0
2022/03/04,01:00,4.7,0.1,100,176,1.9
2022/03/04,02:00,4.8,0.0,100,149,1.2
2022/03/04,03:00,4.8,0.0,99,113,1.4
2022/03/04,04:00,4.0,0.1,100,151,1.5
2022/03/04,05:00,2.9,0.0,100,230,2.7
2022/03/04,06:00,2.5,0.0,100,205,0.6
2022/03/04,07:00,4.4,0.0,99,113,0.6
2022/03/04,08:00,7.5,0.0,86,108,1.5
2022/03/04,09:00,9.0,0.0,78,54,3.1
2022/03/04,10:00,10.9,0.0,66,142,2.5
2022/03/04,11:00,12.2,0.0,57,127,2.1
2022/03/04,12:00,12.6,0.0,52,120,1.7
2022/03/04,13:00,13.9,0.0,49,127,4.6
2022/03/04,14:00,14.7,0.0,45,90,3.4
2022/03/04,15:00,15.8,0.0,39,106,4.2
2022/03/04,16:00,15.9,0.0,34,131,3.5
2022/03/04,17:00,14.6,0.0,40,179,3.8
2022/03/04,18:00,12.2,0.0,54,151,1.5
2022/03/04,19:00,9.5,0.0,70,303,8.0
2022/03/04,20:00,7.0,0.0,82,300,6.0
2022/03/04,21:00,6.9,0.0,83,307,1.4
2022/03/04,22:00,5.7,0.0,88,213,1.6
2022/03/04,23:00,4.3,0.0,97,227,0.8
2022/03/05,00:00,2.6,0.0,100,182,0.6
2022/03/05,01:00,1.5,0.0,100,81,0.4
2022/03/05,02:00,1.7,0.0,100,244,0.7
2022/03/05,03:00,0.9,0.0,100,229,1.1
2022/03/05,04:00,0.6,0.0,100,342,0.7
2022/03/05,05:00,-0.4,0.0,100,241,0.8
2022/03/05,06:00,-0.6,0.0,100,230,0.8
2022/03/05,07:00,0.8,0.0,100,31,1.0
2022/03/05,08:00,4.7,0.0,98,93,0.8
2022/03/05,09:00,9.4,0.0,74,75,1.5
2022/03/05,10:00,11.3,0.0,62,94,2.2
2022/03/05,11:00,12.3,0.0,56,81,3.7
2022/03/05,12:00,12.1,1.9,57,181,4.9
2022/03/05,13:00,9.6,0.6,75,331,3.1
2022/03/05,14:00,9.5,4.3,74,285,5.1
2022/03/05,15:00,5.2,8.4,89,327,3.9
2022/03/05,16:00,4.6,4.0,92,265,1.6
2022/03/05,17:00,4.6,1.8,94,339,0.2
2022/03/05,18:00,3.7,0.4,99,178,1.0
2022/03/05,19:00,2.9,0.1,99,248,0.6
2022/03/05,20:00,2.0,0.0,100,3,0.9
2022/03/05,21:00,1.5,0.0,100,210,0.9
2022/03/05,22:00,2.0,0.0,100,183,2.4
2022/03/05,23:00,1.5,0.0,100,241,0.9
2022/03/06,00:00,0.8,0.0,100,60,0.8
2022/03/06,01:00,-0.4,0.0,100,243,2.9
2022/03/06,02:00,-0.9,0.0,100,4,1.1
2022/03/06,03:00,-0.4,0.0,100,138,1.3
2022/03/06,04:00,-0.7,0.0,100,279,0.7
2022/03/06,05:00,-1.0,0.0,100,165,0.7
2022/03/06,06:00,-1.4,0.0,100,270,0.6
2022/03/06,07:00,0.9,0.0,100,81,0.9
2022/03/06,08:00,3.9,0.4,96,196,0.6
2022/03/06,09:00,8.5,0.8,78,39,1.5
2022/03/06,10:00,11.2,1.1,64,349,0.9
2022/03/06,11:00,13.2,0.5,54,58,2.8
2022/03/06,12:00,14.5,0.0,48,66,0.5
2022/03/06,13:00,14.8,0.0,44,96,2.9
2022/03/06,14:00,14.9,0.0,42,65,2.3
2022/03/06,15:00,13.8,0.0,41,226,2.4
2022/03/06,16:00,16.0,S/D,35,189.2,0.6
2022/03/06,17:00,11.8,0.6,55,172,9.2
2022/03/06,18:00,8.8,0.0,67,249,7.5
2022/03/06,19:00,7.7,0.0,70,175,0.6
2022/03/06,20:00,5.5,0.0,83,209,1.2
2022/03/06,21:00,5.7,0.0,84,234,3.2
2022/03/06,23:00,4.5,0.0,89,154,1.0
2022/03/07,00:00,3.1,0.0,97,196,0.8
2022/03/07,01:00,2.6,0.0,100,243,0.9
2022/03/07,02:00,1.2,0.0,100,230,0.6
2022/03/07,03:00,1.0,0.0,100,116,1.3
2022/03/07,04:00,0.4,0.0,100,66,1.0
2022/03/07,05:00,-0.5,0.0,100,110,1.1
2022/03/07,06:00,-0.8,0.0,100,217,0.8
2022/03/07,07:00,1.8,0.0,99,106,0.7
2022/03/07,08:00,6.4,0.0,86,206,0.8
2022/03/07,09:00,10.3,0.0,60,36,2.7
2022/03/07,10:00,11.9,0.0,55,22,2.0
2022/03/07,11:00,13.5,0.0,52,78,1.2
2022/03/07,12:00,14.2,0.0,48,87,1.6
2022/03/07,13:00,15.2,0.0,43,157,2.8
2022/03/07,14:00,15.1,0.1,43,114,2.4
2022/03/07,15:00,15.0,0.0,44,32,5.9
2022/03/07,16:00,10.9,0.1,63,263,10.3
2022/03/07,17:00,6.5,2.4,79,53,2.5
2022/03/07,18:00,5.3,0.2,90,283,4.1
2022/03/07,19:00,S/D,S/D,S/D,S/D,S/D
2022/03/07,20:00,5.8,0.1,91,96,1.0
2022/03/07,21:00,3.5,0.9,95,174,3.8
2022/03/07,22:00,1.9,4.2,100,240,5.9
2022/03/07,23:00,3.8,0.2,96,187,2.4
2022/03/08,00:00,2.2,0.0,100,118,1.1
2022/03/08,01:00,1.5,0.0,100,150,1.0
2022/03/08,02:00,0.8,0.0,100,105,1.2
2022/03/08,03:00,0.4,0.0,100,284,0.7
2022/03/08,04:00,0.4,0.0,100,280,1.0
2022/03/08,05:00,0.3,0.0,100,215,2.4
2022/03/08,06:00,-0.5,0.0,100,243,0.3
2022/03/08,08:00,2.6,0.1,100,356,0.6
2022/03/08,09:00,3.4,0.5,100,160,3.7
2022/03/08,10:00,4.8,0.0,98,182,4.4
2022/03/08,11:00,6.5,0.0,91,161,4.4
2022/03/08,12:00,9.0,0.0,77,154,3.5
2022/03/08,13:00,9.1,0.0,75,90,7.7
2022/03/08,14:00,6.5,0.4,92,58,1.6
2022/03/08,16:00,12.0,0.0,62,266,1.0
2022/03/08,17:00,9.6,0.0,63,96,2.8
2022/03/08,18:00,7.6,0.1,77,189,2.9
2022/03/08,19:00,6.6,0.1,85,349,2.5
2022/03/08,20:00,5.9,0.0,88,284,3.6
2022/03/08,21:00,5.7,0.1,93,39,3.4
2022/03/08,22:00,4.1,2.6,100,221,3.7
2022/03/08,23:00,4.1,0.3,100,155,2.1
2022/03/09,00:00,4.1,0.1,100,146,1.2
2022/03/09,01:00,4.1,0.0,100,197,1.2
2022/03/09,02:00,3.8,0.0,100,44,0.5
2022/03/09,03:00,2.4,0.0,100,216,0.9
2022/03/09,04:00,1.1,0.0,100,203,1.2
2022/03/09,05:00,0.3,0.0,100,227,0.5
2022/03/09,06:00,-0.1,0.0,100,1,S/D
2022/03/09,07:00,1.9,0.1,100,87,0.7
2022/03/09,08:00,5.9,0.0,94,81,1.0
2022/03/09,09:00,8.6,0.0,74,93,1.5
2022/03/09,10:00,9.9,0.0,67,23,1.2
2022/03/09,11:00,11.2,0.0,64,35,2.5
2022/03/09,12:00,12.4,0.0,58,84,4.1
2022/03/09,13:00,13.7,0.0,53,155,2.2
2022/03/09,14:00,14.5,0.0,46,73,2.5
2022/03/09,15:00,14.6,0.0,41,135,3.7
2022/03/09,16:00,14.6,0.0,43,111,3.0
2022/03/09,17:00,13.7,0.0,48,164,2.8
2022/03/09,18:00,10.2,0.0,69,320,6.9
2022/03/09,19:00,8.1,0.0,79,294,6.7
2022/03/09,20:00,7.0,0.0,83,290,6.2
2022/03/09,21:00,6.2,0.0,91,186,2.1
2022/03/09,22:00,5.2,0.0,98,26,0.8
2022/03/09,23:00,4.3,0.0,100,118,2.5
2022/03/10,00:00,5.0,0.2,100,191,3.5
2022/03/10,01:00,4.4,0.3,100,188,1.1
2022/03/10,02:00,4.2,0.1,99,320,2.2
2022/03/10,03:00,3.8,0.0,99,293,0.7
2022/03/10,04:00,3.0,0.0,99,213,0.7
2022/03/10,05:00,2.3,0.0,100,51,0.7
2022/03/10,06:00,2.0,0.0,100,151,1.8
2022/03/10,07:00,3.5,0.0,100,181,0.8
2022/03/10,08:00,6.9,0.0,91,336,2.6
2022/03/10,09:00,9.5,0.0,72,38,2.3
2022/03/10,10:00,11.6,0.0,60,86,1.0
2022/03/10,11:00,13.4,0.0,54,55,1.6
2022/03/10,12:00,13.6,0.0,51,42,2.7
2022/03/10,13:00,14.3,0.0,51,40,7.0
2022/03/10,14:00,15.1,0.0,46,38,3.2
2022/03/10,15:00,13.4,0.0,46,261,3.5
2022/03/10,16:00,11.8,0.0,54,164,7.5
2022/03/10,17:00,9.4,0.0,67,170,5.2
2022/03/10,18:00,7.8,0.0,72,286,0.8
2022/03/10,19:00,7.0,0.0,79,157,0.8
2022/03/10,20:00,6.2,0.0,85,267,0.7
2022/03/10,21:00,4.7,0.0,95,153,0.5
2022/03/10,22:00,4.0,0.0,100,239,0.5
2022/03/10,23:00,3.1,0.0,100,208,0.9
2022/03/11,00:00,2.2,0.0,100,1,S/D
2022/03/11,01:00,2.2,0.0,100,223,1.1
2022/03/11,02:00,1.2,0.0,100,179,0.6
2022/03/11,03:00,0.3,0.0,100,211,0.7
2022/03/11,04:00,-0.2,0.0,100,70,0.8
2022/03/11,05:00,0.2,0.0,100,82,0.8
2022/03/11,06:00,-0.1,0.0,100,73,0.8
2022/03/11,07:00,0.5,0.0,100,18,0.7
2022/03/11,08:00,4.4,0.1,97,73,1.3
2022/03/11,09:00,8.7,0.0,73,50,2.3
2022/03/11,10:00,10.7,0.0,61,46,1.7
2022/03/11,11:00,13.2,0.0,49,18,1.8
2022/03/11,12:00,14.1,0.0,44,14,2.9
2022/03/11,13:00,15.3,0.0,43,65,2.8
2022/03/11,14:00,16.8,0.0,37,21,2.5
2022/03/11,15:00,13.9,0.0,46,229,0.6
2022/03/11,16:00,11.9,0.0,63,272,5.9
2022/03/11,17:00,9.3,0.0,73,293,10.4
2022/03/11,18:00,8.4,0.0,73,278,8.0
2022/03/11,19:00,8.4,0.0,68,277,6.9
2022/03/11,20:00,7.1,0.0,70,116,2.6
2022/03/11,21:00,5.8,0.0,74,300,4.5
2022/03/11,22:00,5.1,0.0,73,267,1.9
2022/03/11,23:00,5.3,0.0,67,201,0.8
2022/03/12,00:00,3.7,0.0,79,189,0.8
2022/03/12,01:00,2.8,0.0,83,186,2.6
2022/03/12,02:00,1.8,0.0,86,270,0.6
2022/03/12,03:00,1.2,0.0,95,127,0.6
2022/03/12,04:00,0.5,0.0,98,201,0.7
2022/03/12,05:00,-0.5,0.0,100,153,1.0
2022/03/12,06:00,-0.8,0.0,100,207,0.9
2022/03/12,07:00,2.1,0.0,92,1,1.2
2022/03/12,08:00,6.0,0.0,63,47,1.4
2022/03/12,09:00,8.8,0.0,45,20,1.5
2022/03/12,10:00,11.8,0.0,40,68,2.3
2022/03/12,11:00,13.6,0.0,37,319,4.7
2022/03/12,12:00,S/D,S/D,S/D,S/D,S/D
2022/03/12,13:00,15.6,0.0,34,306,5.3
2022/03/12,14:00,15.6,0.0,35,292,5.8
2022/03/12,15:00,14.4,0.0,37,281,7.1
2022/03/12,16:00,12.7,0.0,42,281,8.7
2022/03/12,17:00,10.2,0.0,51,267,10.7
2022/03/12,18:00,8.1,0.0,56,262,9.1
2022/03/12,19:00,7.5,0.0,50,266,6.3
2022/03/12,20:00,7.0,0.0,48,294,5.1
2022/03/12,23:00,1.4,0.0,84,213,1.0
2022/03/13,00:00,0.6,0.0,88,243,1.0
2022/03/13,01:00,0.0,0.0,90,247,0.7
2022/03/13,02:00,-1.6,0.0,98,295,0.8
2022/03/13,03:00,-1.4,0.0,92,251,3.9
2022/03/13,04:00,-2.7,0.0,99,233,0.8
2022/03/13,05:00,-3.5,0.0,100,239,0.1
2022/03/13,06:00,-3.6,0.0,100,193,0.3
2022/03/13,07:00,-1.0,0.0,96,186,0.5
2022/03/13,08:00,3.9,0.0,71,85,0.6
2022/03/13,09:00,8.1,0.0,44,74,2.2
2022/03/13,10:00,10.1,0.0,41,44,2.5
2022/03/13,11:00,12.2,0.0,42,55,1.4
2022/03/13,12:00,13.9,0.0,41,16,2.0
2022/03/13,13:00,15.0,0.0,34,36,3.3
2022/03/13,14:00,15.8,0.0,31,10,4.1
2022/03/13,15:00,14.1,0.0,37,342,4.0
2022/03/13,16:00,11.2,0.7,57,100,2.8
2022/03/13,17:00,9.9,0.0,65,278,8.6
2022/03/13,18:00,8.0,0.0,66,283,9.8
2022/03/13,19:00,6.9,0.0,70,282,9.5
2022/03/13,20:00,6.7,0.0,69,303,8.4
2022/03/13,21:00,6.2,0.0,71,236,3.1
2022/03/13,22:00,4.8,0.0,76,207,1.1
2022/03/13,23:00,3.9,0.0,77,298,2.9
2022/03/14,00:00,3.9,0.0,73,260,2.4
2022/03/14,01:00,1.8,0.0,86,196,1.1
2022/03/14,02:00,1.2,0.0,89,71,1.1
2022/03/14,03:00,0.1,0.0,95,203,1.0
2022/03/14,04:00,-0.5,0.0,95,165,1.2
2022/03/14,05:00,-1.0,0.0,99,55,1.2
2022/03/14,06:00,-0.8,0.0,98,31,1.1
2022/03/14,07:00,0.2,0.0,97,230,1.1
2022/03/14,08:00,4.4,0.0,75,114,2.4
2022/03/14,09:00,7.7,0.0,54,102,0.8
2022/03/14,10:00,9.7,0.0,53,155,1.7
2022/03/14,11:00,11.8,0.0,47,30,4.0
2022/03/14,12:00,13.2,0.0,44,44,4.6
2022/03/14,13:00,11.6,0.0,50,29,6.1
2022/03/14,14:00,10.7,0.0,56,58,2.7
2022/03/14,15:00,12.4,0.0,52,26,5.9
2022/03/14,16:00,12.1,0.0,45,264,9.3
2022/03/14,17:00,10.4,0.0,47,284,8.1
2022/03/14,18:00,7.6,0.0,56,275,9.4
2022/03/14,19:00,6.5,0.0,59,290,9.2
2022/03/14,20:00,5.7,0.0,60,301,6.2
2022/03/14,21:00,4.5,0.0,67,234,3.0
2022/03/14,22:00,2.7,0.0,78,211,2.0
2022/03/14,23:00,1.8,0.0,84,249,1.6
2022/03/15,00:00,0.9,0.0,89,250,2.7
2022/03/15,01:00,1.7,0.0,85,329,0.8
2022/03/15,02:00,-0.2,0.0,95,88,0.6
2022/03/15,03:00,-0.1,0.0,98,42,0.7
