Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TARATA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°28'45.74'',Longitud:70°2'11.94'',Altitud:3100,msnm.
,Tipo:EMA,-Meteorológica,Código:47E2D1CC
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/05/01,00:00,7.3,0.0,57,99,1.2
2022/05/01,01:00,6.6,0.0,58,103,0.7
2022/05/01,02:00,6.4,0.0,59,81,0.8
2022/05/01,03:00,6.6,0.0,58,127,1.1
2022/05/01,04:00,6.3,0.0,59,90,1.2
2022/05/01,05:00,5.7,0.0,59,99,1.0
2022/05/01,06:00,6.5,0.0,55,114,1.3
2022/05/01,07:00,7.7,0.0,53,119,1.3
2022/05/01,08:00,13.9,0.0,38,94,0.3
2022/05/01,09:00,18.5,0.0,24,175,0.8
2022/05/01,10:00,19.3,0.0,21,300,1.7
2022/05/01,11:00,20.1,0.0,19,263,2.0
2022/05/01,12:00,21.3,0.0,16,286,2.6
2022/05/01,13:00,21.6,0.0,15,256,2.5
2022/05/01,14:00,21.5,0.0,18,263,2.2
2022/05/01,15:00,20.8,0.0,22,275,1.9
2022/05/01,16:00,19.2,0.0,25,199,0.3
2022/05/01,17:00,17.3,0.0,26,202,1.0
2022/05/01,18:00,13.6,0.0,35,170,0.9
2022/05/01,19:00,10.8,0.0,45,97,0.6
2022/05/01,20:00,8.8,0.0,53,116,0.6
2022/05/01,21:00,7.9,0.0,58,100,0.9
2022/05/01,22:00,7.2,0.0,59,116,0.9
2022/05/01,23:00,6.7,0.0,61,106,0.6
2022/05/02,00:00,6.2,0.0,61,95,0.7
2022/05/02,01:00,5.6,0.0,61,68,1.1
2022/05/02,02:00,5.5,0.0,56,117,1.0
2022/05/02,03:00,5.1,0.0,50,94,1.5
2022/05/02,04:00,4.6,0.0,49,110,0.9
2022/05/02,05:00,4.2,0.0,51,103,0.8
2022/05/02,06:00,5.0,0.0,51,180,1.5
2022/05/02,07:00,5.8,0.0,52,94,0.9
2022/05/02,08:00,12.1,0.0,39,183,1.8
2022/05/02,09:00,15.1,0.0,29,276,1.0
2022/05/02,10:00,17.2,0.0,21,311,1.2
2022/05/02,11:00,19.3,0.0,17,303,1.6
2022/05/02,12:00,20.2,0.0,19,262,2.4
2022/05/02,13:00,20.5,0.0,18,280,2.7
2022/05/02,14:00,19.9,0.0,20,263,3.3
2022/05/02,15:00,19.3,0.0,24,250,2.3
2022/05/02,16:00,18.7,0.0,24,195,1.7
2022/05/02,17:00,17.1,0.0,26,255,0.5
2022/05/02,18:00,12.2,0.0,52,357,1.4
2022/05/02,19:00,8.9,0.0,71,103,0.8
2022/05/02,20:00,7.5,0.0,77,109,0.9
2022/05/02,21:00,6.8,0.0,71,100,1.0
2022/05/02,22:00,6.5,0.0,60,115,0.8
2022/05/02,23:00,6.1,0.0,55,100,1.0
2022/05/03,00:00,6.0,0.0,49,109,0.7
2022/05/03,01:00,6.9,0.0,43,100,1.1
2022/05/03,02:00,5.3,0.0,44,96,0.7
2022/05/03,03:00,5.2,0.0,44,99,0.7
2022/05/03,04:00,4.5,0.0,44,100,1.0
2022/05/03,05:00,4.9,0.0,41,115,1.3
2022/05/03,06:00,5.4,0.0,37,116,1.3
2022/05/03,07:00,6.8,0.0,36,101,1.8
2022/05/03,08:00,12.6,0.0,31,123,0.8
2022/05/03,09:00,17.7,0.0,18,175,0.9
2022/05/03,10:00,20.2,0.0,16,206,1.5
2022/05/03,11:00,20.8,0.0,15,303,2.3
2022/05/03,12:00,20.8,0.0,15,279,2.7
2022/05/03,13:00,21.1,0.0,15,287,2.4
2022/05/03,14:00,20.4,0.0,17,281,1.9
2022/05/03,15:00,20.0,0.0,18,277,2.1
2022/05/03,16:00,19.5,0.0,18,292,2.1
2022/05/03,17:00,17.7,0.0,27,265,1.4
2022/05/03,18:00,12.2,0.0,51,356,0.6
2022/05/03,19:00,8.6,0.0,68,338,0.9
2022/05/03,20:00,7.3,0.0,78,113,1.3
2022/05/03,21:00,6.8,0.0,71,104,1.3
2022/05/03,22:00,6.4,0.0,69,114,0.8
2022/05/03,23:00,5.9,0.0,63,116,0.9
2022/05/04,00:00,5.3,0.0,59,81,0.9
2022/05/04,01:00,5.0,0.0,57,79,0.8
2022/05/04,02:00,4.9,0.0,55,129,0.7
2022/05/04,03:00,4.5,0.0,53,70,0.7
2022/05/04,04:00,4.4,0.0,51,1,S/D
