Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TARATA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°28'45.74'',Longitud:70°2'11.94'',Altitud:3100,msnm.
,Tipo:EMA,-Meteorológica,Código:47E2D1CC
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/09/01,00:00,7.1,0.0,46,159,0.7
2022/09/01,01:00,6.2,0.0,48,120,1.2
2022/09/01,02:00,5.4,0.0,50,103,0.6
2022/09/01,03:00,5.5,0.0,51,107,1.2
2022/09/01,04:00,5.3,0.0,51,94,0.7
2022/09/01,05:00,4.8,0.0,52,130,0.8
2022/09/01,06:00,4.6,0.0,52,89,0.7
2022/09/01,07:00,5.8,0.0,51,119,1.3
2022/09/01,08:00,12.1,0.0,36,357,0.7
2022/09/01,09:00,15.6,0.0,26,228,0.6
2022/09/01,10:00,17.4,0.0,22,275,1.9
2022/09/01,11:00,18.2,0.0,20,309,2.0
2022/09/01,12:00,19.0,0.0,18,286,2.4
2022/09/01,13:00,19.7,0.0,18,261,3.3
2022/09/01,14:00,19.5,0.0,18,277,2.8
2022/09/01,15:00,18.9,0.0,19,262,2.3
2022/09/01,16:00,18.0,0.0,20,277,1.9
2022/09/01,17:00,16.3,0.0,22,276,0.8
2022/09/01,18:00,13.6,0.0,27,241,0.9
2022/09/01,19:00,10.7,0.0,33,17,0.6
2022/09/01,20:00,9.0,0.0,37,118,1.6
2022/09/01,21:00,8.4,0.0,38,117,0.7
2022/09/01,22:00,6.8,0.0,41,85,0.7
2022/09/01,23:00,6.9,0.0,41,95,1.2
2022/09/02,00:00,6.8,0.0,40,112,1.2
2022/09/02,01:00,6.3,0.0,41,121,1.9
2022/09/02,02:00,6.2,0.0,40,118,1.5
2022/09/02,03:00,5.8,0.0,41,91,1.4
2022/09/02,04:00,5.2,0.0,38,81,1.0
2022/09/02,05:00,4.8,0.0,34,89,0.8
2022/09/02,06:00,4.3,0.0,32,136,0.9
2022/09/02,07:00,5.6,0.0,30,116,0.9
2022/09/02,08:00,11.8,0.0,20,132,0.7
2022/09/02,09:00,16.1,0.0,15,360,0.3
2022/09/02,10:00,17.4,0.0,13,299,2.0
2022/09/02,11:00,19.0,0.0,11,256,2.7
2022/09/02,12:00,20.2,0.0,10,275,2.6
2022/09/02,13:00,20.3,0.0,13,264,2.8
2022/09/02,14:00,20.0,0.0,14,262,3.1
2022/09/02,15:00,19.4,0.0,16,270,1.7
2022/09/02,16:00,18.3,0.0,16,297,1.4
2022/09/02,17:00,16.5,0.0,17,224,1.6
2022/09/02,18:00,13.5,0.0,24,175,1.8
2022/09/02,19:00,11.2,0.0,29,128,1.0
2022/09/02,20:00,9.4,0.0,33,119,0.9
2022/09/02,21:00,8.0,0.0,35,103,0.7
2022/09/02,22:00,7.7,0.0,36,122,1.3
2022/09/02,23:00,7.6,0.0,34,82,1.1
2022/09/03,00:00,7.7,0.0,32,107,0.9
2022/09/03,01:00,7.6,0.0,31,121,0.9
2022/09/03,02:00,7.6,0.0,31,71,0.5
2022/09/03,03:00,8.0,0.0,30,116,0.7
2022/09/03,04:00,8.3,0.0,30,95,0.5
2022/09/03,05:00,7.7,0.0,32,160,0.6
2022/09/03,06:00,7.6,0.0,32,80,0.9
2022/09/03,07:00,9.0,0.0,33,168,0.7
2022/09/03,08:00,13.4,0.0,24,8,0.5
2022/09/03,09:00,15.9,0.0,19,214,0.8
2022/09/03,10:00,18.4,0.0,17,234,1.4
2022/09/03,11:00,19.8,0.0,14,306,2.0
2022/09/03,12:00,20.1,0.0,13,270,2.9
2022/09/03,13:00,19.8,0.0,14,277,3.4
2022/09/03,14:00,19.5,0.0,15,275,3.8
2022/09/03,15:00,18.8,0.0,16,277,2.3
