time,temp,RH,wind,ppt,press,Discharge
2019-05-01 00:00:00,1.441,36.705,1.699,0.0,586.225,60
2019-05-01 01:00:00,0.103,47.862,1.427,0.0,586.879,60
2019-05-01 02:00:00,0.235,42.673,0.893,0.0,587.182,60
2019-05-01 03:00:00,-0.069,41.039,0.549,0.0,587.223,60
2019-05-01 04:00:00,-1.008,50.899,0.851,0.0,587.047,60
2019-05-01 05:00:00,-1.622,55.564,0.966,0.0,586.926,60
2019-05-01 06:00:00,-2.331,59.83,0.917,0.0,586.481,60
2019-05-01 07:00:00,-1.097,57.801,0.735,0.0,585.982,60
2019-05-01 08:00:00,-1.635,60.715,0.737,0.0,585.645,60
2019-05-01 09:00:00,-1.619,57.746,0.702,0.0,585.598,60
2019-05-01 10:00:00,-1.672,54.825,0.725,0.0,585.726,60
2019-05-01 11:00:00,-1.869,53.839,0.777,0.0,586.15,60
2019-05-01 12:00:00,-0.335,57.935,0.596,0.0,586.609,60
2019-05-01 13:00:00,4.136,26.297,0.374,0.0,586.912,60
2019-05-01 14:00:00,6.302,25.095,0.818,0.0,587.054,60
2019-05-01 15:00:00,7.895,27.359,1.441,0.0,587.115,60
2019-05-01 16:00:00,9.114,29.257,1.846,0.0,586.818,60
2019-05-01 17:00:00,9.588,30.688,2.827,0.13,586.272,60
2019-05-01 18:00:00,9.608,31.006,3.434,0.095,585.84,60
2019-05-01 19:00:00,9.951,30.491,3.804,0.006,585.058,60
2019-05-01 20:00:00,8.924,33.437,3.763,0.003,585.085,60
2019-05-01 21:00:00,7.468,36.926,3.557,0.0,584.984,60
2019-05-01 22:00:00,5.386,42.308,2.611,0.0,585.287,60
2019-05-01 23:00:00,3.323,49.564,1.927,0.0,585.705,60
2019-05-02 00:00:00,1.69,60.233,1.408,0.0,586.218,60
2019-05-02 01:00:00,1.15,62.84,0.824,0.0,586.778,60
2019-05-02 02:00:00,0.584,61.533,0.464,0.0,586.933,60
2019-05-02 03:00:00,-0.409,67.925,0.689,0.0,586.987,60
2019-05-02 04:00:00,-1.291,72.119,0.836,0.0,586.568,60
2019-05-02 05:00:00,-1.834,74.612,0.928,0.0,586.319,60
2019-05-02 06:00:00,-2.443,76.99,0.979,0.0,585.867,60
2019-05-02 07:00:00,-2.044,72.632,0.833,0.0,585.301,60
2019-05-02 08:00:00,-2.18,71.893,0.746,0.0,584.93,60
2019-05-02 09:00:00,-1.756,66.687,0.64,0.0,585.051,60
2019-05-02 10:00:00,-1.588,63.508,0.57,0.003,585.206,60
2019-05-02 11:00:00,-1.632,61.751,0.557,0.0,585.692,60
2019-05-02 12:00:00,-0.447,63.49,0.442,0.0,586.225,60
2019-05-02 13:00:00,3.68,42.35,0.699,0.0,586.514,60
2019-05-02 14:00:00,6.162,32.331,1.793,0.0,586.912,60
2019-05-02 15:00:00,8.192,25.989,3.234,0.0,586.852,60
2019-05-02 16:00:00,9.673,21.745,4.363,0.0,586.542,60
2019-05-02 17:00:00,10.449,19.858,5.015,0.0,585.968,60
2019-05-02 18:00:00,10.637,19.481,5.289,0.0,585.55,60
