time,temp,ppt,RH,wind,Discharge
2022-06-09 00:00:00,1.7,0.0,59.0,3.5,1000000
2022-06-09 01:00:00,1.3,0.0,58.0,4.0,1000000
2022-06-09 02:00:00,1.1,0.0,57.0,5.1,1000000
2022-06-09 03:00:00,0.8,0.0,56.0,3.8,1000000
2022-06-09 04:00:00,1.0,0.0,55.0,4.9,1000000
2022-06-09 05:00:00,0.6,0.0,52.0,5.0,1000000
2022-06-09 06:00:00,-0.2,0.0,54.0,4.3,1000000
2022-06-09 07:00:00,0.5,0.0,47.0,2.6,1000000
2022-06-09 08:00:00,5.9,0.0,33.0,0.9,1000000
2022-06-09 09:00:00,8.1,0.0,30.0,1.7,1000000
2022-06-09 10:00:00,8.9,0.0,27.0,2.0,1000000
2022-06-09 11:00:00,10.0,0.0,23.0,3.2,1000000
2022-06-09 12:00:00,11.2,0.0,20.0,5.1,1000000
2022-06-09 13:00:00,11.3,0.0,20.0,5.5,1000000
2022-06-09 14:00:00,10.8,0.0,25.0,5.4,1000000
2022-06-09 15:00:00,10.1,0.0,27.0,3.9,1000000
2022-06-09 16:00:00,9.0,0.0,31.0,2.7,1000000
2022-06-09 17:00:00,7.5,0.0,35.0,0.7,1000000
2022-06-09 18:00:00,4.7,0.0,42.0,3.3,1000000
2022-06-09 19:00:00,2.9,0.0,46.0,3.3,1000000
2022-06-09 20:00:00,2.8,0.0,42.0,4.2,1000000
2022-06-09 21:00:00,2.7,0.0,40.0,4.3,1000000
2022-06-09 22:00:00,2.0,0.0,40.0,3.8,1000000
2022-06-09 23:00:00,2.8,0.0,38.0,3.9,1000000
2022-06-10 00:00:00,2.2,0.0,32.0,3.9,1000000
2022-06-10 01:00:00,2.3,0.0,25.0,3.6,1000000
2022-06-10 02:00:00,0.6,0.0,23.0,4.3,1000000
2022-06-10 03:00:00,-0.1,0.0,22.0,4.0,1000000
2022-06-10 04:00:00,-1.6,0.0,24.0,4.0,1000000
2022-06-10 05:00:00,-1.5,0.0,22.0,4.8,1000000
2022-06-10 06:00:00,1.0,0.0,16.0,3.6,1000000
2022-06-10 07:00:00,3.6,0.0,13.0,4.6,1000000
2022-06-10 08:00:00,8.9,0.0,11.0,1.1,1000000
2022-06-10 09:00:00,10.9,0.0,12.0,1.5,1000000
2022-06-10 10:00:00,11.4,0.0,13.0,1.5,1000000
2022-06-10 11:00:00,12.2,0.0,10.0,3.4,1000000
2022-06-10 12:00:00,12.0,0.0,12.0,5.3,1000000
2022-06-10 13:00:00,12.4,0.0,13.0,5.0,1000000
2022-06-10 14:00:00,11.8,0.0,14.0,5.2,1000000
2022-06-10 15:00:00,11.1,0.0,15.0,4.5,1000000
2022-06-10 16:00:00,10.1,0.0,17.0,2.5,1000000
2022-06-10 17:00:00,8.4,0.0,19.0,1.1,1000000
2022-06-10 18:00:00,4.8,0.0,25.0,4.0,1000000
2022-06-10 19:00:00,3.4,0.0,24.0,3.6,1000000
2022-06-10 20:00:00,3.4,0.0,23.0,3.7,1000000
2022-06-10 21:00:00,2.6,0.0,22.0,4.5,1000000
2022-06-10 22:00:00,1.6,0.0,22.0,4.1,1000000
2022-06-10 23:00:00,1.1,0.0,21.0,3.8,1000000
2022-06-11 00:00:00,0.3,0.0,22.0,4.0,1000000
2022-06-11 01:00:00,1.7,0.0,19.0,4.1,1000000
2022-06-11 02:00:00,0.6,0.0,19.0,4.4,1000000
2022-06-11 03:00:00,1.2,0.0,18.0,4.7,1000000
2022-06-11 04:00:00,1.0,0.0,17.0,4.5,1000000
2022-06-11 05:00:00,1.0,0.0,15.0,4.1,1000000
2022-06-11 06:00:00,-0.3,0.0,16.0,4.1,1000000
2022-06-11 07:00:00,2.0,0.0,14.0,3.9,1000000
2022-06-11 08:00:00,8.6,0.0,12.0,0.7,1000000
