Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CANDARAVE
,Departamento:TACNA,Provincia:CANDARAVE,Distrito:CANDARAVE
,Latitud:17°16'4.86'',Longitud:70°15'14.72'',Altitud:3410,msnm.
,Tipo:EMA,-Meteorológica,Código:47E2C2BA
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/03/01,00:00,8.4,0.0,100,9,1.5
2022/03/01,01:00,8.3,0.0,100,169,2.3
2022/03/01,02:00,8.1,0.0,100,230,1.2
2022/03/01,03:00,8.1,0.0,100,141,1.6
2022/03/01,04:00,8.2,0.0,100,122,1.4
2022/03/01,05:00,8.0,0.0,100,131,1.8
2022/03/01,06:00,7.9,0.1,100,149,1.1
2022/03/01,07:00,8.0,0.1,100,204,0.8
2022/03/01,08:00,8.6,0.0,100,76,0.9
2022/03/01,09:00,9.2,0.0,100,181,1.0
2022/03/01,10:00,11.1,0.0,98,121,3.7
2022/03/01,11:00,11.4,0.0,91,108,2.7
2022/03/01,12:00,12.8,0.0,82,116,3.6
2022/03/01,13:00,12.6,0.0,84,159,2.1
2022/03/01,14:00,11.3,0.0,94,131,0.7
2022/03/01,15:00,12.3,0.0,89,142,3.8
2022/03/01,16:00,11.9,0.0,87,119,4.8
2022/03/01,17:00,9.6,0.2,98,104,2.5
2022/03/01,18:00,9.1,0.0,100,355,2.3
2022/03/01,20:00,9.6,S/D,S/D,S/D,S/D
2022/03/01,21:00,8.3,0.0,100,21,1.9
2022/03/01,22:00,8.1,0.0,100,171,1.9
2022/03/01,23:00,8.2,0.0,100,338,0.9
2022/03/02,00:00,8.2,0.0,100,182,0.9
2022/03/02,01:00,7.9,0.0,100,1,S/D
2022/03/02,02:00,7.7,0.1,100,83,0.8
2022/03/02,03:00,7.4,0.0,100,334,3.8
2022/03/02,04:00,6.9,0.0,100,252,1.2
2022/03/02,05:00,6.3,0.0,100,337,2.7
2022/03/02,06:00,7.1,0.0,100,334,2.9
2022/03/02,07:00,9.8,0.0,92,255,0.9
2022/03/02,08:00,11.0,0.0,88,159,0.4
2022/03/02,09:00,13.0,0.0,81,121,2.1
2022/03/02,10:00,13.9,0.0,71,134,4.1
2022/03/02,11:00,14.8,0.0,69,148,3.5
2022/03/02,12:00,15.2,0.0,66,145,5.5
2022/03/02,13:00,14.4,0.0,69,130,4.5
2022/03/02,14:00,11.5,0.1,86,111,2.5
2022/03/02,15:00,9.8,0.2,99,73,1.1
2022/03/02,16:00,9.3,0.4,100,152,1.6
2022/03/02,17:00,8.9,1.3,100,95,1.2
2022/03/02,18:00,8.8,0.2,100,53,0.8
2022/03/02,19:00,9.0,0.0,100,340,2.1
2022/03/02,20:00,9.0,0.0,99,337,2.4
2022/03/02,21:00,8.6,0.0,98,136,1.2
2022/03/02,22:00,7.6,0.0,100,84,0.9
2022/03/02,23:00,7.4,0.1,100,348,1.6
2022/03/03,00:00,7.2,0.0,100,270,2.0
2022/03/03,01:00,7.2,0.0,100,347,1.5
2022/03/03,02:00,7.3,0.0,100,106,1.3
2022/03/03,03:00,7.2,0.0,100,320,1.9
2022/03/03,04:00,7.4,0.0,100,348,1.7
2022/03/03,05:00,7.4,0.0,100,340,1.3
2022/03/03,06:00,7.3,0.0,100,327,1.4
2022/03/03,07:00,7.7,0.0,98,242,0.6
2022/03/03,08:00,10.5,0.0,85,138,1.6
2022/03/03,09:00,11.9,0.0,77,92,1.6
2022/03/03,10:00,12.7,0.0,74,119,3.7
2022/03/03,11:00,13.1,0.0,75,168,2.5
2022/03/03,12:00,13.9,0.0,72,148,5.7
2022/03/03,13:00,12.9,0.0,79,164,3.5
2022/03/03,14:00,10.1,4.7,89,290,9.1
2022/03/03,15:00,8.4,3.6,100,60,1.7
2022/03/03,16:00,9.4,0.5,99,116,2.3
2022/03/03,17:00,8.8,0.0,99,156,2.5
2022/03/03,18:00,8.5,0.0,100,53,1.3
2022/03/03,19:00,8.5,0.0,100,348,2.4
2022/03/03,20:00,8.8,0.0,99,332,1.0
