Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/08/01,00:00,-8.7,0.0,73,1,S/D
2023/08/01,01:00,-10.3,0.0,81,1,S/D
2023/08/01,02:00,-11.9,0.0,82,1,S/D
2023/08/01,03:00,-12.8,0.0,88,1,S/D
2023/08/01,04:00,-13.6,0.0,89,1,S/D
2023/08/01,05:00,-14.6,0.0,90,1,S/D
2023/08/01,06:00,-15.2,0.0,94,1,S/D
2023/08/01,07:00,-13.6,0.0,94,277,0.5
2023/08/01,08:00,-5.7,0.0,65,87,0.8
2023/08/01,09:00,2.5,0.0,41,80,2.1
2023/08/01,10:00,6.8,0.0,27,130,1.5
2023/08/01,11:00,9.3,0.0,21,80,3.3
2023/08/01,12:00,10.8,0.0,17,104,4.7
2023/08/01,13:00,12.2,0.0,13,109,4.0
2023/08/01,14:00,12.9,0.0,11,104,5.8
2023/08/01,15:00,12.9,0.0,12,113,4.3
2023/08/01,16:00,12.4,0.0,14,100,3.6
2023/08/01,17:00,11.5,0.0,15,110,3.2
2023/08/01,18:00,5.5,0.0,26,241,1.4
2023/08/01,19:00,0.4,0.0,37,109,0.9
2023/08/01,20:00,1.0,0.0,33,138,1.8
2023/08/01,21:00,-2.2,0.0,36,233,0.6
2023/08/01,22:00,-6.3,0.0,53,8,0.7
2023/08/01,23:00,-8.7,0.0,63,255,0.7
2023/08/02,00:00,-10.0,0.0,70,1,S/D
2023/08/02,01:00,-11.5,0.0,79,1,S/D
2023/08/02,02:00,-12.2,0.0,82,254,0.6
2023/08/02,03:00,-13.5,0.0,84,253,0.6
2023/08/02,04:00,-14.1,0.0,89,1,S/D
2023/08/02,05:00,-14.8,0.0,89,246,0.8
2023/08/02,06:00,-15.2,0.0,90,1,S/D
2023/08/02,07:00,-13.3,0.0,87,121,0.7
2023/08/02,08:00,-5.8,0.0,59,88,0.5
2023/08/02,09:00,1.9,0.0,40,96,1.4
2023/08/02,10:00,7.6,0.0,25,93,2.8
2023/08/02,11:00,9.9,0.0,18,150,1.5
2023/08/02,12:00,11.4,0.0,16,121,2.1
2023/08/02,13:00,12.7,0.0,16,275,3.0
2023/08/02,14:00,13.3,0.0,15,229,1.1
2023/08/02,15:00,13.7,0.0,14,136,1.2
2023/08/02,16:00,13.5,0.0,14,160,2.2
2023/08/02,17:00,12.3,0.0,13,157,4.4
2023/08/02,18:00,8.7,0.0,15,47,0.5
2023/08/02,19:00,4.9,0.0,25,231,1.0
2023/08/02,20:00,0.4,0.0,36,83,1.3
2023/08/02,21:00,-2.2,0.0,44,251,0.9
2023/08/02,22:00,-4.7,0.0,51,63,1.0
2023/08/02,23:00,-6.1,0.0,56,343,0.9
2023/08/03,00:00,-7.5,0.0,61,232,0.6
2023/08/03,01:00,-10.1,0.0,70,264,0.7
2023/08/03,02:00,-10.8,0.0,75,258,0.8
2023/08/03,03:00,-11.7,0.0,80,212,0.6
2023/08/03,04:00,-12.5,0.0,81,1,S/D
2023/08/03,05:00,-13.3,0.0,84,252,0.6
2023/08/03,06:00,-13.7,0.0,87,1,S/D
2023/08/03,07:00,-11.6,0.0,82,1,S/D
2023/08/03,08:00,-3.7,0.0,50,287,0.5
2023/08/03,09:00,3.9,0.0,32,42,1.9
2023/08/03,10:00,8.4,0.0,24,338,0.5
2023/08/03,11:00,10.7,0.0,21,66,3.5
2023/08/03,12:00,12.3,0.0,19,357,1.1
2023/08/03,13:00,13.5,0.0,18,54,2.2
2023/08/03,14:00,14.3,0.0,17,56,4.4
2023/08/03,15:00,13.6,0.0,18,80,3.1
2023/08/03,16:00,12.6,0.0,21,36,5.6
2023/08/03,17:00,10.9,0.0,25,346,1.8
2023/08/03,18:00,10.0,0.0,26,338,2.0
2023/08/03,19:00,8.9,0.0,26,278,3.8
2023/08/03,20:00,4.8,0.0,32,214,0.7
2023/08/03,21:00,1.1,0.0,42,298,0.6
2023/08/03,22:00,-0.4,0.0,44,240,0.4
2023/08/03,23:00,-1.4,0.0,46,255,1.0
