Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/07/01,00:00,-9.9,0.0,72,254,0.6
2023/07/01,01:00,-11.1,0.0,74,1,S/D
2023/07/01,02:00,-12.2,0.0,79,36,0.8
2023/07/01,03:00,-13.6,0.0,84,1,S/D
2023/07/01,04:00,-14.4,0.0,86,1,S/D
2023/07/01,05:00,-14.8,0.0,90,1,S/D
2023/07/01,06:00,-15.3,0.0,89,269,0.6
2023/07/01,07:00,-13.9,0.0,89,1,S/D
2023/07/01,08:00,-5.4,0.0,61,1,S/D
2023/07/01,09:00,2.2,0.0,38,84,2.0
2023/07/01,10:00,8.1,0.0,26,80,2.0
2023/07/01,11:00,11.5,0.0,17,14,1.3
2023/07/01,12:00,13.3,0.0,12,81,2.1
2023/07/01,13:00,14.3,0.0,12,84,1.9
2023/07/01,14:00,14.8,0.0,13,15,3.3
2023/07/01,15:00,15.2,0.0,12,33,3.1
2023/07/01,16:00,15.0,0.0,10,28,2.5
2023/07/01,17:00,12.8,0.0,14,312,3.2
2023/07/01,18:00,8.7,0.0,20,296,0.8
2023/07/01,19:00,5.1,0.0,25,220,1.1
2023/07/01,20:00,-0.6,0.0,38,224,1.1
2023/07/01,21:00,-3.1,0.0,46,213,0.6
2023/07/01,22:00,-5.8,0.0,55,228,0.5
2023/07/01,23:00,-8.1,0.0,63,1,S/D
2023/07/02,00:00,-9.9,0.0,68,157,0.5
2023/07/02,01:00,-11.4,0.0,75,225,0.7
2023/07/02,02:00,-12.5,0.0,78,1,S/D
2023/07/02,03:00,-13.7,0.0,82,1,S/D
2023/07/02,04:00,-14.3,0.0,86,299,0.1
2023/07/02,05:00,-14.8,0.0,89,1,S/D
2023/07/02,06:00,-15.3,0.0,89,1,S/D
2023/07/02,07:00,-13.8,0.0,89,1,S/D
2023/07/02,08:00,-6.4,0.0,60,1,S/D
2023/07/02,09:00,1.1,0.0,39,72,2.5
2023/07/02,10:00,7.9,0.0,24,28,1.9
2023/07/02,11:00,11.3,0.0,16,29,1.6
2023/07/02,12:00,13.3,0.0,14,58,1.1
2023/07/02,13:00,14.6,0.0,13,207,2.7
2023/07/02,14:00,15.6,0.0,12,80,3.6
2023/07/02,15:00,15.8,0.0,12,101,2.4
2023/07/02,16:00,15.3,0.0,12,154,5.7
2023/07/02,17:00,12.3,0.0,16,349,0.1
2023/07/02,18:00,6.0,0.0,25,83,1.4
2023/07/02,19:00,3.9,0.0,29,261,1.6
2023/07/02,20:00,1.4,0.0,34,318,0.2
2023/07/02,21:00,-2.5,0.0,42,206,1.8
2023/07/02,22:00,-4.7,0.0,50,59,0.6
2023/07/02,23:00,-7.1,0.0,60,1,S/D
2023/07/03,00:00,-8.6,0.0,67,306,0.4
2023/07/03,01:00,-10.7,0.0,74,1,S/D
2023/07/03,02:00,-12.0,0.0,81,1,S/D
2023/07/03,03:00,-13.5,0.0,84,148,1.1
2023/07/03,04:00,-14.4,0.0,88,278,0.8
2023/07/03,05:00,-15.3,0.0,89,267,0.6
2023/07/03,06:00,-16.3,0.0,91,1,S/D
2023/07/03,07:00,-14.7,0.0,93,50,0.6
2023/07/03,08:00,-6.2,0.0,62,91,1.4
2023/07/03,09:00,1.4,0.0,39,121,1.9
2023/07/03,10:00,8.9,0.0,23,59,2.6
2023/07/03,11:00,11.6,0.0,18,50,2.7
2023/07/03,12:00,14.4,0.0,14,77,1.6
2023/07/03,13:00,16.4,0.0,11,86,1.1
2023/07/03,14:00,17.5,0.0,9,77,1.2
2023/07/03,15:00,18.2,0.0,8,65,1.1
2023/07/03,16:00,18.2,0.0,9,126,3.2
2023/07/03,17:00,14.7,0.0,12,237,1.7
2023/07/03,18:00,7.0,0.0,22,247,1.6
2023/07/03,19:00,2.5,0.0,32,327,0.2
2023/07/03,20:00,-1.2,0.0,43,237,0.8
2023/07/03,21:00,-3.3,0.0,51,263,0.7
2023/07/03,22:00,-5.6,0.0,65,222,0.6
2023/07/03,23:00,-7.3,0.0,71,210,0.6
2023/07/04,00:00,-7.4,0.0,69,198,1.3
2023/07/04,01:00,-8.3,0.0,69,142,0.5
