Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CHUAPALCA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°18'31.76'',Longitud:69°39'42.44'',Altitud:4250,msnm.
,Tipo:EMA,-Meteorológica,Código:47E292C6
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/05/01,00:00,-4.6,0.0,84,231,0.7
2023/05/01,01:00,-5.8,0.0,88,1,S/D
2023/05/01,02:00,-7.0,0.0,95,1,S/D
2023/05/01,03:00,-7.9,0.0,97,1,S/D
2023/05/01,04:00,-8.6,0.0,99,242,0.9
2023/05/01,05:00,-9.1,0.0,99,273,0.7
2023/05/01,06:00,-9.5,0.0,100,47,0.6
2023/05/01,07:00,-6.8,0.0,94,27,0.6
2023/05/01,08:00,0.5,0.0,67,134,0.8
2023/05/01,09:00,8.4,0.0,43,69,2.4
2023/05/01,10:00,11.8,0.0,29,351,2.3
2023/05/01,11:00,14.1,0.0,23,23,4.6
2023/05/01,12:00,15.1,0.0,20,76,2.8
2023/05/01,13:00,16.1,0.0,19,39,3.7
2023/05/01,14:00,16.9,0.0,18,20,1.3
2023/05/01,15:00,17.0,0.0,17,260,2.4
2023/05/01,16:00,16.2,0.0,21,281,5.0
2023/05/01,17:00,12.9,0.0,30,285,7.5
2023/05/01,18:00,10.1,0.0,35,284,10.2
2023/05/01,19:00,8.2,0.0,37,197,0.7
2023/05/01,20:00,6.0,0.0,42,120,2.1
2023/05/01,21:00,4.0,0.0,49,145,1.2
2023/05/01,22:00,0.9,0.0,57,230,0.7
2023/05/01,23:00,-2.1,0.0,70,264,0.9
2023/05/02,00:00,-3.7,0.0,77,272,0.5
2023/05/02,01:00,-4.8,0.0,82,210,0.0
2023/05/02,02:00,-6.3,0.0,88,1,S/D
2023/05/02,03:00,-7.6,0.0,93,1,S/D
2023/05/02,04:00,-8.5,0.0,97,69,0.4
2023/05/02,05:00,-9.0,0.0,99,346,0.2
2023/05/02,06:00,-9.5,0.0,99,219,0.5
2023/05/02,07:00,-6.9,0.0,94,78,0.8
2023/05/02,08:00,0.2,0.0,67,49,0.6
