Nr.;Name;Manual Methode;;Calculated;;Icestupa height (fountain altitude);Calculated Volume;Date of flight
1;Igoo;;;4918.6;22.6625;4209.172;19980.9832;14.12.2021/17.03.2020
2;Karith;;;1451.31;11.91;3710.696;2177.88379;11.09.2020/3.03.2020
3;Karith 2;1133.94;8.8625;584.51;5.36;3692.025;1113.67354;13.12.2021/11.03.2021
4;Lamso;;;615.9;6.6625;3859.678;701.34359;11.09.2020/2.03.2020
5;Lamso 2;;;420.03;5.645;3863.354;471.843423;14.03.2021/10.03.2021
6;Mulbeck;;;1887.22;10.885;3450.785;1952.62304;11.09.2020/3.03.2020
7;Nang;;;1601.03;12.8125;3897.635;4291.13986;11.09.2020/27.02.2020
8;Phyang;5181.9;19.09;3633.2;16.6875;3915.578;13514.4556;11.09.2020/19.03.2020
9;Sandoo;1482.97;10.45125;735.2;7.216;3772.699;1955.81358;11.09.2020/2.03.2020
10;Shara;7935.77;18.1525;5122.92;16.0475;4287.676;9757.37302;14.12.2021/5.05.2019
11;Skurbuchan;;;956.65;9.2325;3023.304;1247.25869;11.09.2020/24.02.2020
12;Takmachik;;;1265.06;12.65;3031.971;2945.6098;11.09.2020/24.02.2020
13;Takmachik 2;;;1603.87;9.7375;3051.912;2169.40754;13.12.2021/5.03.2021
14;Tarchit;;;2362.98;17.165;3961.852;6137.83435;13.12.2021/19.03.2021
15;Patherka;;;770.27;9.52;3899.016;1218.03517;13.12.2021/2.03.2021
16;Kullum;;;328.67;6.95;3907.344;632.055674;13.12.2021/4.03.2021
17;Gangles;602;9.3825;228.29;9.025;4071.994;1025.14951;13.12.2021/3.03.2021
18;Apati;351.27;5.65625;158.52;4.1325;3840.272;332.848351;15.03.2021/11.03.2021
