,,Day,Water Collected
,,1,7144.32
,,2,8305.272
,,3,8126.664
,,4,7144.32
,,5,8751.792
,,6,10091.352
,,7,6429.888
,,8,1786
,,9,7144.32
,,10,7144.32
,,11,8930.4
,,12,10091.352
,,13,9912.7144
,,14,10091.352
,,15,11877.432
,,16,13038.384
,,17,8930.4
,,18,9376.92
,,19,11430.912
,,20,15092.376
,,21,18485.928
,,22,11877.432
,,23,14645.856
,,24,14199.336
,,25,15360.288
,,26,5536.848
,,27,6429.888
,,28,9198.312
,,29,11877.432
,,30,17324.976
,,31,17324.976
,,32,16431.936
,,33,10984.392
,,34,9644.832
,,35,17771.496
,,36,16431.936
,,37,17414.2
,,38,11877.432
,,39,13467.0392
,,40,9198.312
,,41,9376.92
,,42,9198.312
,,43,9198.312
,,44,9376.92
,,45,9376.92
,,46,12538.2784
,,47,12538.2784857143
,,48,12538.2784857143
,,49,14645.856
,,50,11877.432
,,51,11877.432
,,52,15985.416
,,53,13574.208
,,54,14645.856
,,55,11252
,,56,11698
,,57,15360
,,58,6251
,,59,609.75
,,60,640
,,,658882.506971428
 
