,level_0,index,When,T_a,RH,v_a,SW_direct,SW_diffuse,LW_in,p_a,Prec
0,0,0,2021-01-26 09:00:00,-14.954,67.159,2.31,88.745,95.465,195.898,785.153,0.0
1,1,1,2021-01-26 09:15:00,-14.395,66.985,2.181,112.0455,103.56725,194.375,785.142,0.0
2,2,2,2021-01-26 09:30:00,-13.836,66.811,2.052,135.346,111.6695,192.852,785.1310000000001,0.0
3,3,3,2021-01-26 09:45:00,-13.277000000000001,66.637,1.923,158.6465,119.77175,191.329,785.12,0.0
4,4,4,2021-01-26 10:00:00,-12.718,66.463,1.794,181.947,127.874,189.806,785.109,0.0
5,5,5,2021-01-26 10:15:00,-12.52,66.05975,1.787,211.91375,125.41024999999999,183.857,785.21975,0.0
6,6,6,2021-01-26 10:30:00,-12.322,65.6565,1.78,241.8805,122.9465,177.90800000000002,785.3305,0.0
7,7,7,2021-01-26 10:45:00,-12.124,65.25325,1.7730000000000001,271.84725000000003,120.48275000000001,171.959,785.4412500000001,0.0
8,8,8,2021-01-26 11:00:00,-11.926,64.85,1.766,301.814,118.019,166.01,785.552,0.0
9,9,9,2021-01-26 11:15:00,-11.900500000000001,64.96025,1.7685,314.151,115.84450000000001,164.56275,785.5535,0.0
10,10,10,2021-01-26 11:30:00,-11.875,65.0705,1.771,326.488,113.67,163.1155,785.5550000000001,0.0
11,11,11,2021-01-26 11:45:00,-11.849499999999999,65.18074999999999,1.7735,338.825,111.49549999999999,161.66825,785.5565,0.0
12,12,12,2021-01-26 12:00:00,-11.824,65.291,1.776,351.162,109.321,160.221,785.558,0.0
13,13,13,2021-01-26 12:15:00,-11.7635,64.66225,1.7835,339.65099999999995,111.577,162.3095,785.5755,0.0
14,14,14,2021-01-26 12:30:00,-11.703,64.0335,1.791,328.14,113.833,164.398,785.5930000000001,0.0
15,15,15,2021-01-26 12:45:00,-11.6425,63.40475,1.7985,316.629,116.089,166.48649999999998,785.6105,0.0
16,16,16,2021-01-26 13:00:00,-11.582,62.776,1.806,305.118,118.345,168.575,785.628,0.0
17,17,17,2021-01-26 13:15:00,-11.419500000000001,61.79900000000001,1.8907500000000002,288.64075,115.17099999999999,168.4945,785.6537500000001,0.0
18,18,18,2021-01-26 13:30:00,-11.257000000000001,60.822,1.9755,272.1635,111.997,168.414,785.6795,0.0
19,19,19,2021-01-26 13:45:00,-11.0945,59.845,2.06025,255.68625,108.82300000000001,168.3335,785.70525,0.0
20,20,20,2021-01-26 14:00:00,-10.932,58.868,2.145,239.209,105.649,168.253,785.731,0.0
21,21,21,2021-01-26 14:15:00,-11.09075,58.496750000000006,2.1635,210.918,101.21925,169.49275,785.7895,0.0
22,22,22,2021-01-26 14:30:00,-11.249500000000001,58.1255,2.182,182.627,96.7895,170.7325,785.848,0.0
23,23,23,2021-01-26 14:45:00,-11.40825,57.75425,2.2005,154.336,92.35975,171.97224999999997,785.9065,0.0
24,24,24,2021-01-26 15:00:00,-11.567,57.383,2.219,126.045,87.93,173.212,785.965,0.0
25,25,25,2021-01-26 15:15:00,-11.8055,57.818250000000006,2.2392499999999997,104.636,75.3425,170.45499999999998,786.00625,0.0
26,26,26,2021-01-26 15:30:00,-12.044,58.2535,2.2595,83.227,62.755,167.69799999999998,786.0475,0.0
27,27,27,2021-01-26 15:45:00,-12.2825,58.68875,2.27975,61.818,50.167500000000004,164.941,786.08875,0.0
28,28,28,2021-01-26 16:00:00,-12.521,59.124,2.3,40.409,37.58,162.184,786.13,0.0
29,29,29,2021-01-26 16:15:00,-12.91675,60.511500000000005,2.319,30.35125,28.442749999999997,161.57774999999998,786.22475,0.0
30,30,30,2021-01-26 16:30:00,-13.3125,61.899,2.338,20.293499999999998,19.3055,160.9715,786.3195000000001,0.0
31,31,31,2021-01-26 16:45:00,-13.70825,63.286500000000004,2.3569999999999998,10.235749999999996,10.16825,160.36525,786.41425,0.0
32,32,32,2021-01-26 17:00:00,-14.104,64.674,2.376,0.178,1.031,159.759,786.509,0.0
33,33,33,2021-01-26 17:15:00,-14.27,65.33025,2.3819999999999997,0.1335,0.77325,159.72424999999998,786.58325,0.0
34,34,34,2021-01-26 17:30:00,-14.436,65.9865,2.388,0.089,0.5155,159.6895,786.6575,0.0
35,35,35,2021-01-26 17:45:00,-14.602,66.64275,2.394,0.044499999999999984,0.2577499999999999,159.65475,786.73175,0.0
36,36,36,2021-01-26 18:00:00,-14.768,67.299,2.4,0.0,0.0,159.62,786.806,0.0
37,37,37,2021-01-26 18:15:00,-14.78175,67.432,2.4055,0.0,0.0,160.148,786.8875,0.0
38,38,38,2021-01-26 18:30:00,-14.7955,67.565,2.411,0.0,0.0,160.676,786.969,0.0
39,39,39,2021-01-26 18:45:00,-14.80925,67.69800000000001,2.4165,0.0,0.0,161.204,787.0504999999999,0.0
40,40,40,2021-01-26 19:00:00,-14.823,67.831,2.422,0.0,0.0,161.732,787.132,0.0
41,41,41,2021-01-26 19:15:00,-14.79725,67.89475,2.4335,0.0,0.0,162.3635,787.13625,0.0
42,42,42,2021-01-26 19:30:00,-14.7715,67.9585,2.4450000000000003,0.0,0.0,162.995,787.1405,0.0
43,43,43,2021-01-26 19:45:00,-14.745750000000001,68.02225,2.4565,0.0,0.0,163.62650000000002,787.1447499999999,0.0
44,44,44,2021-01-26 20:00:00,-14.72,68.086,2.468,0.0,0.0,164.258,787.149,0.0
45,45,45,2021-01-26 20:15:00,-14.89925,68.33275,2.48125,0.0,0.0,162.6935,787.1825,0.0
46,46,46,2021-01-26 20:30:00,-15.0785,68.5795,2.4945,0.0,0.0,161.12900000000002,787.216,0.0
47,47,47,2021-01-26 20:45:00,-15.25775,68.82624999999999,2.5077499999999997,0.0,0.0,159.5645,787.2495,0.0
48,48,48,2021-01-26 21:00:00,-15.437,69.073,2.521,0.0,0.0,158.0,787.283,0.0
49,49,49,2021-01-26 21:15:00,-15.76225,69.871,2.5645,0.0,0.0,160.53975,787.19575,0.0
50,50,50,2021-01-26 21:30:00,-16.0875,70.669,2.6079999999999997,0.0,0.0,163.0795,787.1085,0.0
51,51,51,2021-01-26 21:45:00,-16.41275,71.467,2.6515,0.0,0.0,165.61925,787.02125,0.0
52,52,52,2021-01-26 22:00:00,-16.738,72.265,2.695,0.0,0.0,168.159,786.934,0.0
53,53,53,2021-01-26 22:15:00,-16.996,72.32675,2.707,0.0,0.0,168.49775,787.04075,0.0
54,54,54,2021-01-26 22:30:00,-17.253999999999998,72.3885,2.719,0.0,0.0,168.8365,787.1475,0.0
55,55,55,2021-01-26 22:45:00,-17.512,72.45025,2.731,0.0,0.0,169.17525,787.25425,0.0
56,56,56,2021-01-26 23:00:00,-17.77,72.512,2.743,0.0,0.0,169.514,787.361,0.0
57,57,57,2021-01-26 23:15:00,-18.00225,72.84925,2.671,0.0,0.0,171.02550000000002,787.26025,0.0
58,58,58,2021-01-26 23:30:00,-18.2345,73.1865,2.599,0.0,0.0,172.537,787.1595,0.0
