,When,Discharge,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in
0,2021-01-19 16:00:00,10.596,-28.678,-24.705,0.814,21.294,29.422,0.0,790.356,Precp_aSW_directSW_diffuseLW_in,200.194
1,2021-01-19 16:30:00,3.339,-8.167,-24.708,0.806,10.647,14.711,0.0,790.349,T_aPrecp_aSW_directSW_diffuseLW_in,195.159
2,2021-01-19 17:00:00,14.293,-8.485,62.426,0.984,0.0,0.0,0.0,790.342,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,190.124
3,2021-01-19 17:30:00,14.293,-8.674,63.223,0.971,0.0,0.0,0.0,790.342,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,188.511
4,2021-01-19 18:00:00,14.293,-8.864,64.02,0.957,0.0,0.0,0.0,790.341,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,186.898
5,2021-01-19 18:30:00,14.293,-9.068,64.209,0.941,0.0,0.0,0.0,790.342,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,199.306
6,2021-01-19 19:00:00,14.293,-9.272,64.398,0.924,0.0,0.0,0.0,790.344,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,211.713
7,2021-01-19 19:30:00,14.293,-9.293,64.318,0.991,0.0,0.0,0.0,790.296,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,206.999
8,2021-01-19 20:00:00,14.293,-9.314,64.238,1.058,0.0,0.0,0.0,790.248,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,202.285
9,2021-01-19 20:30:00,14.293,-9.407,63.79,1.111,0.0,0.0,0.0,790.153,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,200.774
10,2021-01-19 21:00:00,14.293,-9.499,63.342,1.165,0.0,0.0,0.0,790.058,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,199.262
11,2021-01-19 21:30:00,14.293,-9.502,65.511,1.617,0.0,0.0,0.0,790.01,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,196.628
12,2021-01-19 22:00:00,14.293,-9.505,67.68,2.069,0.0,0.0,0.0,789.963,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,193.995
13,2021-01-19 22:30:00,14.293,-9.563,67.946,1.71,0.0,0.0,0.0,789.924,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,199.252
14,2021-01-19 23:00:00,14.293,-9.62,68.213,1.352,0.0,0.0,0.0,789.884,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,204.508
15,2021-01-19 23:30:00,14.293,-9.517,67.246,1.483,0.0,0.0,0.0,789.859,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,202.454
16,2021-01-20 00:00:00,14.293,-9.413,66.28,1.614,0.0,0.0,0.0,789.834,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,200.4
17,2021-01-20 00:30:00,14.293,-9.351,65.322,1.581,0.0,0.0,0.0,789.656,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,202.86
18,2021-01-20 01:00:00,14.293,-9.289,64.364,1.547,0.0,0.0,0.0,789.477,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,205.32
19,2021-01-20 01:30:00,14.293,-9.212,63.42,1.567,0.0,0.0,0.0,789.354,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,204.736
20,2021-01-20 02:00:00,14.293,-9.136,62.475,1.588,0.0,0.0,0.0,789.232,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,204.152
21,2021-01-20 02:30:00,14.293,-9.057,61.41,1.569,0.0,0.0,0.0,789.105,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,199.312
22,2021-01-20 03:00:00,14.293,-8.978,60.345,1.551,0.0,0.0,0.0,788.978,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,194.472
23,2021-01-20 03:30:00,14.293,-8.962,60.775,1.541,0.0,0.0,0.0,788.834,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,188.942
24,2021-01-20 04:00:00,14.293,-8.946,61.205,1.531,0.0,0.0,0.0,788.691,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,183.413
25,2021-01-20 04:30:00,14.293,-8.967,61.49,1.54,0.0,0.0,0.0,788.629,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,184.288
26,2021-01-20 05:00:00,14.293,-8.989,61.775,1.549,0.0,0.0,0.0,788.567,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,185.163
27,2021-01-20 05:30:00,14.293,-8.944,62.785,1.253,0.0,0.0,0.0,788.657,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,188.5
28,2021-01-20 06:00:00,14.293,-8.898,63.795,0.957,0.0,0.0,0.0,788.747,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,191.838
29,2021-01-20 06:30:00,14.293,-8.91,64.595,1.146,0.0,0.0,0.0,788.854,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,205.898
30,2021-01-20 07:00:00,14.293,-8.921,65.394,1.335,0.0,0.0,0.0,788.961,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,219.959
31,2021-01-20 07:30:00,14.293,-8.894,66.504,1.651,10.102,12.442,0.0,789.04,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,211.848
32,2021-01-20 08:00:00,14.293,-8.866,67.615,1.967,20.205,24.884,0.0,789.119,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,203.738
33,2021-01-20 08:30:00,14.293,-8.794,69.133,1.792,54.348,47.042,0.0,789.149,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,217.073
34,2021-01-20 09:00:00,14.293,-8.721,70.651,1.617,88.49,69.201,0.0,789.179,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,230.408
35,2021-01-20 09:30:00,14.293,-8.62,68.758,1.466,120.632,83.892,0.0,789.166,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,226.89
36,2021-01-20 10:00:00,14.293,-8.52,66.865,1.316,152.774,98.584,0.0,789.153,T_aRHv_aPrecp_aSW_directSW_diffuseLW_in,223.372
