,When,sea,Discharge,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,LW_in,h_f,missing_type,a,vp_a,cld
0,2021-01-19 16:00:00,0.0,14.128,-16.667,-24.704,0.895,21.294,29.422,0.0,772.5,200.194,5.0,SW_directSW_diffuseLW_in,0.35,0.0,0
1,2021-01-19 17:00:00,0.0,15.811,-9.868,68.952,0.559,0.0,0.0,0.0,772.5,190.124,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.99,0
2,2021-01-19 18:00:00,0.0,15.811,-11.028,70.65,0.544,0.0,0.0,0.0,772.7,186.898,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.86,0
3,2021-01-19 19:00:00,0.0,15.811,-12.274,71.053,0.525,0.0,0.0,0.0,772.6,211.713,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.692,0
4,2021-01-19 20:00:00,0.0,15.811,-12.401,70.882,0.601,0.0,0.0,0.0,772.4,202.285,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.67,0
5,2021-01-19 21:00:00,0.0,15.811,-12.967,69.928,0.662,0.0,0.0,0.0,772.3,199.262,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.574,0
6,2021-01-19 22:00:00,0.0,15.811,-12.984,74.549,1.177,0.0,0.0,0.0,772.05,193.995,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.676,0
7,2021-01-19 23:00:00,0.0,15.811,-13.336,75.116,0.769,0.0,0.0,0.0,771.75,204.508,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.64,0
8,2021-01-20 00:00:00,0.0,15.811,-12.704,73.057,0.918,0.0,0.0,0.0,771.6,200.4,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.68,0
9,2021-01-20 01:00:00,0.0,15.811,-12.324,71.017,0.88,0.0,0.0,0.0,771.4,205.32,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.684,0
10,2021-01-20 02:00:00,0.0,15.811,-11.858,69.005,0.903,0.0,0.0,0.0,771.3,204.152,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.699,0
11,2021-01-20 03:00:00,0.0,15.811,-11.375,66.736,0.882,0.0,0.0,0.0,770.95,194.472,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.708,0
12,2021-01-20 04:00:00,0.0,15.811,-11.276,67.652,0.871,0.0,0.0,0.0,770.75,183.413,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.746,0
13,2021-01-20 05:00:00,0.0,15.811,-11.408,68.259,0.881,0.0,0.0,0.0,770.85,185.163,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.743,0
14,2021-01-20 06:00:00,0.0,15.811,-11.132,70.411,0.544,0.0,0.0,0.0,771.2,191.838,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.838,0
15,2021-01-20 07:00:00,0.0,15.811,-11.202,72.114,0.759,0.0,0.0,0.0,771.25,219.959,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.872,0
16,2021-01-20 08:00:00,0.144,15.811,-11.034,74.479,1.119,20.205,24.884,0.0,771.3,203.738,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,1.959,0
17,2021-01-20 09:00:00,0.267,15.811,-10.59,77.713,0.92,88.49,69.201,0.0,771.6,230.408,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.118,0
18,2021-01-20 10:00:00,0.356,15.811,-9.976,73.681,0.748,152.774,98.584,0.0,771.55,223.372,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.109,0
19,2021-01-20 11:00:00,0.404,15.811,-8.339,71.211,0.836,176.825,126.087,0.0,770.95,218.169,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.319,0
20,2021-01-20 12:00:00,0.405,15.811,-7.511,73.164,1.002,193.537,138.072,0.0,770.45,230.373,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.541,0
21,2021-01-20 13:00:00,0.359,15.811,-6.774,73.994,0.96,171.977,138.293,0.0,769.8,231.872,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.72,0
22,2021-01-20 14:00:00,0.271,15.811,-6.722,77.375,1.107,70.616,131.148,0.0,769.5,249.939,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.856,0
23,2021-01-20 15:00:00,0.15,15.811,-6.848,80.34,1.39,32.43,83.771,0.0,769.4,257.523,5.0,T_aRHv_aSW_directSW_diffuseLW_in,0.35,2.937,0
