,time,t2m,d2m,u10,v10,ssrd
0,2019-01-01 01:00:00,266.026,265.4519,1.8852487,-0.26727253,1.0
1,2019-01-01 02:00:00,265.93573,265.2043,2.1070387,-0.49849987,1.0
2,2019-01-01 03:00:00,266.7046,265.7561,1.8312476,-0.5733359,1.0
3,2019-01-01 04:00:00,266.85266,265.8316,1.6739783,-0.5938894,1.0
4,2019-01-01 05:00:00,267.04507,265.82724,1.4197526,-0.40403265,1.0
5,2019-01-01 06:00:00,267.11795,265.9013,0.8357346,-0.21826024,1.0
6,2019-01-01 07:00:00,266.76794,265.9093,0.37935543,-0.5666164,1.0
7,2019-01-01 08:00:00,263.14606,261.94598,-1.7058215,-0.3548886,1.0
8,2019-01-01 09:00:00,262.69788,261.34775,-1.519974,-0.6950761,1.0
9,2019-01-01 10:00:00,262.47144,260.8047,-1.2007015,-1.1231432,1.0
10,2019-01-01 11:00:00,262.2196,259.85724,-0.6680546,-1.8124774,1.0
11,2019-01-01 12:00:00,262.05728,259.37805,-0.23183823,-2.4798086,1.0
12,2019-01-01 13:00:00,261.92902,258.90543,-0.12541413,-2.9240813,1.0
13,2019-01-01 14:00:00,261.5806,258.48724,0.16352654,-2.9165714,1.0
14,2019-01-01 15:00:00,261.15063,258.08432,0.4910395,-2.673091,1.0
15,2019-01-01 16:00:00,260.15213,257.08603,0.9612695,-2.2392268,1.0
16,2019-01-01 17:00:00,259.3888,256.74554,1.4202785,-2.2467368,1.0
17,2019-01-01 18:00:00,258.8543,256.92703,1.5892948,-2.5775697,1.0
18,2019-01-01 19:00:00,258.32138,256.35928,1.5670282,-2.7261877,1.0
19,2019-01-01 20:00:00,257.8843,255.47429,1.6324255,-2.5596511,1.0
20,2019-01-01 21:00:00,257.35693,254.72577,1.7162323,-2.4675555,1.0
21,2019-01-01 22:00:00,257.3031,254.82668,1.7351677,-2.1139293,1.0
22,2019-01-01 23:00:00,257.20172,255.27681,1.8365074,-1.8429124,1.0
23,2019-01-02 00:00:00,257.06,255.50404,1.9203143,-1.815903,1.0
24,2019-01-02 01:00:00,257.06158,255.64345,1.9125998,-1.7931097,1.0
25,2019-01-02 02:00:00,256.9911,255.67104,1.9006776,-1.6379039,1.0
26,2019-01-02 03:00:00,257.00458,255.74435,1.9299574,-1.4769013,1.0
27,2019-01-02 04:00:00,257.1661,255.9157,1.9190869,-1.2830918,1.0
28,2019-01-02 05:00:00,257.28488,256.05728,1.853339,-1.168071,1.0
29,2019-01-02 06:00:00,257.39572,256.15674,1.8156434,-1.0858569,1.0
30,2019-01-02 07:00:00,257.66495,256.37308,1.6904591,-1.0085176,1.0
31,2019-01-02 08:00:00,259.04434,257.57248,1.446753,-0.5062733,1.0
32,2019-01-02 09:00:00,258.73947,257.19058,1.4558702,-0.41549522,1.0
