,time,temp,wind,RH,ppt
0,2020-01-01 00:00:00,-7.803,1.193,91.368,0.0
1,2020-01-01 01:00:00,-7.899,1.024,93.996,0.0
2,2020-01-01 02:00:00,-8.239,0.802,94.553,0.12
3,2020-01-01 03:00:00,-8.487,0.629,93.907,0.199
4,2020-01-01 04:00:00,-8.732,0.931,93.687,0.394
5,2020-01-01 05:00:00,-8.8,1.365,92.624,0.789
6,2020-01-01 06:00:00,-8.76,1.323,93.2,1.19
7,2020-01-01 07:00:00,-8.084,1.004,93.89,0.907
8,2020-01-01 08:00:00,-8.058,1.04,93.948,1.061
9,2020-01-01 09:00:00,-8.259,1.198,93.742,0.789
10,2020-01-01 10:00:00,-8.197,1.377,93.665,0.304
11,2020-01-01 11:00:00,-7.591,1.357,94.909,0.407
12,2020-01-01 12:00:00,-7.191,1.477,95.406,1.15
13,2020-01-01 13:00:00,-6.578,1.576,96.077,2.116
14,2020-01-01 14:00:00,-6.103,1.803,96.103,1.486
15,2020-01-01 15:00:00,-5.69,2.646,95.376,0.632
16,2020-01-01 16:00:00,-4.867,2.68,94.611,1.32
17,2020-01-01 17:00:00,-4.531,3.604,92.883,1.734
18,2020-01-01 18:00:00,-3.475,4.811,88.014,0.551
19,2020-01-01 19:00:00,-3.142,4.946,89.714,0.741
20,2020-01-01 20:00:00,-2.893,5.741,82.624,1.009
21,2020-01-01 21:00:00,-3.089,5.842,84.289,0.856
22,2020-01-01 22:00:00,-2.909,5.91,87.527,1.309
23,2020-01-01 23:00:00,-2.994,5.476,87.492,1.083
24,2020-01-02 00:00:00,-3.339,4.908,86.592,0.639
25,2020-01-02 01:00:00,-3.644,4.45,85.703,0.0
26,2020-01-02 02:00:00,-4.234,3.814,85.993,0.315
27,2020-01-02 03:00:00,-4.708,2.981,85.551,0.083
28,2020-01-02 04:00:00,-4.826,2.258,86.34,0.201
29,2020-01-02 05:00:00,-3.054,1.408,85.433,0.426
30,2020-01-02 06:00:00,-3.412,1.044,91.159,0.66
31,2020-01-02 07:00:00,-3.705,1.212,94.121,0.67
32,2020-01-02 08:00:00,-4.704,1.454,96.849,0.933
33,2020-01-02 09:00:00,-4.978,1.589,96.607,1.263
34,2020-01-02 10:00:00,-4.935,1.741,95.976,1.772
35,2020-01-02 11:00:00,-4.683,1.849,95.933,1.732
36,2020-01-02 12:00:00,-4.386,1.966,96.818,1.956
37,2020-01-02 13:00:00,-3.69,2.622,96.426,1.86
38,2020-01-02 14:00:00,-3.289,2.898,95.882,1.883
39,2020-01-02 15:00:00,-2.868,2.654,94.507,1.309
40,2020-01-02 16:00:00,-2.879,2.375,94.905,0.975
41,2020-01-02 17:00:00,-2.447,2.003,95.014,0.782
42,2020-01-02 18:00:00,-2.12,1.687,96.306,0.78
43,2020-01-02 19:00:00,-2.355,1.56,96.781,1.068
44,2020-01-02 20:00:00,-3.331,1.923,97.408,1.141
45,2020-01-02 21:00:00,-3.19,2.313,97.494,1.142
46,2020-01-02 22:00:00,-3.115,2.746,96.304,0.804
47,2020-01-02 23:00:00,-2.761,2.932,93.199,0.662
48,2020-01-03 00:00:00,-3.014,2.72,91.638,0.452
49,2020-01-03 01:00:00,-3.213,2.176,91.285,0.0
