,When,d2m,fdir,sp,ssrd,strd,t2m,tp,u10,v10
0,2021-01-01 00:00:00,239.17271423,0.0,59528.144531,0.0,513984.1875,247.02636719,3.0525291095e-07,-0.024011295289,-0.31195867062
1,2021-01-01 01:00:00,239.08810425,0.0,59514.546875,0.0,524718.0,247.06471252,3.0525291095e-07,-0.010121595114,-0.29242277145
2,2021-01-01 02:00:00,239.09613037,0.0,59536.511719,0.0,575216.5625,246.85623169,4.768371582e-07,0.00081760203466,-0.31492823362
3,2021-01-01 03:00:00,239.55726624,86182.6875,59592.917969,233483.25,555935.3125,246.58265686,3.0525291095e-07,-0.01332006231,-0.31224143505
4,2021-01-01 04:00:00,241.97058105,496921.8125,59617.871094,881161.1875,554037.75,247.29174805,4.768371582e-07,0.016778182238,-0.31236535311
5,2021-01-01 05:00:00,242.53338623,846854.875,59619.585938,1458449.0,584239.875,249.91261292,4.768371582e-07,0.0099747478962,-0.28016096354
6,2021-01-01 06:00:00,246.62606812,1247811.0,59610.542969,1909855.0,593357.6875,252.76257324,7.8209006915e-07,0.039786439389,-0.27013719082
7,2021-01-01 07:00:00,248.79389954,1068684.0,59562.671875,2039111.0,618571.0625,254.61260986,2.3273214538e-06,0.048883061856,-0.30581575632
8,2021-01-01 08:00:00,249.9549408,1244117.0,59520.816406,2085005.0,606798.0625,257.4050293,1.2399787011e-06,0.098396241665,-0.31048697233
9,2021-01-01 09:00:00,250.75244141,1252849.0,59479.953125,1870264.0,558437.375,257.97631836,3.4316838082e-07,0.10126107931,-0.31912088394
10,2021-01-01 10:00:00,249.75733948,1104912.0,59470.679688,1464774.0,533056.6875,256.33618164,1.7158419041e-07,0.14059442282,-0.35262739658
11,2021-01-01 11:00:00,248.80506897,583192.5625,59463.289062,813976.875,508068.0,257.64428711,0.0,0.14816904068,-0.3609406352
12,2021-01-01 12:00:00,248.84590149,111088.375,59456.253906,170108.6875,477343.625,257.03173828,0.0,0.10479384661,-0.32092380524
13,2021-01-01 13:00:00,248.50035095,0.0,59472.113281,0.0,478372.875,256.40966797,0.0,0.070463120937,-0.27142798901
14,2021-01-01 14:00:00,246.9606781,0.0,59474.730469,0.0,469993.5,253.45304871,0.0,0.058846842498,-0.28099173307
15,2021-01-01 15:00:00,245.97903442,0.0,59504.667969,0.0,466690.875,251.39369202,0.0,0.023012883961,-0.2826295495
16,2021-01-01 16:00:00,244.90969849,0.0,59509.195312,0.0,462925.3125,250.48631287,0.0,0.0095386207104,-0.31585270166
17,2021-01-01 17:00:00,243.40956116,0.0,59493.394531,0.0,459377.5,248.65943909,0.0,0.0028164912947,-0.31161135435
