,When,d2m,fdir,sp,ssrd,strd,t2m,tp,u10,v10
0,2020-01-01 00:00:00,258.86425781,0.0,78218.4375,0.0,815647.625,263.19726562,2.4788796509e-06,-1.0438518524,2.4936714172
1,2020-01-01 01:00:00,259.10058594,0.0,78199.625,0.0,803115.75,263.20288086,4.0037766667e-06,-1.0062208176,2.4160175322999997
2,2020-01-01 02:00:00,258.77563477,0.0,78222.4375,0.0,820600.8125,262.48950195,1.906120815e-06,-0.9677904248200001,2.4689378738
3,2020-01-01 03:00:00,257.95043945,1101.1835938,78234.375,7706.097656199999,766010.6875,260.96044922,3.812241971e-07,-0.9827673435200002,2.5083045959
4,2020-01-01 04:00:00,258.02270508,75621.6875,78260.4375,261756.9375,798288.25,261.03027344,3.812241971e-07,-0.8717421889299999,2.4385557175
5,2020-01-01 05:00:00,258.23193359,419014.9375,78265.4375,780890.125,754614.1875,262.76513672,0.0,-0.73616820574,2.0675773621
6,2020-01-01 06:00:00,258.81323242,806204.8125,78280.0625,1332980.0,723628.5625,263.10644531,2.8622503123e-07,-0.76231539249,1.7504997253
7,2020-01-01 07:00:00,260.82177734,1032977.3125,78216.25,1580818.0,834174.3125,265.26000977,5.7245006246e-07,-0.84549665451,1.4333992004
8,2020-01-01 08:00:00,262.15991211,917821.9375,78180.9375,1614076.0,791724.875,268.01806641,4.5799097279e-06,-0.85530936718,1.2217216492
9,2020-01-01 09:00:00,262.07202148,860940.25,78153.9375,1499235.0,776081.9375,269.52758789,8.7785947471e-06,-0.9416264891600001,0.89798730612
10,2020-01-01 10:00:00,263.19775391,379507.3125,78145.375,1096316.0,882241.0625,268.62060547,7.4421595855e-06,-1.3107481003,0.19943237305
11,2020-01-01 11:00:00,262.37573242,224816.125,78153.875,684397.8125,800038.625,268.85742188,5.7248098528e-06,-1.4113826752,0.37076127528999997
12,2020-01-01 12:00:00,264.05419922,18228.207031,78163.75,173221.125,858750.9375,270.18359375,6.4887944973e-06,-1.424282074,0.9448909759499999
13,2020-01-01 13:00:00,264.05615234,0.0,78187.375,0.0,860798.625,270.61206055,7.0612450145e-06,-1.3026895523,1.5093679428
14,2020-01-01 14:00:00,263.77587891,0.0,78183.1875,0.0,825672.9375,270.27978516,9.8278824225e-06,-1.1752109528,1.7529544830000001
15,2020-01-01 15:00:00,262.66943359,0.0,78199.625,0.0,842078.875,267.70776367,1.0592021680999999e-05,-0.9766984581899999,1.880739212
16,2020-01-01 16:00:00,262.26049805,0.0,78216.9375,0.0,814219.125,267.15380859,8.015842468e-06,-0.8307080864899999,1.8876209259
17,2020-01-01 17:00:00,261.91723633,0.0,78209.6875,0.0,822422.0,266.32373047,9.2555865194e-06,-0.68035322428,1.9030303955
18,2020-01-01 18:00:00,261.62719727,0.0,78204.75,0.0,841930.75,266.63378906,1.2977744518e-05,-0.64613866806,1.9163074493
19,2020-01-01 19:00:00,261.62280273,0.0,78187.75,0.0,782422.5,266.69702148,5.4396623455e-06,-0.55636298656,1.9320030212000001
20,2020-01-01 20:00:00,261.20776367,0.0,78183.3125,0.0,811125.25,266.32592773,9.1598194558e-06,-0.45114785433,1.8155069351
21,2020-01-01 21:00:00,261.46679688,0.0,78176.9375,0.0,848704.4375,266.91113281,1.5267694835e-05,-0.4312209487,1.7089357375999998
22,2020-01-01 22:00:00,261.97607422,0.0,78164.0625,0.0,854715.625,265.82128906,1.8513324903e-05,-0.46177059412,1.6610898971999999
23,2020-01-01 23:00:00,262.78955078,0.0,78162.25,0.0,896232.1875,266.65917969,2.1186497179000003e-05,-0.36703783274,1.3412675858
24,2020-01-02 00:00:00,262.42993164,0.0,78151.125,0.0,866731.1875,266.73364258,2.4525899789e-05,-0.386308074,1.6074256896999999
25,2020-01-02 01:00:00,262.58642578,0.0,78205.0,0.0,873205.1875,267.16845703,2.1567422664e-05,-0.26030778885,1.8355369568000002
26,2020-01-02 02:00:00,263.06103516,0.0,78198.5,0.0,885327.75,267.94970703,2.0420047804e-05,-0.36935210228,1.8023958206
27,2020-01-02 03:00:00,263.51586914,140.85369873,78203.5,7307.738281199999,881608.125,268.89819336,1.9847604563000002e-05,-0.45756226778000003,1.6611013412
28,2020-01-02 04:00:00,263.20043945,15252.144531,78264.875,226919.625,873502.9375,269.03295898,1.5936064300999998e-05,-0.41861844063000003,1.550157547
29,2020-01-02 05:00:00,263.82104492,43602.273438,78290.8125,601161.8125,886702.4375,269.7746582,2.0707506337e-05,-0.4117757678,1.3674135208000002
30,2020-01-02 06:00:00,264.04296875,99784.25,78295.75,929291.6875,897855.5,269.94042969,3.9405771530999996e-05,-0.075649142265,0.76679670811
31,2020-01-02 07:00:00,264.30786133,487640.1875,78282.8125,1397301.0,871861.5625,269.89428711,3.8932616008e-05,-0.32545638084,0.23173546790999996
32,2020-01-02 08:00:00,265.50463867,223718.6875,78227.8125,1226301.0,942576.25,270.72216797,5.4014933993999995e-05,-0.46890574694,-0.20138794184
33,2020-01-02 09:00:00,265.57006836,248648.3125,78219.375,1108128.0,947324.0625,269.62841797,6.8324516178e-05,-0.29406785965,-0.5110424161
34,2020-01-02 10:00:00,265.24438477,234267.3125,78265.6875,805739.625,947224.4375,269.40844727,7.4423791375e-05,0.21321886778000002,-0.12986147404
35,2020-01-02 11:00:00,266.03515625,74258.375,78307.125,530109.75,929783.9375,270.06347656,0.00011778544285,0.38392305373999996,-0.5416303277000001
36,2020-01-02 12:00:00,266.87573242,35173.441406,78357.0625,151213.5,919320.9375,270.3605957,5.476090882399999e-05,0.38792401552,-0.0078725852072
37,2020-01-02 13:00:00,267.5402832,0.0,78384.0,25.562774658000002,941657.5625,270.95288086,9.050848893799999e-05,0.044252455235,0.98729199171
38,2020-01-02 14:00:00,267.3125,0.0,78377.4375,0.0,909257.0,270.35546875,0.00011844406254000001,0.17508500814,1.0447635651
39,2020-01-02 15:00:00,267.43847656,0.0,78395.5625,0.0,913097.5625,270.8671875,0.00010644100257,-0.10153639317,1.2511234283
40,2020-01-02 16:00:00,267.48950195,0.0,78400.5625,0.0,932608.6875,271.19702148,0.00013693056826,-0.22230726480000002,1.2364082336
41,2020-01-02 17:00:00,267.22558594,0.0,78391.5625,0.0,881043.1875,270.70263672,0.00014358348562000002,-0.11272960900999998,1.1132297516
42,2020-01-02 18:00:00,267.26806641,0.0,78393.1875,0.0,873989.5,270.80297852,8.029455784700001e-05,-0.015743397176000002,1.2058143615999999
43,2020-01-02 19:00:00,266.99902344,0.0,78401.375,0.0,829469.4375,270.57519531,3.5298537114e-05,0.15593600273,1.2203855515000002
44,2020-01-02 20:00:00,266.6105957,0.0,78401.3125,0.0,899672.4375,270.6418457,0.00013270475029,0.092482864857,1.2248620987
45,2020-01-02 21:00:00,266.24780273,0.0,78390.4375,0.0,886896.0625,270.76782227,0.00012852209329000002,0.08997374773,1.1581916809000001
46,2020-01-02 22:00:00,265.96630859,0.0,78394.125,0.0,932817.5625,271.05834961,0.00022705935407,0.22013795375999998,0.73413300514
47,2020-01-02 23:00:00,265.70996094,0.0,78407.5,0.0,894070.0625,270.3137207,0.00019451450498,-0.016520023345999998,0.6876707673100001
48,2020-01-03 00:00:00,265.56860352,0.0,78380.75,0.0,927755.125,269.96972656,0.00022692268249000001,-0.47154742478999995,0.44582533836000005
49,2020-01-03 01:00:00,265.46630859,0.0,78388.875,0.0,871386.125,269.31982422,0.00027245236561,-0.35400348901999995,0.56062984467
50,2020-01-03 02:00:00,265.3527832,0.0,78404.625,0.0,878349.5,269.17211914,0.00028131273574999997,-0.32275730371,0.79890090227
51,2020-01-03 03:00:00,265.02050781,89.58351135299999,78454.375,6616.921875,882761.8125,268.87060547,0.00022546113177999999,-0.24659281969,0.90611857176
52,2020-01-03 04:00:00,263.81958008,55846.17578099999,78492.8125,244678.875,863378.6875,268.00512695,0.00027428963222000003,-0.22942268848000003,0.8617752194399999
53,2020-01-03 05:00:00,263.38452148,275869.6875,78510.5,706281.125,802569.0,267.69116211,0.00027735275216,-0.19010925292999997,0.47259682416999993
54,2020-01-03 06:00:00,263.56030273,406242.75,78518.4375,1115284.0,807015.5,267.49511719,0.00027582049369999996,-0.30747383833,0.25303411484
55,2020-01-03 07:00:00,264.34838867,144724.6875,78487.4375,995047.75,906598.625,267.44482422,0.00039757229388,-0.16096454859,0.15414088964000003
56,2020-01-03 08:00:00,265.25805664,129347.5,78460.5625,973447.9375,935528.25,268.19042969,0.00041062314995,-0.1172901392,-0.10318273306
57,2020-01-03 09:00:00,265.80126953,42502.621094,78442.625,776621.875,951637.0625,267.88134766,0.0005467380397000001,-0.010185260326000001,-0.30517333745999997
58,2020-01-03 10:00:00,265.65820312,46146.875,78477.5625,514446.75,937646.6875,267.89990234,0.00087030977011,0.077424705029,-0.35123670101
59,2020-01-03 11:00:00,266.34863281,65305.79296900001,78502.4375,305090.0,955024.375,268.22973633,0.00086509133689,-0.04308704659300001,-0.64933699369
60,2020-01-03 12:00:00,267.20068359,38.416473389000004,78500.5625,71776.5,967140.125,268.83911133,0.0009578068275000001,-0.40287387371,-0.54036784172
61,2020-01-03 13:00:00,267.55664062,0.0,78534.125,25.562774658000002,984328.3125,269.49121094,0.00086203054525,-0.63620769978,0.073255836964
62,2020-01-03 14:00:00,267.49438477,0.0,78520.125,0.0,1006779.1875,269.19311523,0.00065605319105,-0.63463097811,0.28203213215
63,2020-01-03 15:00:00,268.08837891,0.0,78532.5625,0.0,994724.625,269.5925293,0.0004903615918,-0.60290002823,0.40364229678999997
64,2020-01-03 16:00:00,267.78759766,0.0,78518.8125,0.0,990781.0625,269.62768555,0.00035949912854000004,-0.5583414435399999,0.52851456404
65,2020-01-03 17:00:00,266.17431641,0.0,78524.1875,0.0,993563.25,269.28808594,0.00026163854636,-0.53606104851,0.44282317162
