,When,d2m,fdir,sp,ssrd,strd,t2m,tp,u10,v10
0,2021-01-01 00:00:00,266.44042969,0.0,87956.8125,0.0,1011886.8125,269.25756836,0.00050836848095,-1.1570196151999999,1.7905435562
1,2021-01-01 01:00:00,266.70214844,0.0,87948.8125,0.0,1012520.6875,269.22241211,0.00043024402112000005,-1.2748346329,1.5284032822
2,2021-01-01 02:00:00,266.85864258,0.0,87967.5,0.0,1022100.625,269.26806641,0.00040458468719999996,-1.2265176773,1.3612556458
3,2021-01-01 03:00:00,267.07836914,0.0,87974.75,0.0,1034192.6875,269.29760742,0.00043130223638999997,-1.1129283905,1.2704572678000001
4,2021-01-01 04:00:00,267.12719727,0.0,87969.875,0.0,1045476.625,269.22924805,0.0005524968728400001,-0.99412083626,1.1102457047
5,2021-01-01 05:00:00,266.97680664,0.0,87971.9375,0.0,1018282.0,269.11645508,0.00058289733715,-0.9613655209499999,0.8719877004600001
6,2021-01-01 06:00:00,266.89916992,0.0,87993.6875,0.0,1000478.75,268.99316406,0.00049954699352,-1.0416040421,0.57731854916
7,2021-01-01 07:00:00,266.79492188,0.0,88029.9375,0.0,1009255.875,268.94702148,0.00043046986683999996,-1.1808633804000002,0.6499965786899999
8,2021-01-01 08:00:00,266.60351562,8519.4609375,88043.375,29734.222656,979680.0,269.00097656,0.00022595349583000003,-0.8855330944099999,0.40468508005000003
9,2021-01-01 09:00:00,267.2890625,72993.1875,88087.9375,231672.3125,958716.0625,269.82324219,0.00012151138799,-0.8910369873,0.22188085318000003
10,2021-01-01 10:00:00,268.31323242,277108.625,88116.125,551793.75,919413.5,270.83032227,4.7375913708999994e-05,-0.95941585302,0.42610949278000004
11,2021-01-01 11:00:00,269.13769531,383631.0,88096.6875,775227.375,906888.8125,271.66601562,1.9950239221e-05,-0.9413338899600001,-0.006618186831500001
12,2021-01-01 12:00:00,269.29272461,357128.625,88067.5,859297.6875,895798.625,271.8605957,3.4602344384999994e-05,-0.85863822699,-0.6882359385500001
