,time,ghi,sea,temp,RH,wind,ppt,Discharge,alb,vp_a,LW_in,SW_global,press,SW_direct,SW_diffuse,T_F,e_a
0,2019-09-27 00:00:00,0.0,0.0,0.874,99.246,0.506,0.0,1000000,0.85,0.0,0.0,0.0,897.331,0.0,0.0,0.0,
1,2019-09-27 01:00:00,0.0,0.0,0.965,99.255,0.546,0.0,1000000,0.845,6.506,234.666,0.0,897.331,0.0,0.0,0.0,0.733
2,2019-09-27 02:00:00,0.0,0.0,0.711,99.316,0.558,0.0,1000000,0.839,6.392,233.237,0.0,897.331,0.0,0.0,0.0,0.731
3,2019-09-27 03:00:00,0.0,0.0,-0.543,99.259,0.451,0.0,1000000,0.834,5.832,226.165,0.0,897.331,0.0,0.0,0.0,0.722
4,2019-09-27 04:00:00,0.0,0.0,-0.982,99.153,0.406,0.001,1000000,0.85,5.642,223.701,0.0,897.331,0.0,0.0,0.0,0.719
5,2019-09-27 05:00:00,0.0,0.0,-1.061,98.799,0.502,0.009,1000000,0.85,5.589,223.152,0.0,897.331,0.0,0.0,0.0,0.718
6,2019-09-27 06:00:00,0.0,0.0,-0.619,98.272,0.569,0.0,1000000,0.848,5.742,225.421,0.0,897.331,0.0,0.0,0.0,0.721
7,2019-09-27 07:00:00,3.115,0.009,-0.152,98.708,0.567,0.001,1000000,0.85,5.967,228.165,3.115,897.331,2.492,0.623,0.0,0.724
8,2019-09-27 08:00:00,68.439,0.108,0.908,98.531,0.735,0.0,1000000,0.848,6.432,234.095,68.439,897.331,54.752,13.688,0.0,0.732
9,2019-09-27 09:00:00,150.985,0.198,1.73,96.719,0.946,0.0,1000000,0.843,6.698,238.19,150.985,897.331,120.788,30.197,0.0,0.736
10,2019-09-27 10:00:00,226.537,0.274,2.454,94.543,1.13,0.001,1000000,0.838,6.895,241.616,226.537,897.331,181.23,45.307,0.0,0.739
11,2019-09-27 11:00:00,284.101,0.331,4.031,89.328,1.26,0.001,1000000,0.833,7.283,248.935,284.101,897.331,227.281,56.82,0.0,0.744
12,2019-09-27 12:00:00,316.946,0.363,5.198,84.4,1.333,0.0,1000000,0.828,7.467,253.904,316.946,897.331,253.557,63.389,0.0,0.746
13,2019-09-27 13:00:00,321.533,0.367,5.593,82.645,1.445,0.0,1000000,0.823,7.515,255.532,321.533,897.331,257.227,64.307,0.0,0.747
14,2019-09-27 14:00:00,297.367,0.344,5.519,83.06,1.479,0.0,1000000,0.817,7.514,255.266,297.367,897.331,237.893,59.473,0.0,0.747
15,2019-09-27 15:00:00,246.983,0.294,4.98,86.217,1.411,0.0,1000000,0.812,7.513,253.359,246.983,897.331,197.586,49.397,0.0,0.747
16,2019-09-27 16:00:00,176.039,0.224,4.251,90.481,1.378,0.0,1000000,0.808,7.492,250.709,176.039,897.331,140.832,35.208,0.0,0.747
17,2019-09-27 17:00:00,93.928,0.137,2.989,96.298,1.245,0.0,1000000,0.803,7.295,245.4,93.928,897.331,75.142,18.786,0.0,0.744
