,When,Unnamed: 0,T_a,RH,v_a,p_a,SW_direct,LW_in,SW_diffuse
0,2021-01-30 17:00:00,7697,-8.09,25.6,0.917,619.985,138.675,190.6,46.225
1,2021-01-30 17:15:00,7698,-8.09,26.86,0.8,620.006,18.938,189.4,6.312
2,2021-01-30 17:30:00,7699,-8.15,28.02,1.35,620.028,9.428,187.2,3.142
3,2021-01-30 17:45:00,7700,-8.47,30.44,3.224,620.05,4.097,184.2,1.366
4,2021-01-30 18:00:00,7701,-9.08,30.38,5.267,620.072,-1.366,183.3,-0.455
5,2021-01-30 18:15:00,7702,-9.24,29.92,4.999,620.214,-3.265,183.8,-1.088
6,2021-01-30 18:30:00,7703,-9.19,28.84,3.718,620.357,-2.787,183.8,-0.929
7,2021-01-30 18:45:00,7704,-9.35,29.07,3.264,620.499,-2.592,183.1,-0.864
8,2021-01-30 19:00:00,7705,-9.57,28.53,3.295,620.642,-2.604,182.7,-0.868
9,2021-01-30 19:15:00,7706,-9.89,29.66,3.931,620.756,-2.464,182.6,-0.821
10,2021-01-30 19:30:00,7707,-10.14,29.18,3.76,620.871,-2.72,182.1,-0.906
11,2021-01-30 19:45:00,7708,-10.23,29.38,4.984,620.986,-2.671,182.1,-0.89
12,2021-01-30 20:00:00,7709,-10.28,29.82,4.125,621.1,-2.668,182.0,-0.889
13,2021-01-30 20:15:00,7710,-10.42,30.18,4.151,621.127,-2.609,182.0,-0.87
14,2021-01-30 20:30:00,7711,-10.46,30.23,3.973,621.154,-2.634,182.5,-0.878
15,2021-01-30 20:45:00,7712,-10.51,29.36,3.076,621.18,-2.636,182.6,-0.878
16,2021-01-30 21:00:00,7713,-10.51,29.42,3.996,621.206,-2.536,182.3,-0.845
17,2021-01-30 21:15:00,7714,-10.57,29.3,3.507,621.22,-2.581,181.8,-0.86
18,2021-01-30 21:30:00,7715,-10.65,29.03,3.763,621.233,-2.518,181.3,-0.839
19,2021-01-30 21:45:00,7716,-10.76,29.31,3.718,621.246,-3.125,180.9,-1.042
20,2021-01-30 22:00:00,7717,-10.78,29.46,3.504,621.26,-3.38,179.7,-1.126
21,2021-01-30 22:15:00,7718,-10.8,28.72,3.051,621.3,-3.015,178.7,-1.005
22,2021-01-30 22:30:00,7719,-10.89,28.57,3.364,621.34,-2.744,178.5,-0.915
23,2021-01-30 22:45:00,7720,-10.88,28.41,3.033,621.381,-2.813,177.9,-0.938
24,2021-01-30 23:00:00,7721,-11.02,29.9,3.392,621.421,-2.801,177.1,-0.934
25,2021-01-30 23:15:00,7722,-10.99,28.71,2.819,621.423,-2.732,176.7,-0.911
26,2021-01-30 23:30:00,7723,-11.15,28.77,3.0,621.425,-2.858,176.7,-0.953
27,2021-01-30 23:45:00,7724,-11.2,29.04,2.814,621.427,-2.797,175.8,-0.932
28,2021-01-31 00:00:00,7725,-11.25,29.2,2.889,621.428,-2.752,175.0,-0.918
29,2021-01-31 00:15:00,7726,-11.39,29.34,2.984,621.408,-2.699,175.1,-0.9
30,2021-01-31 00:30:00,7727,-11.39,28.65,2.94,621.387,-2.738,174.6,-0.912
31,2021-01-31 00:45:00,7728,-11.58,30.25,3.462,621.367,-2.692,174.2,-0.898
32,2021-01-31 01:00:00,7729,-11.68,30.11,3.639,621.346,-2.612,174.0,-0.871
33,2021-01-31 01:15:00,7730,-11.67,30.39,3.665,621.343,-2.673,173.3,-0.891
34,2021-01-31 01:30:00,7731,-11.89,31.19,3.782,621.341,-2.578,172.4,-0.859
35,2021-01-31 01:45:00,7732,-12.08,31.98,4.005,621.338,-2.546,172.2,-0.849
36,2021-01-31 02:00:00,7733,-12.32,32.66,4.11,621.336,-2.572,171.8,-0.857
37,2021-01-31 02:15:00,7734,-12.34,31.71,3.73,621.302,-2.585,171.0,-0.862
38,2021-01-31 02:30:00,7735,-12.2,30.1,3.693,621.269,-2.554,170.4,-0.852
39,2021-01-31 02:45:00,7736,-12.3,30.27,3.625,621.236,-2.539,169.9,-0.846
40,2021-01-31 03:00:00,7737,-12.25,30.37,3.513,621.202,-2.504,169.5,-0.834
41,2021-01-31 03:15:00,7738,-12.36,30.86,3.717,621.137,-2.293,169.2,-0.764
42,2021-01-31 03:30:00,7739,-12.5,32.28,3.908,621.071,-2.441,168.9,-0.814
43,2021-01-31 03:45:00,7740,-12.59,31.36,3.512,621.006,-2.349,168.5,-0.783
44,2021-01-31 04:00:00,7741,-12.67,32.07,3.494,620.94,-2.093,168.1,-0.698
45,2021-01-31 04:15:00,7742,-12.66,32.51,2.887,620.946,-2.35,167.6,-0.783
46,2021-01-31 04:30:00,7743,-12.83,33.84,2.719,620.953,-2.314,167.3,-0.772
47,2021-01-31 04:45:00,7744,-13.25,35.51,3.823,620.959,-2.246,167.7,-0.749
48,2021-01-31 05:00:00,7745,-13.24,32.91,3.233,620.966,-2.103,168.3,-0.701
49,2021-01-31 05:15:00,7746,-12.91,34.39,1.965,621.018,-2.126,171.4,-0.709
50,2021-01-31 05:30:00,7747,-13.12,34.61,2.574,621.07,-1.933,176.8,-0.644
51,2021-01-31 05:45:00,7748,-13.45,35.03,3.875,621.123,-1.961,173.3,-0.654
52,2021-01-31 06:00:00,7749,-13.54,34.09,3.602,621.175,-1.857,172.9,-0.619
53,2021-01-31 06:15:00,7750,-13.15,32.53,2.247,621.257,-2.035,171.4,-0.678
54,2021-01-31 06:30:00,7751,-13.15,33.54,2.428,621.34,-2.134,172.6,-0.711
55,2021-01-31 06:45:00,7752,-13.21,32.87,2.262,621.422,-1.815,177.5,-0.605
56,2021-01-31 07:00:00,7753,-13.45,33.7,2.339,621.504,-1.799,172.9,-0.6
57,2021-01-31 07:15:00,7754,-14.01,38.04,0.398,621.668,-0.954,171.1,-0.318
58,2021-01-31 07:30:00,7755,-13.85,35.19,1.025,621.832,2.834,167.6,0.944
59,2021-01-31 07:45:00,7756,-13.89,34.01,2.35,621.996,13.245,168.1,4.415
60,2021-01-31 08:00:00,7757,-13.68,34.35,1.897,622.16,60.0,178.4,20.0
61,2021-01-31 08:15:00,7758,-13.67,35.38,1.319,622.187,109.95,173.8,36.65
62,2021-01-31 08:30:00,7759,-13.24,34.34,0.769,622.214,120.9,165.2,40.3
63,2021-01-31 08:45:00,7760,-12.39,34.04,0.584,622.241,165.375,164.8,55.125
64,2021-01-31 09:00:00,7761,-12.62,37.01,2.068,622.268,201.15,164.9,67.05
65,2021-01-31 09:15:00,7762,-12.54,37.13,1.253,622.321,232.8,165.3,77.6
66,2021-01-31 09:30:00,7763,-12.22,37.63,1.487,622.373,280.95,167.8,93.65
67,2021-01-31 09:45:00,7764,-11.66,35.08,0.907,622.426,303.075,177.6,101.025
68,2021-01-31 10:00:00,7765,-11.77,36.01,1.472,622.479,340.35,180.6,113.45
69,2021-01-31 10:15:00,7766,-11.41,35.67,1.724,622.522,385.8,178.1,128.6
70,2021-01-31 10:30:00,7767,-10.98,34.25,1.129,622.565,414.375,177.2,138.125
71,2021-01-31 10:45:00,7768,-10.52,35.13,1.901,622.608,430.275,183.5,143.425
72,2021-01-31 11:00:00,7769,-10.37,33.42,2.264,622.65,397.725,185.0,132.575
73,2021-01-31 11:15:00,7770,-10.18,33.37,1.862,622.597,418.125,193.1,139.375
74,2021-01-31 11:30:00,7771,-9.71,33.86,1.663,622.543,463.2,192.3,154.4
75,2021-01-31 11:45:00,7772,-9.66,33.84,2.037,622.49,525.225,188.3,175.075
76,2021-01-31 12:00:00,7773,-9.53,32.54,2.443,622.436,520.95,194.0,173.65
77,2021-01-31 12:15:00,7774,-9.52,32.22,2.41,622.309,519.075,190.7,173.025
78,2021-01-31 12:30:00,7775,-8.89,31.02,2.12,622.182,552.9,188.7,184.3
79,2021-01-31 12:45:00,7776,-8.64,30.97,2.3,622.054,552.825,187.7,184.275
80,2021-01-31 13:00:00,7777,-8.52,30.89,2.51,621.927,557.775,187.8,185.925
81,2021-01-31 13:15:00,7778,-8.32,29.61,2.204,621.802,568.125,190.7,189.375
82,2021-01-31 13:30:00,7779,-7.69,28.15,2.186,621.676,550.275,191.1,183.425
83,2021-01-31 13:45:00,7780,-7.437,28.06,2.738,621.551,535.425,191.1,178.475
84,2021-01-31 14:00:00,7781,-7.414,28.31,3.143,621.425,522.75,190.6,174.25
85,2021-01-31 14:15:00,7782,-7.155,27.44,3.238,621.369,504.225,191.5,168.075
86,2021-01-31 14:30:00,7783,-6.714,27.19,2.77,621.314,475.8,192.3,158.6
87,2021-01-31 14:45:00,7784,-6.633,26.0,2.105,621.258,450.525,191.3,150.175
88,2021-01-31 15:00:00,7785,-6.739,26.15,3.13,621.202,422.7,191.2,140.9
89,2021-01-31 15:15:00,7786,-6.331,25.27,2.437,621.13,391.425,192.3,130.475
90,2021-01-31 15:30:00,7787,-5.638,22.81,1.52,621.058,360.45,192.2,120.15
91,2021-01-31 15:45:00,7788,-5.729,24.65,2.264,620.987,326.775,191.9,108.925
92,2021-01-31 16:00:00,7789,-6.163,24.2,3.035,620.915,289.725,191.6,96.575
93,2021-01-31 16:15:00,7790,-5.919,24.18,2.14,620.915,253.05,192.1,84.35
94,2021-01-31 16:30:00,7791,-5.946,24.23,1.32,620.915,211.8,190.9,70.6
95,2021-01-31 16:45:00,7792,-5.992,23.75,1.677,620.915,172.425,190.7,57.475
96,2021-01-31 17:00:00,7793,-6.238,24.43,1.128,620.916,124.725,190.5,41.575
97,2021-01-31 17:15:00,7794,-6.431,24.15,1.468,620.961,19.748,191.3,6.582
98,2021-01-31 17:30:00,7795,-6.574,23.92,1.582,621.007,15.652,194.5,5.218
99,2021-01-31 17:45:00,7796,-6.668,24.03,0.979,621.053,6.533,193.0,2.178
100,2021-01-31 18:00:00,7797,-6.872,26.33,0.323,621.099,-0.887,189.7,-0.296
101,2021-01-31 18:15:00,7798,-7.255,28.67,0.078,621.183,-3.085,188.2,-1.028
102,2021-01-31 18:30:00,7799,-7.753,27.7,0.099,621.267,-2.769,190.3,-0.923
103,2021-01-31 18:45:00,7800,-7.921,28.3,0.084,621.351,-3.046,193.1,-1.016
104,2021-01-31 19:00:00,7801,-7.987,30.86,0.104,621.434,-2.884,197.9,-0.961
105,2021-01-31 19:15:00,7802,-8.15,32.64,0.134,621.541,-2.132,191.5,-0.71
106,2021-01-31 19:30:00,7803,-7.872,28.38,1.591,621.647,-2.444,192.8,-0.814
107,2021-01-31 19:45:00,7804,-7.851,27.62,2.897,621.754,-2.719,192.9,-0.906
108,2021-01-31 20:00:00,7805,-7.761,27.54,2.225,621.86,-2.602,197.5,-0.867
109,2021-01-31 20:15:00,7806,-7.804,27.24,2.517,621.951,-2.197,210.9,-0.732
