,When,ghics,difcs,zen,sea,Unnamed: 0,T_a,RH,v_a,p_a,SW_direct,SW_diffuse,a,vp_a,LW_in,cld,e_a,Discharge,Prec,ghi,dif
0,2021-01-31 00:00:00,0.0,0.0,112.459,0.0,4608,-11.25,29.2,2.889,621.428,-2.752,-0.918,0.0,0.0,0.0,0,,60,0,-3.67,-0.918
1,2021-01-31 00:15:00,0.0,0.0,109.382,0.0,4609,-11.39,29.34,2.984,621.408,-2.699,-0.9,0.35,0.75,143.02,0,0.537,60,0,-3.599,-0.9
2,2021-01-31 00:30:00,0.0,0.0,106.32,0.0,4610,-11.39,28.65,2.94,621.387,-2.738,-0.912,0.35,0.733,142.534,0,0.535,60,0,-3.65,-0.912
3,2021-01-31 00:45:00,0.0,0.0,103.277,0.0,4611,-11.58,30.25,3.462,621.367,-2.692,-0.898,0.35,0.762,142.931,0,0.538,60,0,-3.59,-0.898
4,2021-01-31 01:00:00,0.0,0.0,100.256,0.0,4612,-11.68,30.11,3.639,621.346,-2.612,-0.871,0.35,0.752,142.462,0,0.538,60,0,-3.483,-0.871
5,2021-01-31 01:15:00,0.0,0.0,97.261,0.0,4613,-11.67,30.39,3.665,621.343,-2.673,-0.891,0.35,0.76,142.688,0,0.538,60,0,-3.564,-0.891
6,2021-01-31 01:30:00,0.0,0.0,94.296,0.0,4614,-11.89,31.19,3.782,621.341,-2.578,-0.859,0.35,0.766,142.393,0,0.539,60,0,-3.437,-0.859
7,2021-01-31 01:45:00,0.0,0.0,91.365,0.0,4615,-12.08,31.98,4.005,621.338,-2.546,-0.849,0.35,0.773,142.191,0,0.54,60,0,-3.395,-0.849
8,2021-01-31 02:00:00,10.305,0.666,88.473,0.027,4616,-12.32,32.66,4.11,621.336,-2.572,-0.857,0.35,0.775,141.72,0,0.54,60,0,-3.429,-0.857
9,2021-01-31 02:15:00,46.644,3.014,85.625,0.076,4617,-12.34,31.71,3.73,621.302,-2.585,-0.862,0.35,0.751,141.05,0,0.538,60,0,-3.447,-0.862
10,2021-01-31 02:30:00,95.024,6.141,82.826,0.125,4618,-12.2,30.1,3.693,621.269,-2.554,-0.852,0.35,0.721,140.521,0,0.534,60,0,-3.406,-0.852
11,2021-01-31 02:45:00,147.098,9.506,80.082,0.173,4619,-12.3,30.27,3.625,621.236,-2.539,-0.846,0.35,0.719,140.264,0,0.534,60,0,-3.385,-0.846
12,2021-01-31 03:00:00,199.73,12.908,77.401,0.22,4620,-12.25,30.37,3.513,621.202,-2.504,-0.834,0.35,0.724,140.515,0,0.535,60,0,-3.338,-0.834
13,2021-01-31 03:15:00,251.544,16.256,74.789,0.265,4621,-12.36,30.86,3.717,621.137,-2.293,-0.764,0.35,0.73,140.429,0,0.535,60,0,-3.057,-0.764
14,2021-01-31 03:30:00,301.795,19.504,72.256,0.31,4622,-12.5,32.28,3.908,621.071,-2.441,-0.814,0.35,0.755,140.814,0,0.538,60,0,-3.255,-0.814
15,2021-01-31 03:45:00,350.002,22.619,69.809,0.352,4623,-12.59,31.36,3.512,621.006,-2.349,-0.783,0.35,0.728,139.9,0,0.535,60,0,-3.132,-0.783
16,2021-01-31 04:00:00,395.808,25.58,67.459,0.393,4624,-12.67,32.07,3.494,620.94,-2.093,-0.698,0.35,0.739,140.053,0,0.537,60,0,-2.791,-0.698
17,2021-01-31 04:15:00,438.929,28.367,65.217,0.433,4625,-12.66,32.51,2.887,620.946,-2.35,-0.783,0.35,0.75,140.362,0,0.538,60,0,-3.133,-0.783
18,2021-01-31 04:30:00,479.124,30.964,63.096,0.47,4626,-12.83,33.84,2.719,620.953,-2.314,-0.772,0.35,0.77,140.536,0,0.54,60,0,-3.086,-0.772
19,2021-01-31 04:45:00,516.182,33.359,61.108,0.504,4627,-13.25,35.51,3.823,620.959,-2.246,-0.749,0.35,0.781,139.942,0,0.541,60,0,-2.995,-0.749
20,2021-01-31 05:00:00,549.919,35.539,59.266,0.536,4628,-13.24,32.91,3.233,620.966,-2.103,-0.701,0.35,0.724,138.467,0,0.535,60,0,-2.804,-0.701
21,2021-01-31 05:15:00,580.173,37.495,57.586,0.566,4629,-12.91,34.39,1.965,621.018,-2.126,-0.709,0.35,0.778,140.562,0,0.54,60,0,-2.835,-0.709
22,2021-01-31 05:30:00,606.801,39.215,56.083,0.592,4630,-13.12,34.61,2.574,621.07,-1.933,-0.644,0.35,0.769,139.911,0,0.54,60,0,-2.577,-0.644
23,2021-01-31 05:45:00,629.679,40.694,54.77,0.615,4631,-13.45,35.03,3.875,621.123,-1.961,-0.654,0.35,0.758,138.931,0,0.539,60,0,-2.615,-0.654
