,level_0,index,When,T_a,RH,v_a,SW_direct,SW_diffuse,LW_in,p_a,Prec
0,0,0,2021-01-18 00:00:00,-19.911,56.115,0.231,0.0,0.0,143.132,593.135,0.0
1,1,1,2021-01-18 00:15:00,-19.9635,56.41725,0.22175,0.0,0.0,143.05825,593.0654999999999,0.0
2,2,2,2021-01-18 00:30:00,-20.016,56.7195,0.21250000000000002,0.0,0.0,142.9845,592.996,0.0
3,3,3,2021-01-18 00:45:00,-20.0685,57.02175,0.20325000000000001,0.0,0.0,142.91075,592.9265,0.0
4,4,4,2021-01-18 01:00:00,-20.121,57.324,0.194,0.0,0.0,142.837,592.857,0.0
5,5,5,2021-01-18 01:15:00,-20.14275,57.423249999999996,0.20475,0.0,0.002,142.69725,592.9739999999999,0.0
6,6,6,2021-01-18 01:30:00,-20.164499999999997,57.522499999999994,0.2155,0.0,0.004,142.5575,593.091,0.0
7,7,7,2021-01-18 01:45:00,-20.186249999999998,57.62175,0.22625,0.0,0.006,142.41774999999998,593.2080000000001,0.0
8,8,8,2021-01-18 02:00:00,-20.208,57.721,0.237,0.0,0.008,142.278,593.325,0.0
9,9,9,2021-01-18 02:15:00,-20.584,59.576249999999995,0.23249999999999998,15.52375,6.0795,141.25825,593.37525,0.0
10,10,10,2021-01-18 02:30:00,-20.96,61.4315,0.22799999999999998,31.0475,12.151,140.2385,593.4255,0.0
11,11,11,2021-01-18 02:45:00,-21.336,63.28675,0.2235,46.57125,18.2225,139.21875,593.47575,0.0
12,12,12,2021-01-18 03:00:00,-21.712,65.142,0.219,62.095,24.294,138.199,593.526,0.0
13,13,13,2021-01-18 03:15:00,-22.195999999999998,66.58525,0.21975,106.495,31.7565,138.60000000000002,593.6514999999999,0.0
14,14,14,2021-01-18 03:30:00,-22.68,68.02850000000001,0.2205,150.89499999999998,39.219,139.001,593.777,0.0
15,15,15,2021-01-18 03:45:00,-23.164,69.47175,0.22125,195.295,46.6815,139.402,593.9025,0.0
16,16,16,2021-01-18 04:00:00,-23.648,70.915,0.222,239.695,54.144,139.803,594.028,0.0
17,17,17,2021-01-18 04:15:00,-22.54925,68.3835,0.20700000000000002,281.9415,58.74525,140.454,594.06375,0.0
18,18,18,2021-01-18 04:30:00,-21.450499999999998,65.852,0.192,324.188,63.346500000000006,141.10500000000002,594.0995,0.0
19,19,19,2021-01-18 04:45:00,-20.35175,63.3205,0.177,366.43449999999996,67.94775,141.756,594.13525,0.0
20,20,20,2021-01-18 05:00:00,-19.253,60.789,0.162,408.681,72.549,142.407,594.171,0.0
21,21,21,2021-01-18 05:15:00,-18.45925,61.205,0.1655,439.30649999999997,75.98,142.73000000000002,594.116,0.0
22,22,22,2021-01-18 05:30:00,-17.6655,61.621,0.16899999999999998,469.932,79.411,143.053,594.061,0.0
23,23,23,2021-01-18 05:45:00,-16.87175,62.037000000000006,0.1725,500.5575,82.842,143.376,594.0060000000001,0.0
24,24,24,2021-01-18 06:00:00,-16.078,62.453,0.176,531.183,86.273,143.699,593.951,0.0
25,25,25,2021-01-18 06:15:00,-15.718,62.656000000000006,0.186,546.46925,88.22274999999999,144.6085,593.84825,0.0
26,26,26,2021-01-18 06:30:00,-15.358,62.859,0.196,561.7555,90.1725,145.518,593.7455,0.0
27,27,27,2021-01-18 06:45:00,-14.998,63.062,0.206,577.04175,92.12225000000001,146.4275,593.64275,0.0
28,28,28,2021-01-18 07:00:00,-14.638,63.265,0.216,592.328,94.072,147.337,593.54,0.0
29,29,29,2021-01-18 07:15:00,-13.722999999999999,61.3555,0.2345,585.9024999999999,99.5745,147.69574999999998,593.39375,0.0
30,30,30,2021-01-18 07:30:00,-12.808,59.446,0.253,579.477,105.077,148.0545,593.2475,0.0
31,31,31,2021-01-18 07:45:00,-11.893,57.536500000000004,0.27149999999999996,573.0515,110.5795,148.41325,593.10125,0.0
32,32,32,2021-01-18 08:00:00,-10.978,55.627,0.29,566.626,116.082,148.772,592.955,0.0
33,33,33,2021-01-18 08:15:00,-10.85525,55.229,0.28974999999999995,558.07275,108.6785,149.16924999999998,592.92075,0.0
34,34,34,2021-01-18 08:30:00,-10.7325,54.831,0.2895,549.5195,101.275,149.5665,592.8865000000001,0.0
35,35,35,2021-01-18 08:45:00,-10.60975,54.433,0.28925,540.96625,93.8715,149.96375,592.85225,0.0
36,36,36,2021-01-18 09:00:00,-10.487,54.035,0.289,532.413,86.468,150.361,592.818,0.0
37,37,37,2021-01-18 09:15:00,-10.65975,57.28425,0.33325,500.2225,83.99975,150.73749999999998,592.6735,0.0
38,38,38,2021-01-18 09:30:00,-10.8325,60.5335,0.3775,468.03200000000004,81.5315,151.11399999999998,592.529,0.0
39,39,39,2021-01-18 09:45:00,-11.00525,63.78274999999999,0.42175,435.8415,79.06325,151.4905,592.3845,0.0
40,40,40,2021-01-18 10:00:00,-11.178,67.032,0.466,403.651,76.595,151.867,592.24,0.0
41,41,41,2021-01-18 10:15:00,-11.01275,63.93825,0.42400000000000004,362.18525,72.00525,151.079,592.29675,0.0
42,42,42,2021-01-18 10:30:00,-10.8475,60.8445,0.382,320.71950000000004,67.4155,150.291,592.3534999999999,0.0
43,43,43,2021-01-18 10:45:00,-10.68225,57.75075,0.33999999999999997,279.25375,62.82575,149.503,592.41025,0.0
44,44,44,2021-01-18 11:00:00,-10.517,54.657,0.298,237.788,58.236,148.715,592.467,0.0
45,45,45,2021-01-18 11:15:00,-10.3425,53.884,0.31224999999999997,194.0,50.311499999999995,148.3495,592.4485,0.0
46,46,46,2021-01-18 11:30:00,-10.168,53.111,0.3265,150.212,42.387,147.98399999999998,592.4300000000001,0.0
47,47,47,2021-01-18 11:45:00,-9.993500000000001,52.337999999999994,0.34075,106.424,34.4625,147.61849999999998,592.4115,0.0
48,48,48,2021-01-18 12:00:00,-9.819,51.565,0.355,62.636,26.538,147.253,592.393,0.0
49,49,49,2021-01-18 12:15:00,-10.224250000000001,52.0015,0.32925,46.98225,19.918,147.33675,592.45425,0.0
50,50,50,2021-01-18 12:30:00,-10.6295,52.438,0.3035,31.328500000000002,13.298,147.4205,592.5155,0.0
51,51,51,2021-01-18 12:45:00,-11.034749999999999,52.8745,0.27775,15.674750000000003,6.678000000000001,147.50424999999998,592.5767500000001,0.0
52,52,52,2021-01-18 13:00:00,-11.44,53.311,0.252,0.021,0.058,147.588,592.638,0.0
53,53,53,2021-01-18 13:15:00,-11.8275,54.69925,0.246,0.01575,0.043500000000000004,147.3755,592.6105,0.0
54,54,54,2021-01-18 13:30:00,-12.215,56.0875,0.24,0.0105,0.029,147.163,592.5830000000001,0.0
55,55,55,2021-01-18 13:45:00,-12.6025,57.47575,0.234,0.005250000000000001,0.014499999999999999,146.9505,592.5555,0.0
56,56,56,2021-01-18 14:00:00,-12.99,58.864,0.228,0.0,0.0,146.738,592.528,0.0
57,57,57,2021-01-18 14:15:00,-13.432500000000001,60.20675,0.22725,0.0,0.0,146.43975,592.59475,0.0
58,58,58,2021-01-18 14:30:00,-13.875,61.549499999999995,0.2265,0.0,0.0,146.1415,592.6614999999999,0.0
59,59,59,2021-01-18 14:45:00,-14.317499999999999,62.89225,0.22575,0.0,0.0,145.84324999999998,592.72825,0.0
60,60,60,2021-01-18 15:00:00,-14.76,64.235,0.225,0.0,0.0,145.545,592.795,0.0
61,61,61,2021-01-18 15:15:00,-14.93475,64.582,0.21675,0.0,0.0,144.6825,592.7895,0.0
