When,T_a,RH,v_a,SW_global,Prec,p_a,missing_type,cld
2021-01-18 00:00:00,-6.776,41.074,0.851,0.0,0,621.883,-,0
2021-01-18 01:00:00,-6.897,40.624,1.196,0.0,0,621.693,-,0
2021-01-18 02:00:00,-7.948,45.957,0.969,0.0,0,621.381,-,0
2021-01-18 03:00:00,-8.575,49.022,0.683,0.0,0,620.88,-,0
2021-01-18 04:00:00,-9.09,49.844,1.238,0.0,0,620.64,-,0
2021-01-18 05:00:00,-9.108,49.149,1.281,0.0,0,620.618,-,0
2021-01-18 06:00:00,-9.749,52.567,0.828,0.0,0,620.788,-,0
2021-01-18 07:00:00,-10.314,53.796,0.265,2.505,0,621.095,-,0
2021-01-18 08:00:00,-10.414,53.836,0.189,79.583,0,621.454,-,0
2021-01-18 09:00:00,-8.762,46.346,1.095,205.775,0,621.867,-,0
2021-01-18 10:00:00,-6.737,39.985,1.457,339.975,0,622.029,-,0
2021-01-18 11:00:00,-5.503,37.736,1.676,543.975,0,621.507,-,0
2021-01-18 12:00:00,-4.237,35.255,1.924,630.15,0,620.718,-,0
2021-01-18 13:00:00,-3.565,34.467,1.991,696.9,0,620.072,-,0
2021-01-18 14:00:00,-2.617,32.161,2.612,578.9,0,619.609,-,0
2021-01-18 15:00:00,-2.378,30.343,2.059,426.075,0,619.302,-,0
2021-01-18 16:00:00,-2.673,26.992,2.265,206.4,0,619.116,-,0
2021-01-18 17:00:00,-3.548,25.861,1.856,19.05,0,619.28,-,0
2021-01-18 18:00:00,-4.522,29.284,1.943,0.0,0,619.661,-,0
2021-01-18 19:00:00,-6.472,35.612,0.637,0.0,0,620.037,-,0
2021-01-18 20:00:00,-7.298,31.91,1.662,0.0,0,620.223,-,0
2021-01-18 21:00:00,-7.744,32.269,2.683,0.0,0,620.394,-,0
2021-01-18 22:00:00,-8.178,31.99,3.386,0.0,0,620.408,-,0
2021-01-18 23:00:00,-8.64,32.73,3.322,0.0,0,620.303,-,0
2021-01-19 00:00:00,-9.008,33.005,3.381,0.0,0,620.096,-,0
2021-01-19 01:00:00,-9.371,34.072,3.45,0.0,0,619.928,-,0
2021-01-19 02:00:00,-9.841,34.566,3.112,0.0,0,619.813,-,0
2021-01-19 03:00:00,-10.318,36.68,2.717,0.0,0,619.577,-,0
2021-01-19 04:00:00,-10.835,38.188,2.085,0.0,0,619.522,-,0
2021-01-19 05:00:00,-11.299,37.754,2.306,0.0,0,619.662,-,0
