time,temp,RH,wind,SW_global,ppt,press,SW_direct,SW_diffuse
2021-01-18 00:00:00,-6.567,32.53,0.851,0.0,0,621.883,0.0,0
2021-01-18 01:00:00,-6.579,33.705,1.196,0.0,0,621.693,0.0,0
2021-01-18 02:00:00,-7.31,37.112,0.969,0.0,0,621.381,0.0,0
2021-01-18 03:00:00,-7.549,36.772,0.683,0.0,0,620.88,0.0,0
2021-01-18 04:00:00,-7.784,38.108,1.238,0.0,0,620.64,0.0,0
2021-01-18 05:00:00,-8.092,39.618,1.281,0.0,0,620.618,0.0,0
2021-01-18 06:00:00,-9.07,43.24,0.828,0.0,0,620.788,0.0,0
2021-01-18 07:00:00,-9.835,44.15,0.265,2.505,0,621.095,2.505,0
2021-01-18 08:00:00,-9.722,43.598,0.189,79.583,0,621.454,79.583,0
2021-01-18 09:00:00,-8.077,38.61,1.095,205.775,0,621.867,205.775,0
2021-01-18 10:00:00,-7.43,36.482,1.457,339.975,0,622.029,339.975,0
2021-01-18 11:00:00,-6.268,33.512,1.676,543.975,0,621.507,543.975,0
2021-01-18 12:00:00,-5.558,32.127,1.924,630.15,0,620.718,630.15,0
2021-01-18 13:00:00,-4.588,30.298,1.991,696.9,0,620.072,696.9,0
2021-01-18 14:00:00,-3.787,28.638,2.612,578.9,0,619.609,578.9,0
2021-01-18 15:00:00,-2.983,24.98,2.059,426.075,0,619.302,426.075,0
2021-01-18 16:00:00,-3.048,22.095,2.265,206.4,0,619.116,206.4,0
2021-01-18 17:00:00,-3.579,18.805,1.856,19.05,0,619.28,19.05,0
2021-01-18 18:00:00,-4.328,21.153,1.943,0.0,0,619.661,0.0,0
2021-01-18 19:00:00,-6.072,25.01,0.637,0.0,0,620.037,0.0,0
2021-01-18 20:00:00,-6.408,24.04,1.662,0.0,0,620.223,0.0,0
2021-01-18 21:00:00,-6.982,23.687,2.683,0.0,0,620.394,0.0,0
2021-01-18 22:00:00,-7.745,25.95,3.386,0.0,0,620.408,0.0,0
2021-01-18 23:00:00,-8.338,26.19,3.322,0.0,0,620.303,0.0,0
2021-01-19 00:00:00,-8.74,26.985,3.381,0.0,0,620.096,0.0,0
2021-01-19 01:00:00,-9.112,28.38,3.45,0.0,0,619.928,0.0,0
