,time,sea,temp,RH,wind,SW_global,ppt,press,missing_type,alb,vp_a,LW_in,SW_diffuse,SW_direct,e_a,Discharge
0,2021-01-18 00:00:00,0.0,-4.567,76.53,-0.149,-108.0,0,792.883,-,0.25,0.0,0.0,-54.0,-54.0,,0.0
1,2021-01-18 01:00:00,0.0,-4.579,77.705,0.196,-108.0,0,792.693,-,0.25,3.378,206.558,-54.0,-54.0,0.7,0.0
2,2021-01-18 02:00:00,0.004,-5.31,81.112,-0.031,-108.0,0,792.381,-,0.25,3.336,204.031,-54.0,-54.0,0.699,0.0
3,2021-01-18 03:00:00,0.192,-5.549,80.772,-0.317,-108.0,0,791.88,-,0.25,3.262,202.68,-54.0,-54.0,0.697,0.0
4,2021-01-18 04:00:00,0.358,-5.784,82.108,0.238,-108.0,0,791.64,-,0.25,3.257,201.95,-54.0,-54.0,0.697,0.0
5,2021-01-18 05:00:00,0.494,-6.092,83.618,0.281,-108.0,0,791.618,-,0.25,3.24,200.9,-54.0,-54.0,0.697,0.0
6,2021-01-18 06:00:00,0.584,-7.07,87.24,-0.172,-108.0,0,791.788,-,0.25,3.135,197.149,-54.0,-54.0,0.694,0.0
7,2021-01-18 07:00:00,0.616,-7.835,88.15,-0.735,-105.495,0,792.095,-,0.25,2.985,193.612,-52.748,-52.748,0.689,0.0
8,2021-01-18 08:00:00,0.584,-7.722,87.598,-0.811,-28.417,0,792.454,-,0.25,2.993,194.0,-14.208,-14.208,0.689,0.0
9,2021-01-18 09:00:00,0.494,-6.077,82.61,0.095,97.775,0,792.867,-,0.25,3.204,200.629,48.888,48.888,0.695,0.0
10,2021-01-18 10:00:00,0.359,-5.43,80.482,0.457,231.975,0,793.029,-,0.25,3.28,203.187,115.988,115.988,0.698,0.0
11,2021-01-18 11:00:00,0.192,-4.268,77.512,0.676,435.975,0,792.507,-,0.25,3.45,208.106,217.988,217.988,0.702,0.0
12,2021-01-18 12:00:00,0.004,-3.558,76.127,0.924,522.15,0,791.718,-,0.25,3.574,211.299,261.075,261.075,0.705,0.0
13,2021-01-18 13:00:00,0.0,-2.588,74.298,0.991,588.9,0,791.072,-,0.25,3.751,215.725,294.45,294.45,0.71,0.0
14,2021-01-18 14:00:00,0.0,-1.787,72.638,1.612,470.9,0,790.609,-,0.25,3.891,219.349,235.45,235.45,0.713,0.0
15,2021-01-18 15:00:00,0.0,-0.983,68.98,1.059,318.075,0,790.302,-,0.25,3.921,222.105,159.038,159.038,0.714,0.0
16,2021-01-18 16:00:00,0.0,-1.048,66.095,1.265,98.4,0,790.116,-,0.25,3.739,220.4,49.2,49.2,0.709,30.0
17,2021-01-18 17:00:00,0.0,-1.579,62.805,0.856,-88.95,0,790.28,-,0.25,3.417,215.947,-44.475,-44.475,0.7,60.0
18,2021-01-18 18:00:00,0.0,-2.328,65.153,0.943,-108.0,0,790.661,-,0.25,3.353,213.088,-54.0,-54.0,0.699,60.0
19,2021-01-18 19:00:00,0.0,-4.072,69.01,-0.363,-108.0,0,791.037,-,0.25,3.117,205.691,-54.0,-54.0,0.692,60.0
20,2021-01-18 20:00:00,0.0,-4.408,68.04,0.662,-108.0,0,791.223,-,0.25,2.997,203.55,-54.0,-54.0,0.688,60.0
21,2021-01-18 21:00:00,0.0,-4.982,67.687,1.683,-108.0,0,791.394,-,0.25,2.854,200.479,-54.0,-54.0,0.684,60.0
22,2021-01-18 22:00:00,0.0,-5.745,69.95,2.386,-108.0,0,791.408,-,0.25,2.783,197.574,-54.0,-54.0,0.681,60.0
23,2021-01-18 23:00:00,0.0,-6.338,70.19,2.322,-108.0,0,791.303,-,0.25,2.669,194.717,-54.0,-54.0,0.678,60.0
24,2021-01-19 00:00:00,0.0,-6.74,70.985,2.381,-108.0,0,791.096,-,0.25,2.617,193.045,-54.0,-54.0,0.676,60.0
25,2021-01-19 01:00:00,0.0,-7.112,72.38,2.45,-108.0,0,790.928,-,0.25,2.593,191.753,-54.0,-54.0,0.675,60.0
26,2021-01-19 02:00:00,0.005,-7.525,72.73,2.112,-108.0,0,790.813,-,0.25,2.523,189.869,-54.0,-54.0,0.673,60.0
27,2021-01-19 03:00:00,0.193,-7.905,73.135,1.717,-108.0,0,790.577,-,0.25,2.463,188.177,-54.0,-54.0,0.67,60.0
28,2021-01-19 04:00:00,0.36,-8.385,74.078,1.085,-108.0,0,790.522,-,0.25,2.403,186.211,-54.0,-54.0,0.668,60.0
29,2021-01-19 05:00:00,0.496,-8.765,72.788,1.306,-108.0,0,790.662,-,0.25,2.292,183.934,-54.0,-54.0,0.664,60.0
30,2021-01-19 06:00:00,0.587,-9.27,73.045,1.471,-108.0,0,791.002,-,0.25,2.211,181.641,-54.0,-54.0,0.661,60.0
31,2021-01-19 07:00:00,0.62,-9.448,74.535,1.676,-105.913,0,791.526,-,0.25,2.224,181.328,-52.956,-52.956,0.661,60.0
32,2021-01-19 08:00:00,0.588,-9.505,75.928,2.298,12.03,0,791.962,-,0.25,2.256,181.54,6.015,6.015,0.663,60.0
33,2021-01-19 09:00:00,0.498,-8.592,76.572,1.593,200.6,0,792.361,-,0.25,2.444,186.099,100.3,100.3,0.67,60.0
34,2021-01-19 10:00:00,0.363,-6.775,76.172,1.192,373.5,0,792.545,-,0.25,2.8,194.826,186.75,186.75,0.682,60.0
35,2021-01-19 11:00:00,0.196,-5.979,73.858,1.22,502.725,0,792.16,-,0.25,2.886,197.936,251.362,251.362,0.685,60.0
36,2021-01-19 12:00:00,0.008,-5.3,71.288,2.005,572.95,0,791.175,-,0.25,2.934,200.354,286.475,286.475,0.686,60.0
37,2021-01-19 13:00:00,0.0,-4.35,66.465,1.94,560.05,0,790.274,-,0.25,2.94,203.166,280.025,280.025,0.686,60.0
38,2021-01-19 14:00:00,0.0,-3.604,65.09,1.974,472.175,0,789.774,-,0.25,3.046,206.386,236.087,236.087,0.69,0.0
39,2021-01-19 15:00:00,0.0,-3.174,63.5,3.261,119.375,0,789.601,-,0.25,3.068,207.881,59.688,59.688,0.69,0.0
40,2021-01-19 16:00:00,0.0,-3.322,64.475,2.7,62.95,0,789.402,-,0.25,3.081,207.565,31.475,31.475,0.691,0.0
41,2021-01-19 17:00:00,0.0,-3.947,63.807,2.712,-91.946,0,789.396,-,0.25,2.91,204.039,-45.973,-45.973,0.685,60.0
42,2021-01-19 18:00:00,0.0,-4.626,64.675,0.379,-108.0,0,789.761,-,0.25,2.802,200.975,-54.0,-54.0,0.682,60.0
43,2021-01-19 19:00:00,0.0,-4.888,64.182,1.275,-108.0,0,790.01,-,0.25,2.726,199.434,-54.0,-54.0,0.679,60.0
44,2021-01-19 20:00:00,0.0,-5.732,65.473,1.455,-108.0,0,790.233,-,0.25,2.608,195.781,-54.0,-54.0,0.675,60.0
45,2021-01-19 21:00:00,0.0,-6.186,66.08,2.57,-108.0,0,790.568,-,0.25,2.542,193.793,-54.0,-54.0,0.673,60.0
46,2021-01-19 22:00:00,0.0,-6.81,66.63,1.566,-108.0,0,790.956,-,0.25,2.443,190.966,-54.0,-54.0,0.669,60.0
47,2021-01-19 23:00:00,0.0,-7.345,67.325,1.712,-108.0,0,791.101,-,0.25,2.368,188.653,-54.0,-54.0,0.667,60.0
48,2021-01-20 00:00:00,0.0,-7.922,67.012,2.666,-108.0,0,791.008,-,0.25,2.254,185.761,-54.0,-54.0,0.662,60.0
49,2021-01-20 01:00:00,0.0,-8.57,70.022,2.558,-108.0,0,790.841,-,0.25,2.239,183.841,-54.0,-54.0,0.662,60.0
50,2021-01-20 02:00:00,0.006,-9.065,71.775,2.349,-108.0,0,790.764,-,0.25,2.208,182.149,-54.0,-54.0,0.66,60.0
51,2021-01-20 03:00:00,0.195,-9.33,73.01,1.749,-108.0,0,790.642,-,0.25,2.199,181.347,-54.0,-54.0,0.66,60.0
52,2021-01-20 04:00:00,0.363,-9.657,74.575,2.072,-108.0,0,790.45,-,0.25,2.189,180.362,-54.0,-54.0,0.66,60.0
53,2021-01-20 05:00:00,0.499,-9.885,75.485,2.094,-108.0,0,790.501,-,0.25,2.176,179.609,-54.0,-54.0,0.659,60.0
54,2021-01-20 06:00:00,0.591,-10.208,77.092,2.632,-108.0,0,790.798,-,0.25,2.166,178.644,-54.0,-54.0,0.659,60.0
55,2021-01-20 07:00:00,0.624,-10.36,77.65,2.455,-105.746,0,791.089,-,0.25,2.156,178.122,-52.873,-52.873,0.659,60.0
56,2021-01-20 08:00:00,0.592,-10.26,79.457,1.227,12.725,0,791.402,-,0.25,2.223,179.174,6.362,6.362,0.662,60.0
57,2021-01-20 09:00:00,0.502,-8.682,78.023,-0.154,199.95,0,791.752,-,0.25,2.473,186.166,99.975,99.975,0.671,60.0
58,2021-01-20 10:00:00,0.366,-8.245,78.418,1.16,375.8,0,791.922,-,0.25,2.572,188.409,187.9,187.9,0.675,60.0
59,2021-01-20 11:00:00,0.199,-7.323,78.44,1.188,505.55,0,791.76,-,0.25,2.764,192.925,252.775,252.775,0.681,60.0
60,2021-01-20 12:00:00,0.011,-6.47,75.888,1.832,569.775,0,791.243,-,0.25,2.856,196.241,284.888,284.888,0.684,60.0
61,2021-01-20 13:00:00,0.0,-5.622,71.882,1.895,562.625,0,790.716,-,0.25,2.887,198.964,281.312,281.312,0.685,60.0
62,2021-01-20 14:00:00,0.0,-4.994,69.21,2.408,487.925,0,790.382,-,0.25,2.916,201.056,243.962,243.962,0.686,60.0
63,2021-01-20 15:00:00,0.0,-4.535,66.962,2.549,341.525,0,790.231,-,0.25,2.921,202.438,170.762,170.762,0.686,60.0
64,2021-01-20 16:00:00,0.0,-3.978,65.8,1.459,156.8,0,790.378,-,0.25,2.994,204.778,78.4,78.4,0.688,60.0
65,2021-01-20 17:00:00,0.0,-4.414,71.492,2.663,-94.559,0,790.748,-,0.25,3.147,204.963,-47.28,-47.28,0.693,60.0
66,2021-01-20 18:00:00,0.0,-5.1,62.995,2.984,-108.0,0,791.271,-,0.25,2.633,197.842,-54.0,-54.0,0.676,60.0
67,2021-01-20 19:00:00,0.0,-5.776,63.34,0.998,-108.0,0,792.04,-,0.25,2.514,194.639,-54.0,-54.0,0.672,60.0
68,2021-01-20 20:00:00,0.0,-6.44,61.982,1.417,-108.0,0,792.684,-,0.25,2.338,190.793,-54.0,-54.0,0.665,60.0
69,2021-01-20 21:00:00,0.0,-6.99,64.382,1.244,-108.0,0,793.32,-,0.25,2.328,189.161,-54.0,-54.0,0.665,60.0
70,2021-01-20 22:00:00,0.0,-7.512,64.502,0.995,-108.0,0,793.868,-,0.25,2.24,186.703,-54.0,-54.0,0.661,60.0
71,2021-01-20 23:00:00,0.0,-8.11,66.873,1.422,-108.0,0,794.336,-,0.25,2.217,184.811,-54.0,-54.0,0.66,60.0
72,2021-01-21 00:00:00,0.0,-8.93,69.815,0.259,-108.0,0,794.575,-,0.25,2.17,182.064,-54.0,-54.0,0.659,60.0
73,2021-01-21 01:00:00,0.0,-9.423,67.485,1.986,-108.0,0,794.624,-,0.25,2.018,178.888,-54.0,-54.0,0.652,60.0
74,2021-01-21 02:00:00,0.007,-9.812,73.025,0.604,-108.0,0,794.792,-,0.25,2.117,179.1,-54.0,-54.0,0.657,60.0
75,2021-01-21 03:00:00,0.197,-10.055,70.088,1.953,-108.0,0,795.036,-,0.25,1.993,176.933,-54.0,-54.0,0.651,60.0
76,2021-01-21 04:00:00,0.365,-10.22,70.205,2.351,-108.0,0,795.192,-,0.25,1.971,176.217,-54.0,-54.0,0.65,60.0
77,2021-01-21 05:00:00,0.502,-10.278,71.77,1.787,-108.0,0,795.154,-,0.25,2.005,176.506,-54.0,-54.0,0.652,60.0
78,2021-01-21 06:00:00,0.594,-10.83,75.415,0.373,-108.0,0,795.324,-,0.25,2.017,175.219,-54.0,-54.0,0.653,0.0
79,2021-01-21 07:00:00,0.627,-10.68,73.6,2.348,-105.651,0,795.711,-,0.25,1.992,175.296,-52.826,-52.826,0.651,0.0
80,2021-01-21 08:00:00,0.596,-10.35,74.522,2.899,18.03,0,796.122,-,0.25,2.071,177.125,9.015,9.015,0.655,0.0
81,2021-01-21 09:00:00,0.506,-9.378,72.255,2.823,206.375,0,796.5,-,0.25,2.168,180.853,103.188,103.188,0.659,0.0
82,2021-01-21 10:00:00,0.37,-8.362,71.61,0.954,381.9,0,796.787,-,0.25,2.327,185.421,190.95,190.95,0.665,0.0
83,2021-01-21 11:00:00,0.203,-6.732,68.048,0.826,508.975,0,796.575,-,0.25,2.51,191.922,254.488,254.488,0.672,0.0
84,2021-01-21 12:00:00,0.014,-5.908,67.12,1.242,563.275,0,795.777,-,0.25,2.637,195.602,281.638,281.638,0.676,0.0
85,2021-01-21 13:00:00,0.0,-4.887,64.728,1.325,390.95,0,794.692,-,0.25,2.749,199.681,195.475,195.475,0.68,0.0
86,2021-01-21 14:00:00,0.0,-4.573,62.96,0.751,178.625,0,793.783,-,0.25,2.739,200.472,89.312,89.312,0.679,0.0
87,2021-01-21 15:00:00,0.0,-4.543,62.37,0.532,70.3,0,793.137,-,0.25,2.719,200.354,35.15,35.15,0.679,0.0
88,2021-01-21 16:00:00,0.0,-4.636,61.808,0.276,-21.61,0,792.614,-,0.25,2.676,199.627,-10.805,-10.805,0.677,0.0
89,2021-01-21 17:00:00,0.0,-4.942,61.597,-0.072,-91.381,0,792.197,-,0.25,2.605,197.997,-45.69,-45.69,0.675,0.0
90,2021-01-21 18:00:00,0.0,-5.272,63.222,-0.535,-108.0,0,792.152,-,0.25,2.608,197.086,-54.0,-54.0,0.675,60.0
91,2021-01-21 19:00:00,0.0,-5.214,64.202,-0.036,-108.0,0,792.568,-,0.25,2.66,197.809,-54.0,-54.0,0.677,60.0
92,2021-01-21 20:00:00,0.0,-5.694,66.258,-0.508,-108.0,0,792.523,-,0.25,2.647,196.303,-54.0,-54.0,0.677,60.0
93,2021-01-21 21:00:00,0.0,-5.999,65.855,-0.675,-108.0,0,792.248,-,0.25,2.57,194.621,-54.0,-54.0,0.674,60.0
94,2021-01-21 22:00:00,0.0,-6.225,67.682,0.738,-108.0,0,791.9,-,0.25,2.596,194.265,-54.0,-54.0,0.675,60.0
95,2021-01-21 23:00:00,0.0,-6.188,66.873,0.64,-108.0,0,791.518,-,0.25,2.572,194.114,-54.0,-54.0,0.674,60.0
96,2021-01-22 00:00:00,0.0,-6.638,67.45,0.7,-108.0,0,791.412,-,0.25,2.506,192.14,-54.0,-54.0,0.672,60.0
97,2021-01-22 01:00:00,0.0,-6.918,67.365,0.298,-108.0,0,791.323,-,0.25,2.449,190.739,-54.0,-54.0,0.67,60.0
98,2021-01-22 02:00:00,0.009,-7.362,67.315,-0.036,-108.0,0,791.034,-,0.25,2.365,188.567,-54.0,-54.0,0.666,60.0
