,When,sea,T_a,RH,v_a,p_a,SW_direct,SW_diffuse,a,vp_a,LW_in,cld,e_a,Discharge,Prec
0,2020-12-14 00:00:00,0.0,-9.72,24.25,2.405,617.679,-2.71,-0.904,0.0,0.0,0.0,0,,60,0
1,2020-12-14 00:15:00,0.0,-9.96,23.53,3.023,617.596,-2.32,-0.774,0.35,0.674,143.85,0,0.529,60,0
2,2020-12-14 00:30:00,0.0,-9.93,22.84,2.616,617.513,-2.296,-0.766,0.35,0.656,143.351,0,0.527,60,0
3,2020-12-14 00:45:00,0.0,-9.91,22.26,2.358,617.43,-2.324,-0.774,0.35,0.64,142.9,0,0.525,60,0
4,2020-12-14 01:00:00,0.0,-10.18,22.19,3.143,617.348,-2.47,-0.824,0.35,0.625,141.837,0,0.523,60,0
5,2020-12-14 01:15:00,0.0,-10.14,21.59,2.715,617.332,-2.562,-0.854,0.35,0.61,141.429,0,0.521,60,0
6,2020-12-14 01:30:00,0.0,-10.33,22.54,3.237,617.317,-2.573,-0.858,0.35,0.627,141.6,0,0.523,60,0
7,2020-12-14 01:45:00,0.0,-10.4,21.36,3.201,617.302,-2.38,-0.794,0.35,0.591,140.261,0,0.519,60,0
8,2020-12-14 02:00:00,0.025,-10.31,20.52,2.407,617.286,-2.316,-0.772,0.35,0.572,139.786,0,0.517,60,0
9,2020-12-14 02:15:00,0.071,-10.38,21.67,2.602,617.276,-2.442,-0.814,0.35,0.601,140.623,0,0.52,60,0
10,2020-12-14 02:30:00,0.117,-10.52,22.11,3.325,617.266,-2.521,-0.84,0.35,0.606,140.514,0,0.521,60,0
11,2020-12-14 02:45:00,0.161,-10.66,22.11,3.518,617.255,-2.2,-0.734,0.35,0.599,140.002,0,0.52,60,0
12,2020-12-14 03:00:00,0.204,-10.89,23.49,4.563,617.245,-2.202,-0.734,0.35,0.625,140.372,0,0.523,60,0
13,2020-12-14 03:15:00,0.245,-10.97,22.81,4.716,617.185,-2.406,-0.802,0.35,0.603,139.492,0,0.521,60,0
14,2020-12-14 03:30:00,0.285,-11.22,22.97,4.815,617.125,-2.442,-0.814,0.35,0.595,138.722,0,0.52,60,0
15,2020-12-14 03:45:00,0.323,-11.25,21.95,4.163,617.064,-2.311,-0.77,0.35,0.568,137.716,0,0.516,60,0
16,2020-12-14 04:00:00,0.359,-11.38,22.1,5.008,617.004,-2.365,-0.788,0.35,0.565,137.382,0,0.516,60,0
