,time,ghi,sea,temp,RH,wind,SW_global,ppt,press,tcc,Discharge,alb,vp_a,LW_in,T_F,SW_direct,SW_diffuse,e_a
0,2021-01-18 00:00:00,0.0,0.0,-6.567,32.53,0.851,0.0,0,621.883,0.5,13.886,0.85,0.0,0.0,0,0.0,0.0,
1,2021-01-18 01:00:00,0.0,0.0,-6.579,33.705,1.196,0.0,0,621.693,0.5,14.865,0.845,1.261,165.226,0,0.0,0.0,0.577
2,2021-01-18 02:00:00,0.0,0.0,-7.31,37.112,0.969,0.0,0,621.381,0.5,14.49,0.839,1.312,164.423,0,0.0,0.0,0.581
3,2021-01-18 03:00:00,0.0,0.0,-7.549,36.772,0.683,0.0,0,620.88,0.5,13.712,0.834,1.276,163.207,0,0.0,0.0,0.578
4,2021-01-18 04:00:00,0.0,0.0,-7.784,38.108,1.238,0.0,0,620.64,0.5,15.694,0.829,1.299,163.058,0,0.0,0.0,0.58
5,2021-01-18 05:00:00,0.0,0.0,-8.092,39.618,1.281,0.0,0,620.618,0.5,16.011,0.824,1.318,162.676,0,0.0,0.0,0.581
6,2021-01-18 06:00:00,0.0,0.0,-9.07,43.24,0.828,0.0,0,620.788,0.5,14.851,0.819,1.333,160.629,0,0.0,0.0,0.583
7,2021-01-18 07:00:00,0.0,0.0,-9.835,44.15,0.265,2.505,0,621.095,0.5,12.115,0.814,1.282,157.953,0,2.505,0.0,0.579
8,2021-01-18 08:00:00,68.861,0.1,-9.722,43.598,0.189,79.583,0,621.454,0.5,9.604,0.809,1.277,158.131,0,79.583,0.0,0.579
9,2021-01-18 09:00:00,250.185,0.278,-8.077,38.61,1.095,205.775,0,621.867,0.5,10.416,0.804,1.286,162.141,0,205.775,0.0,0.579
10,2021-01-18 10:00:00,415.561,0.431,-7.43,36.482,1.457,339.975,0,622.029,0.5,9.797,0.799,1.278,163.519,0,339.975,0.0,0.578
11,2021-01-18 11:00:00,537.502,0.545,-6.268,33.512,1.676,543.975,0,621.507,0.5,8.825,0.794,1.284,166.4,0,543.975,0.0,0.578
12,2021-01-18 12:00:00,601.881,0.608,-5.558,32.127,1.924,630.15,0,620.718,0.5,8.891,0.79,1.299,168.402,0,630.15,0.0,0.579
13,2021-01-18 13:00:00,602.025,0.608,-4.588,30.298,1.992,696.9,0,620.072,0.5,8.923,0.785,1.319,171.132,0,696.9,0.0,0.58
14,2021-01-18 14:00:00,537.92,0.546,-3.788,28.638,2.612,578.9,0,619.609,0.5,10.89,0.78,1.324,173.201,0,578.9,0.0,0.58
15,2021-01-18 15:00:00,416.207,0.431,-2.983,24.98,2.059,426.075,0,619.302,0.5,11.179,0.775,1.226,173.302,0,426.075,0.0,0.574
16,2021-01-18 16:00:00,250.975,0.279,-3.048,22.095,2.265,206.4,0,619.116,0.5,14.069,0.771,1.079,170.014,0,206.4,0.0,0.563
17,2021-01-18 17:00:00,69.61,0.1,-3.579,18.805,1.856,19.05,0,619.28,0.5,15.061,0.766,0.883,163.956,0,19.05,0.0,0.548
18,2021-01-18 18:00:00,0.0,0.0,-4.328,21.152,1.943,0.0,0,619.661,0.5,15.768,0.762,0.939,163.634,0,0.0,0.0,0.553
19,2021-01-18 19:00:00,0.0,0.0,-6.072,25.01,0.637,0.0,0,620.037,0.5,13.471,0.757,0.972,160.383,0,0.0,0.0,0.556
20,2021-01-18 20:00:00,0.0,0.0,-6.408,24.04,1.662,0.0,0,620.223,0.5,16.819,0.753,0.911,158.125,0,0.0,0.0,0.551
21,2021-01-18 21:00:00,0.0,0.0,-6.982,23.688,2.683,0.0,0,620.394,0.5,20.673,0.748,0.859,155.504,0,0.0,0.0,0.546
22,2021-01-18 22:00:00,0.0,0.0,-7.745,25.95,3.386,0.0,0,620.408,0.5,23.933,0.744,0.887,154.502,0,0.0,0.0,0.549
23,2021-01-18 23:00:00,0.0,0.0,-8.338,26.19,3.322,0.0,0,620.303,0.5,24.601,0.739,0.855,152.371,0,0.0,0.0,0.546
24,2021-01-19 00:00:00,0.0,0.0,-8.74,26.985,3.381,0.0,0,620.096,0.5,25.382,0.735,0.854,151.449,0,0.0,0.0,0.546
25,2021-01-19 01:00:00,0.0,0.0,-9.112,28.38,3.45,0.0,0,619.928,0.5,26.128,0.731,0.872,151.088,0,0.0,0.0,0.548
26,2021-01-19 02:00:00,0.0,0.0,-9.525,28.73,3.112,0.0,0,619.813,0.5,25.357,0.727,0.855,149.746,0,0.0,0.0,0.547
27,2021-01-19 03:00:00,0.0,0.0,-9.905,29.135,2.717,0.0,0,619.577,0.5,24.192,0.722,0.841,148.577,0,0.0,0.0,0.546
28,2021-01-19 04:00:00,0.0,0.0,-10.385,30.078,2.086,0.0,0,619.522,0.5,21.948,0.718,0.836,147.406,0,0.0,0.0,0.545
29,2021-01-19 05:00:00,0.0,0.0,-10.765,28.788,2.306,0.0,0,619.662,0.5,23.449,0.714,0.776,145.044,0,0.0,0.0,0.54
30,2021-01-19 06:00:00,0.0,0.0,-11.27,29.045,2.471,0.0,0,620.002,0.5,24.799,0.71,0.753,143.327,0,0.0,0.0,0.537
31,2021-01-19 07:00:00,0.0,0.0,-11.448,30.535,2.676,2.087,0,620.526,0.5,25.072,0.706,0.78,143.685,0,2.087,0.0,0.54
32,2021-01-19 08:00:00,70.064,0.101,-11.505,31.928,3.298,120.03,0,620.962,0.5,25.898,0.702,0.812,144.388,0,120.03,0.0,0.543
33,2021-01-19 09:00:00,252.061,0.28,-10.592,32.572,2.593,308.6,0,621.361,0.5,19.302,0.698,0.891,148.292,0,308.6,0.0,0.55
34,2021-01-19 10:00:00,417.996,0.433,-8.775,32.172,2.192,481.5,0,621.545,0.5,14.011,0.694,1.015,155.161,0,481.5,0.0,0.56
35,2021-01-19 11:00:00,540.448,0.548,-7.979,29.858,2.22,610.725,0,621.16,0.5,12.591,0.69,1.002,156.688,0,610.725,0.0,0.559
36,2021-01-19 12:00:00,605.27,0.611,-7.3,27.288,3.005,680.95,0,620.175,0.5,14.607,0.686,0.965,157.397,0,680.95,0.0,0.556
37,2021-01-19 13:00:00,605.757,0.612,-6.35,22.465,2.94,668.05,0,619.274,0.5,14.244,0.682,0.855,156.833,0,668.05,0.0,0.546
38,2021-01-19 14:00:00,541.859,0.55,-5.604,21.09,2.974,580.175,0,618.774,0.5,14.884,0.679,0.85,158.39,0,580.175,0.0,0.545
39,2021-01-19 15:00:00,420.179,0.435,-5.174,19.5,4.261,227.375,0,618.601,0.5,19.748,0.675,0.812,158.337,0,227.375,0.0,0.542
40,2021-01-19 16:00:00,254.739,0.282,-5.322,20.475,3.7,170.95,0,618.402,0.5,20.62,0.671,0.843,158.85,0,170.95,0.0,0.544
41,2021-01-19 17:00:00,72.614,0.104,-5.947,19.807,3.712,16.054,0,618.396,0.5,22.644,0.667,0.777,155.62,0,16.054,0.0,0.538
42,2021-01-19 18:00:00,0.0,0.0,-6.626,20.675,1.379,0.0,0,618.761,0.5,16.439,0.664,0.77,153.9,0,0.0,0.0,0.538
43,2021-01-19 19:00:00,0.0,0.0,-6.888,20.182,2.275,0.0,0,619.01,0.5,19.571,0.66,0.737,152.351,0,0.0,0.0,0.535
44,2021-01-19 20:00:00,0.0,0.0,-7.732,21.472,2.455,0.0,0,619.233,0.5,21.046,0.656,0.735,150.428,0,0.0,0.0,0.535
45,2021-01-19 21:00:00,0.0,0.0,-8.186,22.08,3.57,0.0,0,619.568,0.5,25.634,0.653,0.729,149.282,0,0.0,0.0,0.534
46,2021-01-19 22:00:00,0.0,0.0,-8.81,22.63,2.566,0.0,0,619.956,0.5,22.676,0.649,0.712,147.423,0,0.0,0.0,0.533
47,2021-01-19 23:00:00,0.0,0.0,-9.345,23.325,2.712,0.0,0,620.101,0.5,23.879,0.646,0.704,146.031,0,0.0,0.0,0.532
48,2021-01-20 00:00:00,0.0,0.0,-9.922,23.012,3.666,0.0,0,620.008,0.5,28.758,0.642,0.664,143.589,0,0.0,0.0,0.527
49,2021-01-20 01:00:00,0.0,0.0,-10.57,26.022,3.558,0.0,0,619.841,0.5,29.087,0.639,0.713,143.694,0,0.0,0.0,0.533
50,2021-01-20 02:00:00,0.0,0.0,-11.065,27.775,3.349,0.0,0,619.764,0.5,28.768,0.635,0.731,143.179,0,0.0,0.0,0.535
51,2021-01-20 03:00:00,0.0,0.0,-11.33,29.01,2.749,0.0,0,619.642,0.5,26.208,0.632,0.748,143.078,0,0.0,0.0,0.537
52,2021-01-20 04:00:00,0.0,0.0,-11.658,30.575,3.072,0.0,0,619.45,0.5,28.123,0.629,0.768,142.924,0,0.0,0.0,0.539
53,2021-01-20 05:00:00,0.0,0.0,-11.885,31.485,3.094,0.0,0,619.501,0.5,28.499,0.625,0.777,142.673,0,0.0,0.0,0.54
54,2021-01-20 06:00:00,0.0,0.0,-12.208,33.092,3.632,0.0,0,619.798,0.5,31.613,0.622,0.795,142.478,0,0.0,0.0,0.542
55,2021-01-20 07:00:00,0.0,0.0,-12.36,33.65,3.455,2.254,0,620.089,0.5,30.06,0.619,0.799,142.249,0,2.254,0.0,0.542
56,2021-01-20 08:00:00,71.367,0.102,-12.26,35.457,2.227,120.725,0,620.402,0.5,21.325,0.615,0.849,143.694,0,120.725,0.0,0.547
