,DX,Max_IceV,Duration,Min_T_s,Min_T_bulk
0,1.0,142.557,30.177,-259.656,-49.569
1,1.5,166.085,54.312,-159.13,-27.425
2,2.0,189.263,54.312,-115.809,-19.736
3,2.5,267.112,54.312,-92.124,-16.229
4,3.0,353.164,54.312,-76.672,-14.79
5,3.5,422.434,54.312,-65.546,-13.876
6,4.0,481.852,54.312,-57.315,-13.44
7,4.5,538.812,54.312,-51.658,-13.105
8,5.0,595.946,54.312,-43.643,-12.826
9,5.5,654.634,54.312,-33.208,-12.572
10,6.0,715.263,54.312,-30.363,-12.338
11,6.5,778.311,54.312,-28.298,-12.117
12,7.0,843.975,54.312,-28.085,-11.906
13,7.5,912.387,54.312,-27.882,-11.704
14,8.0,983.718,54.312,-27.691,-11.512
15,8.5,1058.067,54.312,-27.511,-11.329
16,9.0,1135.636,54.312,-27.34,-11.156
17,9.5,1216.661,54.312,-27.179,-10.994
