,Experiment,rmse_V,corr_V,rmse_T,corr_T,Max_IceV,Duration
0,"{'DX': 0.003, 'TIME_STEP': 900}",291.714,1.0,0,0,353.164,54.312
1,"{'DX': 0.003, 'TIME_STEP': 1200}",,,0,0,193.403,11.292
2,"{'DX': 0.003, 'TIME_STEP': 1500}",,,0,0,137.222,0.955
3,"{'DX': 0.0035, 'TIME_STEP': 900}",234.939,1.0,0,0,422.434,54.312
4,"{'DX': 0.0035, 'TIME_STEP': 1200}",342.402,1.0,0,0,292.647,54.319
5,"{'DX': 0.0035, 'TIME_STEP': 1500}",,,0,0,188.691,11.128
6,"{'DX': 0.004, 'TIME_STEP': 900}",187.696,1.0,0,0,481.852,54.312
7,"{'DX': 0.004, 'TIME_STEP': 1200}",289.671,1.0,0,0,354.879,54.319
8,"{'DX': 0.004, 'TIME_STEP': 1500}",374.381,1.0,0,0,257.215,54.323
9,"{'DX': 0.0045000000000000005, 'TIME_STEP': 900}",141.887,1.0,0,0,538.812,54.312
10,"{'DX': 0.0045000000000000005, 'TIME_STEP': 1200}",246.591,1.0,0,0,407.48,54.319
11,"{'DX': 0.0045000000000000005, 'TIME_STEP': 1500}",327.592,1.0,0,0,311.339,54.323
12,"{'DX': 0.005, 'TIME_STEP': 900}",96.727,1.0,0,0,595.946,54.312
13,"{'DX': 0.005, 'TIME_STEP': 1200}",211.654,1.0,0,0,450.935,54.319
14,"{'DX': 0.005, 'TIME_STEP': 1500}",285.682,1.0,0,0,360.955,54.323
15,"{'DX': 0.0055, 'TIME_STEP': 900}",51.978,1.0,0,0,654.634,54.312
16,"{'DX': 0.0055, 'TIME_STEP': 1200}",177.37,1.0,0,0,493.898,54.319
17,"{'DX': 0.0055, 'TIME_STEP': 1500}",251.787,1.0,0,0,401.752,54.323
18,"{'DX': 0.006, 'TIME_STEP': 900}",18.63,1.0,0,0,715.263,54.312
19,"{'DX': 0.006, 'TIME_STEP': 1200}",142.83,1.0,0,0,537.62,54.319
20,"{'DX': 0.006, 'TIME_STEP': 1500}",222.068,1.0,0,0,438.624,54.323
21,"{'DX': 0.006500000000000001, 'TIME_STEP': 900}",51.584,1.0,0,0,778.311,54.312
22,"{'DX': 0.006500000000000001, 'TIME_STEP': 1200}",108.533,1.0,0,0,580.955,54.319
23,"{'DX': 0.006500000000000001, 'TIME_STEP': 1500}",194.522,1.0,0,0,473.325,54.323
24,"{'DX': 0.007, 'TIME_STEP': 900}",100.395,1.0,0,0,843.975,54.312
25,"{'DX': 0.007, 'TIME_STEP': 1200}",74.54,1.0,0,0,624.554,54.319
26,"{'DX': 0.007, 'TIME_STEP': 1500}",166.97,1.0,0,0,507.979,54.323
27,"{'DX': 0.007500000000000001, 'TIME_STEP': 900}",151.924,1.0,0,0,912.387,54.312
28,"{'DX': 0.007500000000000001, 'TIME_STEP': 1200}",41.534,1.0,0,0,668.873,54.319
29,"{'DX': 0.007500000000000001, 'TIME_STEP': 1500}",139.43,1.0,0,0,542.369,54.323
30,"{'DX': 0.008, 'TIME_STEP': 900}",205.436,1.0,0,0,983.718,54.312
31,"{'DX': 0.008, 'TIME_STEP': 1200}",18.595,1.0,0,0,714.431,54.319
32,"{'DX': 0.008, 'TIME_STEP': 1500}",112.514,1.0,0,0,576.381,54.323
33,"{'DX': 0.0085, 'TIME_STEP': 900}",260.818,1.0,0,0,1058.067,54.312
34,"{'DX': 0.0085, 'TIME_STEP': 1200}",39.699,1.0,0,0,761.281,54.319
35,"{'DX': 0.0085, 'TIME_STEP': 1500}",85.489,1.0,0,0,611.057,54.323
36,"{'DX': 0.009000000000000001, 'TIME_STEP': 900}",318.122,1.0,0,0,1135.636,54.312
37,"{'DX': 0.009000000000000001, 'TIME_STEP': 1200}",74.732,1.0,0,0,809.508,54.319
38,"{'DX': 0.009000000000000001, 'TIME_STEP': 1500}",58.532,1.0,0,0,646.405,54.323
39,"{'DX': 0.009500000000000001, 'TIME_STEP': 900}",377.437,1.0,0,0,1216.661,54.312
40,"{'DX': 0.009500000000000001, 'TIME_STEP': 1200}",112.044,1.0,0,0,859.183,54.319
41,"{'DX': 0.009500000000000001, 'TIME_STEP': 1500}",32.877,1.0,0,0,682.457,54.323
