,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing,LW_in,a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,vp_ice
0,2020-12-30 00:15:00,0.0,-5.7,89.1,0.5,0.0,0.0,0.0,0.0,778.841,0,218.724,0.0,0,17,0,0,1,-89.938,0.0,-81.151,-8.787,0,0,0,0,0,0,6.136
1,2020-12-30 00:30:00,0.0,-5.65,88.75,1.25,0.0,0.0,0.0,0.0,778.86,0,218.332,0.35,0,17,0,0,1,-103.318,0.0,-81.543,-21.775,0,0,0,0,0,0,6.136
2,2020-12-30 00:45:00,0.0,-5.6,87.8,0.0,0.0,0.0,0.0,0.0,778.88,0,217.94,0.35,0,17,0,0,1,-81.935,0.0,-81.935,-0.0,0,0,0,0,0,0,6.136
3,2020-12-30 01:00:00,0.0,-5.7,87.8,1.0,0.0,0.0,0.0,0.0,778.9,0,217.549,0.35,0,17,0,0,1,-99.901,0.0,-82.326,-17.575,0,0,0,0,0,0,6.136
4,2020-12-30 01:15:00,0.0,-5.8,87.8,0.0,0.0,0.0,0.0,0.0,778.982,0,217.382,0.35,0,17,0,0,1,-82.493,0.0,-82.493,-0.0,0,0,0,0,0,0,6.136
5,2020-12-30 01:30:00,0.0,-5.9,88.4,1.0,0.0,0.0,0.0,0.0,779.064,0,217.214,0.35,0,17,0,0,1,-100.856,0.0,-82.661,-18.196,0,0,0,0,0,0,6.136
6,2020-12-30 01:45:00,0.0,-5.9,89.1,0.5,0.0,0.0,0.0,0.0,779.147,0,217.046,0.35,0,17,0,0,1,-91.927,0.0,-82.829,-9.099,0,0,0,0,0,0,6.136
7,2020-12-30 02:00:00,0.0,-5.95,88.75,1.05,0.0,0.0,0.0,0.0,779.229,0,216.879,0.35,0,17,0,0,1,-102.267,0.0,-82.996,-19.272,0,0,0,0,0,0,6.136
8,2020-12-30 02:15:00,0.0,-5.9,88.4,0.5,0.0,0.0,0.0,0.0,779.318,0,216.386,0.35,0,17,0,0,1,-92.589,0.0,-83.489,-9.101,0,0,0,0,0,0,6.136
9,2020-12-30 02:30:00,0.0,-5.7,88.1,1.8,0.0,0.0,0.0,0.0,779.406,0,215.892,0.35,0,17,0,0,1,-115.639,0.0,-83.983,-31.656,0,0,0,0,0,0,6.136
10,2020-12-30 02:45:00,0.0,-3.3,74.9,3.6,0.0,0.0,0.0,0.0,779.495,0,215.399,0.35,0,17,0,0,1,-121.134,0.0,-84.476,-36.659,0,0,0,0,0,0,6.136
11,2020-12-30 03:00:00,0.0,-2.6,73.65,2.35,0.0,0.0,0.0,0.0,779.584,0,214.906,0.35,0,17,0,0,1,-103.825,0.0,-84.969,-18.856,0,0,0,0,0,0,6.136
12,2020-12-30 03:15:00,0.0,-3.2,77.9,1.5,0.0,0.0,0.0,0.0,779.558,0,215.896,0.35,0,17,0,0,1,-98.791,0.0,-83.979,-14.813,0,0,0,0,0,0,6.136
13,2020-12-30 03:30:00,0.0,-3.75,78.1,0.5,0.0,0.0,0.0,0.0,779.532,0,216.885,0.35,0,17,0,0,1,-88.776,0.0,-82.99,-5.786,0,0,0,0,0,0,6.136
14,2020-12-30 03:45:00,0.0,-4.3,78.9,0.0,0.0,0.0,0.0,0.0,779.507,0,217.874,0.35,0,17,0,0,1,-82.001,0.0,-82.001,-0.0,0,0,0,0,0,0,6.136
15,2020-12-30 04:00:00,0.0,-5.0,79.8,0.75,0.0,0.0,0.0,0.0,779.481,0,218.864,0.35,0,17,0,0,1,-92.582,0.0,-81.011,-11.571,0,0,0,0,0,0,6.136
16,2020-12-30 04:15:00,0.0,-5.5,81.2,0.5,0.0,0.0,0.0,0.0,779.522,0,214.925,0.35,0,17,0,0,1,-93.436,0.0,-84.95,-8.486,0,0,0,0,0,0,6.136
17,2020-12-30 04:30:00,0.0,-5.95,82.45,1.25,0.0,0.0,0.0,0.0,779.564,0,210.986,0.35,0,17,0,0,1,-111.841,0.0,-88.889,-22.952,0,0,0,0,0,0,6.136
18,2020-12-30 04:45:00,0.0,-6.1,83.7,1.5,0.0,0.0,0.0,0.0,779.605,0,207.047,0.35,0,17,0,0,1,-121.066,0.0,-92.828,-28.239,0,0,0,0,0,0,6.136
19,2020-12-30 05:00:00,0.0,-6.25,84.35,1.25,0.0,0.0,0.0,0.0,779.646,0,203.108,0.35,0,17,0,0,1,-120.879,0.0,-96.767,-24.112,0,0,0,0,0,0,6.136
