time,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in
2020-01-03 16:00:00,0.4,82.25,1.267,25.345,0.0,5.183,803.755,209.46
2020-01-03 17:00:00,-0.017,82.6,1.35,0.0,0.0,5.05,804.074,204.382
2020-01-03 18:00:00,0.117,80.2,1.45,0.0,0.0,4.933,804.108,219.135
2020-01-03 19:00:00,0.55,80.683,1.183,0.0,0.0,5.133,804.492,216.77
2020-01-03 20:00:00,0.417,83.6,0.583,0.0,0.0,5.25,804.428,222.427
2020-01-03 21:00:00,0.633,86.017,0.583,0.0,0.0,5.5,804.548,252.834
2020-01-03 22:00:00,0.7,89.567,0.5,0.0,0.0,5.75,804.532,281.825
2020-01-03 23:00:00,0.767,91.567,0.5,0.0,0.0,5.883,804.748,289.664
2020-01-04 00:00:00,0.967,92.433,0.25,0.0,0.0,6.067,804.497,272.992
2020-01-04 01:00:00,1.1,92.767,0.0,0.0,0.0,6.167,804.389,266.088
2020-01-04 02:00:00,1.2,93.933,0.0,0.0,0.0,6.233,804.558,261.569
2020-01-04 03:00:00,1.35,94.283,0.583,0.0,0.0,6.367,804.749,269.527
2020-01-04 04:00:00,1.4,94.283,0.333,0.0,0.0,6.367,804.28,283.286
2020-01-04 05:00:00,1.467,95.1,0.583,0.0,0.0,6.467,804.212,281.234
2020-01-04 06:00:00,1.517,94.983,0.333,0.0,0.0,6.5,804.354,284.786
2020-01-04 07:00:00,1.567,94.633,0.167,0.0,0.0,6.5,804.868,278.73
2020-01-04 08:00:00,1.767,94.983,0.417,9.436,0.0,6.6,805.151,284.892
2020-01-04 09:00:00,1.95,94.167,0.5,55.226,0.0,6.617,805.322,284.609
2020-01-04 10:00:00,2.267,93.4,0.833,111.261,0.0,6.733,805.676,286.927
2020-01-04 11:00:00,3.167,91.067,1.283,168.599,0.0,7.017,805.773,285.029
2020-01-04 12:00:00,3.583,86.517,1.8,143.686,0.0,6.867,805.468,284.22
2020-01-04 13:00:00,3.633,85.6,1.633,174.676,0.0,6.8,805.092,282.796
2020-01-04 14:00:00,3.267,86.9,1.367,111.718,0.0,6.717,804.944,290.1
2020-01-04 15:00:00,2.9,89.5,1.367,77.787,0.0,6.733,805.442,286.991
2020-01-04 16:00:00,2.65,92.0,1.35,13.403,0.0,6.817,805.784,284.805
2020-01-04 17:00:00,2.35,93.65,1.417,0.0,0.0,6.8,805.436,283.422
2020-01-04 18:00:00,2.3,95.1,1.817,0.0,0.0,6.9,805.678,287.723
2020-01-04 19:00:00,2.3,95.917,2.1,0.0,0.0,6.95,806.376,269.076
2020-01-04 20:00:00,2.283,95.8,1.9,0.0,0.0,6.917,806.008,282.829
2020-01-04 21:00:00,2.167,95.567,1.817,0.0,0.0,6.817,806.039,273.815
2020-01-04 22:00:00,1.667,95.8,1.017,0.0,0.0,6.617,806.734,284.053
2020-01-04 23:00:00,0.65,95.85,3.933,0.0,0.0,6.15,806.716,273.502
2020-01-05 00:00:00,-0.517,96.167,2.75,0.0,0.0,5.65,806.375,274.616
2020-01-05 01:00:00,-0.7,95.933,2.083,0.0,0.0,5.583,806.192,267.79
2020-01-05 02:00:00,-0.65,95.0,0.667,0.0,0.0,5.55,806.179,258.696
2020-01-05 03:00:00,-0.6,94.067,0.167,0.0,0.0,5.517,805.959,259.426
2020-01-05 04:00:00,-0.567,94.3,0.0,0.0,0.0,5.533,806.137,234.099
2020-01-05 05:00:00,-0.583,93.95,0.25,0.0,0.0,5.517,805.982,238.149
2020-01-05 06:00:00,-0.733,94.067,0.5,0.0,0.0,5.433,806.132,227.096
2020-01-05 07:00:00,-0.8,93.717,0.333,0.0,0.0,5.4,806.258,218.674
2020-01-05 08:00:00,-0.833,93.833,0.167,20.26,0.0,5.383,806.604,220.872
2020-01-05 09:00:00,-0.883,92.35,0.167,112.866,0.0,5.3,806.678,223.78
2020-01-05 10:00:00,-0.983,90.533,0.0,238.549,0.0,5.133,806.606,223.274
2020-01-05 11:00:00,-1.133,89.75,0.083,319.466,0.0,5.05,806.838,216.297
2020-01-05 12:00:00,-1.2,89.067,0.417,357.728,0.0,4.983,806.056,205.491
2020-01-05 13:00:00,-1.567,88.483,0.0,336.33,0.0,4.817,806.332,205.789
2020-01-05 14:00:00,-1.55,88.5,0.75,255.116,0.0,4.833,806.266,208.431
2020-01-05 15:00:00,-1.483,85.9,1.083,143.595,0.0,4.7,806.876,211.387
2020-01-05 16:00:00,-1.65,83.517,1.0,27.702,0.0,4.517,806.425,206.558
2020-01-05 17:00:00,-2.133,84.85,1.25,0.0,0.0,4.4,806.737,206.321
2020-01-05 18:00:00,-2.3,84.6,1.167,0.0,0.0,4.367,806.431,208.592
2020-01-05 19:00:00,-2.5,85.117,1.35,0.0,0.0,4.317,806.869,208.82
2020-01-05 20:00:00,-2.367,83.767,1.517,0.0,0.0,4.3,806.915,210.459
2020-01-05 21:00:00,-1.983,80.6,1.467,0.0,0.0,4.233,806.553,211.97
2020-01-05 22:00:00,-2.083,80.9,1.617,0.0,0.0,4.233,806.424,211.51
2020-01-05 23:00:00,-1.8,80.0,1.6,0.0,0.0,4.3,806.452,212.361
2020-01-06 00:00:00,-1.9,81.0,1.6,0.0,0.0,4.3,805.956,212.752
2020-01-06 01:00:00,-2.2,81.9,0.917,0.0,0.0,4.25,806.014,212.077
2020-01-06 02:00:00,-2.333,83.783,1.617,0.0,0.0,4.3,805.768,212.469
2020-01-06 03:00:00,-2.55,84.7,0.667,0.0,0.0,4.283,805.594,212.187
2020-01-06 04:00:00,-3.083,85.7,0.933,0.0,0.0,4.167,805.495,212.702
2020-01-06 05:00:00,-2.867,88.017,1.717,0.0,0.0,4.35,805.536,213.61
2020-01-06 06:00:00,-2.067,86.8,2.0,0.0,0.0,4.55,805.708,214.448
2020-01-06 07:00:00,-1.317,84.5,1.717,0.0,0.0,4.683,805.852,208.993
2020-01-06 08:00:00,-0.967,84.233,2.0,23.688,0.0,4.8,806.061,212.372
2020-01-06 09:00:00,-0.333,83.917,2.0,133.887,0.0,5.0,806.048,214.796
2020-01-06 10:00:00,0.783,79.35,0.5,247.775,0.0,5.117,805.865,218.72
2020-01-06 11:00:00,1.15,76.567,0.25,330.331,0.0,5.083,805.468,214.932
2020-01-06 12:00:00,1.017,77.017,0.417,356.594,0.0,5.05,804.934,219.248
2020-01-06 13:00:00,1.05,78.3,1.467,327.398,0.0,5.167,804.421,219.941
2020-01-06 14:00:00,1.8,76.983,1.9,261.445,0.0,5.367,804.316,210.762
2020-01-06 15:00:00,2.0,74.583,2.0,150.026,0.0,5.25,804.085,211.761
2020-01-06 16:00:00,1.85,74.183,2.1,31.45,0.0,5.2,804.089,207.287
2020-01-06 17:00:00,1.533,74.5,1.083,0.0,0.0,5.083,804.346,206.082
2020-01-06 18:00:00,0.617,77.917,0.917,0.0,0.0,4.967,804.338,205.149
2020-01-06 19:00:00,0.183,79.7,1.8,0.0,0.0,4.9,804.594,202.892
