,When,Discharge,v_a,T_a,RH,p_a
0,2020-01-03 16:00:00,5.813,0.533,0.7,76.333,905.933
1,2020-01-03 16:15:00,5.813,0.5,0.233,78.367,905.867
2,2020-01-03 16:30:00,5.823,0.5,0.233,80.0,905.667
3,2020-01-03 16:45:00,5.823,0.433,0.367,77.833,905.667
4,2020-01-03 17:00:00,5.757,0.733,0.133,76.667,905.933
5,2020-01-03 17:15:00,5.803,0.267,-0.367,81.533,905.933
6,2020-01-03 17:30:00,5.783,0.5,-0.467,81.4,906.133
7,2020-01-03 17:45:00,5.8,0.467,-0.8,81.333,906.267
8,2020-01-03 18:00:00,5.86,0.267,-0.7,80.733,906.267
9,2020-01-03 18:15:00,5.81,0.367,-0.667,79.233,906.367
10,2020-01-03 18:30:00,5.893,0.5,-0.533,78.0,906.533
11,2020-01-03 18:45:00,5.84,0.667,-0.8,77.567,906.5
12,2020-01-03 19:00:00,5.863,0.5,-0.333,75.133,906.233
13,2020-01-03 19:15:00,5.88,0.567,0.2,71.867,906.133
14,2020-01-03 19:30:00,5.907,0.7,0.467,70.767,906.367
15,2020-01-03 19:45:00,5.893,0.633,0.4,73.467,906.467
16,2020-01-03 20:00:00,5.9,0.267,0.7,72.467,906.567
17,2020-01-03 20:15:00,5.897,0.733,0.767,71.767,906.9
18,2020-01-03 20:30:00,5.91,0.833,0.8,72.633,907.133
19,2020-01-03 20:45:00,5.93,0.4,0.7,74.9,907.5
20,2020-01-03 21:00:00,5.927,0.367,0.533,75.6,907.733
21,2020-01-03 21:15:00,5.93,0.467,0.633,76.233,907.833
22,2020-01-03 21:30:00,5.927,0.433,0.8,76.633,908.1
23,2020-01-03 21:45:00,5.933,0.3,0.833,77.367,908.1
24,2020-01-03 22:00:00,5.937,0.533,0.767,78.967,908.167
25,2020-01-03 22:15:00,5.917,0.4,0.867,79.167,908.133
26,2020-01-03 22:30:00,5.927,0.367,0.9,82.567,908.1
27,2020-01-03 22:45:00,5.95,0.233,0.833,84.133,908.167
28,2020-01-03 23:00:00,5.943,0.3,0.767,85.0,908.167
29,2020-01-03 23:15:00,5.943,0.367,0.733,85.933,908.233
30,2020-01-03 23:30:00,5.96,0.467,0.7,87.0,908.233
31,2020-01-03 23:45:00,5.967,0.3,0.767,87.867,907.933
32,2020-01-04 00:00:00,5.97,0.367,0.833,87.6,907.9
33,2020-01-04 00:15:00,5.963,0.267,0.933,87.533,907.967
34,2020-01-04 00:30:00,5.983,0.5,0.867,88.3,907.933
35,2020-01-04 00:45:00,5.977,0.367,1.033,87.833,907.733
36,2020-01-04 01:00:00,5.99,0.3,1.0,87.933,907.667
37,2020-01-04 01:15:00,5.977,0.433,1.1,88.433,907.667
38,2020-01-04 01:30:00,5.973,0.367,1.2,88.2,907.6
39,2020-01-04 01:45:00,5.983,0.367,1.1,88.7,907.633
40,2020-01-04 02:00:00,5.987,0.4,1.133,89.233,907.7
41,2020-01-04 02:15:00,5.983,0.3,1.167,89.767,907.767
42,2020-01-04 02:30:00,5.983,0.333,1.2,89.767,907.667
43,2020-01-04 02:45:00,5.99,0.333,1.333,89.367,907.867
44,2020-01-04 03:00:00,5.993,0.233,1.3,89.6,908.0
45,2020-01-04 03:15:00,6.0,0.233,1.233,90.5,908.0
46,2020-01-04 03:30:00,6.01,0.3,1.233,90.467,908.133
47,2020-01-04 03:45:00,5.997,0.267,1.267,89.867,908.133
48,2020-01-04 04:00:00,6.007,0.433,1.233,90.533,908.1
49,2020-01-04 04:15:00,5.987,0.233,1.5,90.333,908.033
50,2020-01-04 04:30:00,6.007,0.3,1.5,90.167,907.9
51,2020-01-04 04:45:00,6.013,0.267,1.5,90.133,907.967
52,2020-01-04 05:00:00,5.99,0.3,1.5,90.033,907.8
53,2020-01-04 05:15:00,5.98,0.233,1.467,90.567,907.7
54,2020-01-04 05:30:00,5.977,0.233,1.367,90.867,907.867
55,2020-01-04 05:45:00,5.987,0.467,1.267,91.033,907.9
56,2020-01-04 06:00:00,6.007,0.433,1.433,91.133,907.8
57,2020-01-04 06:15:00,6.02,0.2,1.667,89.867,907.733
58,2020-01-04 06:30:00,6.0,0.333,1.6,90.033,907.967
59,2020-01-04 06:45:00,5.99,0.333,1.533,89.633,908.1
60,2020-01-04 07:00:00,5.973,0.367,1.7,90.133,908.167
61,2020-01-04 07:15:00,6.033,0.267,1.633,89.7,908.4
62,2020-01-04 07:30:00,6.007,0.3,1.6,89.967,908.667
63,2020-01-04 07:45:00,6.013,0.433,1.533,90.1,908.6
64,2020-01-04 08:00:00,6.023,0.267,1.733,89.267,908.467
65,2020-01-04 08:15:00,6.007,0.333,1.667,89.433,908.567
66,2020-01-04 08:30:00,6.017,0.3,1.667,89.467,908.7
67,2020-01-04 08:45:00,5.993,0.267,1.633,89.667,908.9
68,2020-01-04 09:00:00,5.987,0.333,1.733,89.133,908.967
69,2020-01-04 09:15:00,6.02,0.333,1.8,88.833,909.067
70,2020-01-04 09:30:00,6.02,0.167,1.733,89.4,908.867
71,2020-01-04 09:45:00,6.0,0.167,1.767,89.233,909.0
72,2020-01-04 10:00:00,6.02,0.533,1.833,89.167,909.3
73,2020-01-04 10:15:00,5.997,0.533,1.833,88.933,909.233
74,2020-01-04 10:30:00,6.08,0.267,2.067,88.033,909.1
75,2020-01-04 10:45:00,6.033,0.2,2.167,87.2,909.067
76,2020-01-04 11:00:00,6.047,0.433,2.833,84.667,909.167
77,2020-01-04 11:15:00,6.05,0.5,3.1,82.767,909.033
78,2020-01-04 11:30:00,6.05,0.267,3.2,82.733,909.133
79,2020-01-04 11:45:00,6.043,0.5,3.3,82.467,909.2
80,2020-01-04 12:00:00,6.043,0.2,3.5,81.833,909.3
81,2020-01-04 12:15:00,6.053,0.233,3.7,80.967,909.233
82,2020-01-04 12:30:00,6.027,0.367,3.8,80.333,909.4
83,2020-01-04 12:45:00,6.077,0.4,3.833,79.4,909.4
84,2020-01-04 13:00:00,6.073,0.467,4.0,77.4,909.3
85,2020-01-04 13:15:00,6.057,0.4,3.9,77.633,909.067
86,2020-01-04 13:30:00,6.057,0.567,4.067,76.733,908.833
87,2020-01-04 13:45:00,6.063,0.567,4.1,75.933,908.567
88,2020-01-04 14:00:00,6.05,0.5,3.767,77.367,908.7
89,2020-01-04 14:15:00,6.057,0.267,3.733,77.667,908.733
90,2020-01-04 14:30:00,6.053,0.467,3.933,77.467,908.767
91,2020-01-04 14:45:00,6.077,0.5,3.733,77.867,908.933
92,2020-01-04 15:00:00,6.073,0.3,3.433,79.3,909.033
93,2020-01-04 15:15:00,6.05,0.3,3.433,79.967,909.233
94,2020-01-04 15:30:00,6.063,0.433,3.233,80.867,909.467
95,2020-01-04 15:45:00,6.06,0.333,3.3,81.667,909.433
96,2020-01-04 16:00:00,6.067,0.467,3.2,82.0,909.567
97,2020-01-04 16:15:00,6.073,0.367,3.033,83.633,909.433
98,2020-01-04 16:30:00,6.033,0.467,2.967,84.767,909.4
99,2020-01-04 16:45:00,6.067,0.333,2.867,86.033,909.4
100,2020-01-04 17:00:00,6.073,0.4,2.767,87.1,909.533
101,2020-01-04 17:15:00,6.027,0.367,2.7,88.1,909.667
102,2020-01-04 17:30:00,6.03,0.333,2.7,88.533,909.7
103,2020-01-04 17:45:00,6.017,0.267,2.567,88.867,909.8
104,2020-01-04 18:00:00,6.06,0.367,2.433,89.533,910.0
105,2020-01-04 18:15:00,6.053,0.467,2.4,90.4,910.167
106,2020-01-04 18:30:00,6.073,0.433,2.5,91.233,910.067
107,2020-01-04 18:45:00,6.053,0.4,2.5,91.133,910.1
108,2020-01-04 19:00:00,6.083,0.4,2.5,91.233,910.1
109,2020-01-04 19:15:00,6.093,0.433,2.533,91.167,910.2
110,2020-01-04 19:30:00,6.057,0.533,2.567,91.0,910.333
111,2020-01-04 19:45:00,6.087,0.433,2.5,91.333,910.5
112,2020-01-04 20:00:00,6.093,0.667,2.533,91.267,910.567
113,2020-01-04 20:15:00,6.087,0.533,2.633,90.3,910.567
114,2020-01-04 20:30:00,6.087,0.6,2.667,89.8,910.5
115,2020-01-04 20:45:00,6.097,0.533,2.7,88.833,910.4
116,2020-01-04 21:00:00,6.097,0.5,2.667,88.933,910.5
117,2020-01-04 21:15:00,6.08,0.567,2.6,89.233,910.533
118,2020-01-04 21:30:00,6.087,0.367,2.6,89.3,910.633
119,2020-01-04 21:45:00,6.103,0.533,2.567,89.667,910.733
120,2020-01-04 22:00:00,6.1,0.533,2.6,88.967,910.667
121,2020-01-04 22:15:00,6.113,0.367,2.567,89.533,910.7
122,2020-01-04 22:30:00,6.07,0.367,2.233,91.2,910.7
123,2020-01-04 22:45:00,6.087,0.4,1.967,92.3,910.733
124,2020-01-04 23:00:00,6.1,0.267,1.833,92.8,910.767
125,2020-01-04 23:15:00,6.12,0.2,1.767,93.033,910.8
126,2020-01-04 23:30:00,6.093,0.3,1.7,93.233,910.767
127,2020-01-04 23:45:00,6.1,0.7,1.7,93.367,910.733
128,2020-01-05 00:00:00,6.107,0.633,1.467,93.167,910.7
129,2020-01-05 00:15:00,6.11,0.667,1.1,93.033,910.633
130,2020-01-05 00:30:00,6.11,0.7,0.767,93.033,910.733
131,2020-01-05 00:45:00,6.107,0.667,0.433,92.4,910.767
132,2020-01-05 01:00:00,6.117,0.7,0.167,89.633,910.833
133,2020-01-05 01:15:00,6.107,0.733,0.067,88.2,910.867
134,2020-01-05 01:30:00,6.09,0.4,0.0,88.167,910.7
135,2020-01-05 01:45:00,6.117,0.467,0.0,87.633,910.9
136,2020-01-05 02:00:00,6.117,0.5,0.0,87.0,911.1
137,2020-01-05 02:15:00,6.123,0.4,-0.133,87.0,911.1
138,2020-01-05 02:30:00,6.117,0.367,-0.2,86.767,911.2
139,2020-01-05 02:45:00,6.107,0.233,-0.2,86.9,911.033
140,2020-01-05 03:00:00,6.13,0.3,-0.267,86.7,910.8
141,2020-01-05 03:15:00,6.12,0.467,-0.2,86.8,910.867
142,2020-01-05 03:30:00,6.13,0.467,-0.2,86.167,910.933
143,2020-01-05 03:45:00,6.113,0.3,-0.2,86.533,910.733
144,2020-01-05 04:00:00,6.133,0.267,-0.2,86.733,910.6
145,2020-01-05 04:15:00,6.12,0.267,-0.2,86.667,910.5
146,2020-01-05 04:30:00,6.12,0.233,-0.2,86.8,910.333
147,2020-01-05 04:45:00,6.12,0.267,-0.233,86.967,910.4
148,2020-01-05 05:00:00,6.11,0.267,-0.3,87.5,910.467
149,2020-01-05 05:15:00,6.12,0.167,-0.3,87.867,910.5
150,2020-01-05 05:30:00,6.093,0.233,-0.3,87.267,910.4
151,2020-01-05 05:45:00,6.097,0.333,-0.3,87.033,910.433
152,2020-01-05 06:00:00,6.093,0.267,-0.3,87.1,910.4
153,2020-01-05 06:15:00,6.133,0.2,-0.3,87.433,910.4
154,2020-01-05 06:30:00,6.107,0.267,-0.4,87.6,910.467
155,2020-01-05 06:45:00,6.11,0.233,-0.4,87.833,910.5
156,2020-01-05 07:00:00,6.117,0.467,-0.467,88.133,910.5
157,2020-01-05 07:15:00,6.127,0.4,-0.567,88.4,910.467
158,2020-01-05 07:30:00,6.103,0.3,-0.6,88.567,910.5
159,2020-01-05 07:45:00,6.107,0.267,-0.6,88.7,910.533
160,2020-01-05 08:00:00,6.113,0.233,-0.6,88.533,910.7
161,2020-01-05 08:15:00,6.117,0.333,-0.6,88.933,910.767
162,2020-01-05 08:30:00,6.107,0.4,-0.6,88.2,910.8
163,2020-01-05 08:45:00,6.087,0.2,-0.6,87.933,910.8
164,2020-01-05 09:00:00,6.11,0.2,-0.6,87.733,910.833
165,2020-01-05 09:15:00,6.137,0.367,-0.6,87.833,910.833
166,2020-01-05 09:30:00,6.087,0.333,-0.633,87.267,910.733
167,2020-01-05 09:45:00,4.87,0.5,-0.733,86.0,910.833
168,2020-01-05 10:00:00,2.647,0.3,-0.867,88.433,910.8
169,2020-01-05 10:15:00,2.743,0.5,-1.0,88.2,910.767
170,2020-01-05 10:30:00,2.783,0.4,0.233,81.533,910.7
171,2020-01-05 10:45:00,2.843,0.6,1.133,75.567,910.7
172,2020-01-05 11:00:00,2.89,0.433,1.767,69.367,910.7
173,2020-01-05 11:15:00,2.893,0.467,2.667,65.333,910.533
174,2020-01-05 11:30:00,2.89,0.467,1.4,68.0,910.5
175,2020-01-05 11:45:00,2.94,0.433,1.6,68.1,910.5
176,2020-01-05 12:00:00,2.94,0.267,0.3,74.233,910.267
177,2020-01-05 12:15:00,2.96,0.333,-0.5,78.433,909.9
178,2020-01-05 12:30:00,2.967,0.2,-0.867,79.867,909.667
179,2020-01-05 12:45:00,3.0,0.267,-0.967,82.467,909.5
180,2020-01-05 13:00:00,2.983,0.333,-1.233,82.5,909.433
181,2020-01-05 13:15:00,2.983,0.367,-1.3,82.367,909.7
182,2020-01-05 13:30:00,3.007,0.667,-1.4,81.567,909.8
183,2020-01-05 13:45:00,3.023,0.267,-1.5,82.133,909.767
184,2020-01-05 14:00:00,3.02,0.4,-1.4,82.033,909.767
185,2020-01-05 14:15:00,3.037,0.3,-1.667,82.3,909.8
186,2020-01-05 14:30:00,3.05,0.233,-2.0,83.767,909.833
187,2020-01-05 14:45:00,3.03,0.367,-1.967,84.933,909.933
188,2020-01-05 15:00:00,3.04,0.433,-1.867,85.4,909.9
189,2020-01-05 15:15:00,3.047,0.3,-1.5,84.3,909.9
190,2020-01-05 15:30:00,3.04,0.433,-1.267,81.833,909.8
191,2020-01-05 15:45:00,3.073,0.333,-1.033,77.0,909.8
192,2020-01-05 16:00:00,3.043,0.4,-1.233,79.267,909.8
193,2020-01-05 16:15:00,3.06,0.4,-1.267,78.833,910.0
194,2020-01-05 16:30:00,3.063,0.4,-1.5,78.2,910.067
195,2020-01-05 16:45:00,3.063,0.233,-1.8,78.8,909.9
196,2020-01-05 17:00:00,7.893,0.433,-1.533,76.9,909.667
197,2020-01-05 17:15:00,17.64,0.267,-1.933,78.2,909.567
198,2020-01-05 17:30:00,17.64,0.4,-2.3,79.367,909.7
199,2020-01-05 17:45:00,17.64,0.233,-2.4,80.267,909.733
200,2020-01-05 18:00:00,17.64,0.4,-2.7,81.767,909.733
201,2020-01-05 18:15:00,17.64,0.233,-2.867,81.733,909.667
202,2020-01-05 18:30:00,17.64,0.367,-2.567,79.267,909.6
203,2020-01-05 18:45:00,17.64,0.333,-2.6,80.833,909.433
204,2020-01-05 19:00:00,17.64,0.4,-2.633,78.633,909.3
205,2020-01-05 19:15:00,17.64,0.567,-2.6,80.867,909.467
206,2020-01-05 19:30:00,17.64,0.4,-2.567,79.833,909.567
207,2020-01-05 19:45:00,17.64,0.267,-2.733,80.1,909.6
208,2020-01-05 20:00:00,17.64,0.267,-2.767,81.0,909.667
209,2020-01-05 20:15:00,17.64,0.433,-2.833,80.067,909.633
210,2020-01-05 20:30:00,17.64,0.3,-2.9,80.567,909.6
211,2020-01-05 20:45:00,17.64,0.467,-2.867,78.367,909.433
212,2020-01-05 21:00:00,17.64,0.4,-2.733,80.433,909.3
213,2020-01-05 21:15:00,17.64,0.3,-2.8,77.4,909.167
214,2020-01-05 21:30:00,17.64,0.367,-2.833,78.833,908.933
215,2020-01-05 21:45:00,17.64,0.233,-2.667,77.2,908.8
216,2020-01-05 22:00:00,17.64,0.267,-2.7,76.933,908.6
217,2020-01-05 22:15:00,17.64,0.633,-2.433,74.533,908.5
218,2020-01-05 22:30:00,17.64,0.5,-2.133,74.767,908.567
219,2020-01-05 22:45:00,17.64,0.5,-2.267,73.067,908.733
220,2020-01-05 23:00:00,17.64,0.267,-2.567,75.933,908.7
221,2020-01-05 23:15:00,17.64,0.267,-2.6,77.633,908.7
222,2020-01-05 23:30:00,17.64,0.333,-2.633,76.833,908.633
223,2020-01-05 23:45:00,17.64,0.3,-2.5,74.0,908.5
224,2020-01-06 00:00:00,17.64,0.233,-2.5,76.667,908.4
225,2020-01-06 00:15:00,17.64,0.367,-2.533,74.5,908.233
226,2020-01-06 00:30:00,17.64,0.367,-2.233,73.967,908.033
227,2020-01-06 00:45:00,17.64,0.367,-2.3,74.933,908.0
228,2020-01-06 01:00:00,17.64,0.367,-2.633,76.967,908.0
229,2020-01-06 01:15:00,17.64,0.267,-2.733,77.733,907.8
230,2020-01-06 01:30:00,17.64,0.233,-2.633,77.9,907.633
231,2020-01-06 01:45:00,17.64,0.3,-2.733,76.867,907.533
232,2020-01-06 02:00:00,17.64,0.367,-2.667,79.3,907.5
233,2020-01-06 02:15:00,17.64,0.3,-2.567,78.0,907.5
234,2020-01-06 02:30:00,17.64,0.5,-2.867,78.833,907.667
235,2020-01-06 02:45:00,17.64,0.233,-2.9,79.433,907.633
236,2020-01-06 03:00:00,17.64,0.3,-3.0,81.5,907.533
237,2020-01-06 03:15:00,17.64,0.233,-3.0,79.767,907.5
238,2020-01-06 03:30:00,17.64,0.267,-2.867,78.467,907.467
239,2020-01-06 03:45:00,17.64,0.3,-2.933,81.733,907.4
240,2020-01-06 04:00:00,17.64,0.267,-3.033,81.833,907.333
241,2020-01-06 04:15:00,17.64,0.2,-3.233,82.467,907.233
242,2020-01-06 04:30:00,17.64,0.167,-3.333,84.633,907.067
243,2020-01-06 04:45:00,17.64,1881.367,-3.4,84.033,907.133
244,2020-01-06 05:00:00,17.64,0.267,-3.6,83.867,907.133
245,2020-01-06 05:15:00,17.64,0.267,-3.467,83.7,907.333
246,2020-01-06 05:30:00,17.64,0.367,-3.6,83.6,907.433
247,2020-01-06 05:45:00,17.64,0.2,-3.533,85.9,907.367
248,2020-01-06 06:00:00,17.64,0.167,-3.633,85.667,907.433
249,2020-01-06 06:15:00,17.64,0.3,-3.5,83.833,907.5
250,2020-01-06 06:30:00,17.64,0.267,-3.033,83.433,907.6
251,2020-01-06 06:45:00,17.64,0.2,-3.0,84.067,907.6
252,2020-01-06 07:00:00,4.833,0.333,-2.867,81.567,907.6
253,2020-01-06 07:15:00,5.11,0.267,-2.467,80.967,907.667
254,2020-01-06 07:30:00,5.233,0.233,-2.533,81.667,907.5
255,2020-01-06 07:45:00,5.317,0.333,-2.367,82.133,907.4
256,2020-01-06 08:00:00,5.4,0.2,-2.2,81.033,907.3
257,2020-01-06 08:15:00,5.447,0.167,-2.433,81.833,907.4
258,2020-01-06 08:30:00,5.477,0.167,-2.3,81.767,907.367
259,2020-01-06 08:45:00,5.527,0.233,-2.2,81.4,907.4
260,2020-01-06 09:00:00,5.553,0.2,-2.1,80.033,907.367
261,2020-01-06 09:15:00,5.583,0.267,-2.033,82.167,907.3
262,2020-01-06 09:30:00,5.58,0.2,-1.867,80.7,907.3
263,2020-01-06 09:45:00,5.607,0.2,-1.8,80.6,907.3
264,2020-01-06 10:00:00,5.627,0.233,-1.5,80.567,907.167
265,2020-01-06 10:15:00,5.643,0.267,-1.267,79.9,907.1
266,2020-01-06 10:30:00,5.613,0.333,0.833,71.0,907.067
267,2020-01-06 10:45:00,5.683,0.433,2.9,64.433,907.1
268,2020-01-06 11:00:00,5.717,0.633,3.567,60.3,907.1
269,2020-01-06 11:15:00,5.723,0.567,3.833,56.567,907.2
270,2020-01-06 11:30:00,5.733,0.3,4.467,54.6,907.133
271,2020-01-06 11:45:00,5.747,0.433,5.3,51.567,907.1
272,2020-01-06 12:00:00,5.763,0.4,1.933,63.267,906.9
273,2020-01-06 12:15:00,5.753,0.333,1.4,68.067,906.7
274,2020-01-06 12:30:00,5.753,0.3,0.867,70.0,906.533
