,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing_type,LW_in,DroneV,dia,cam_temp,h_f,a,cld,Discharge
0,2020-01-03 16:00:00,0.0,0.6,81.5,1.25,10.298,15.048,0.0,5.2,803.755,p_aSW_directSW_diffuseLW_in,209.46,23.91,13.43,-2.4,2.5,0.85,0,5.813
1,2020-01-03 16:15:00,0.0,0.4,82.0,1.0,7.724,11.286,0.0,5.2,803.835,p_aSW_directSW_diffuseLW_in,208.19,,,,2.5,0.849,0,5.813
2,2020-01-03 16:30:00,0.0,0.35,82.65,1.0,5.149,7.524,0.0,5.2,803.914,p_aSW_directSW_diffuseLW_in,206.921,,,,2.5,0.849,0,5.823
3,2020-01-03 16:45:00,0.0,0.1,83.2,2.1,2.575,3.762,0.0,5.1,803.994,p_aSW_directSW_diffuseLW_in,205.652,,,,2.5,0.848,0,5.823
4,2020-01-03 17:00:00,0.0,0.1,82.6,1.25,0.0,0.0,0.0,5.1,804.074,p_aSW_directSW_diffuseLW_in,204.382,,,-1.819,2.5,0.848,0,5.757
5,2020-01-03 17:15:00,0.0,0.0,83.2,1.5,0.0,0.0,0.0,5.1,804.082,p_aSW_directSW_diffuseLW_in,208.07,,,,2.5,0.847,0,5.803
6,2020-01-03 17:30:00,0.0,-0.05,82.0,1.0,0.0,0.0,0.0,5.0,804.091,p_aSW_directSW_diffuseLW_in,211.758,,,,2.5,0.847,0,5.783
7,2020-01-03 17:45:00,0.0,-0.2,83.2,2.1,0.0,0.0,0.0,5.0,804.099,p_aSW_directSW_diffuseLW_in,215.447,,,,2.5,0.846,0,5.8
8,2020-01-03 18:00:00,0.0,-0.05,81.4,1.8,0.0,0.0,0.0,4.95,804.108,p_aSW_directSW_diffuseLW_in,219.135,,,-2.893,2.5,0.846,0,5.86
9,2020-01-03 18:15:00,0.0,0.1,80.2,1.0,0.0,0.0,0.0,4.9,804.204,p_aSW_directSW_diffuseLW_in,218.544,,,,2.5,0.845,0,5.81
10,2020-01-03 18:30:00,0.0,0.2,79.0,1.3,0.0,0.0,0.0,4.9,804.3,p_aSW_directSW_diffuseLW_in,217.952,,,,2.5,0.845,0,5.893
11,2020-01-03 18:45:00,0.0,0.3,80.2,1.5,0.0,0.0,0.0,5.0,804.396,p_aSW_directSW_diffuseLW_in,217.361,,,,2.5,0.844,0,5.84
12,2020-01-03 19:00:00,0.0,0.5,79.95,1.25,0.0,0.0,0.0,5.05,804.492,p_aSW_directSW_diffuseLW_in,216.77,,,-2.279,2.5,0.844,0,5.863
13,2020-01-03 19:15:00,0.0,0.6,80.3,2.1,0.0,0.0,0.0,5.1,804.476,p_aSW_directSW_diffuseLW_in,218.184,,,,2.5,0.843,0,5.88
14,2020-01-03 19:30:00,0.0,0.6,80.9,1.0,0.0,0.0,0.0,5.2,804.46,p_aSW_directSW_diffuseLW_in,219.598,,,,2.5,0.843,0,5.907
15,2020-01-03 19:45:00,0.0,0.5,82.1,0.5,0.0,0.0,0.0,5.2,804.444,p_aSW_directSW_diffuseLW_in,221.013,,,,2.5,0.842,0,5.893
16,2020-01-03 20:00:00,0.0,0.4,83.0,0.5,0.0,0.0,0.0,5.2,804.428,p_aSW_directSW_diffuseLW_in,222.427,,,-2.275,2.5,0.842,0,5.9
17,2020-01-03 20:15:00,0.0,0.4,82.7,1.0,0.0,0.0,0.0,5.2,804.458,p_aSW_directSW_diffuseLW_in,230.029,,,,2.5,0.841,0,5.897
18,2020-01-03 20:30:00,0.0,0.4,84.5,0.75,0.0,0.0,0.0,5.3,804.488,p_aSW_directSW_diffuseLW_in,237.63,,,,2.5,0.841,0,5.91
19,2020-01-03 20:45:00,0.0,0.5,83.9,0.0,0.0,0.0,0.0,5.3,804.518,p_aSW_directSW_diffuseLW_in,245.232,,,,2.5,0.84,0,5.93
20,2020-01-03 21:00:00,0.0,0.55,84.2,0.5,0.0,0.0,0.0,5.35,804.548,p_aSW_directSW_diffuseLW_in,252.834,,,-2.279,2.5,0.84,0,5.927
21,2020-01-03 21:15:00,0.0,0.6,85.8,1.0,0.0,0.0,0.0,5.5,804.544,p_aSW_directSW_diffuseLW_in,260.082,,,,2.5,0.839,0,5.93
22,2020-01-03 21:30:00,0.0,0.7,86.75,0.5,0.0,0.0,0.0,5.55,804.54,p_aSW_directSW_diffuseLW_in,267.33,,,,2.5,0.839,0,5.927
23,2020-01-03 21:45:00,0.0,0.7,88.4,0.5,0.0,0.0,0.0,5.7,804.536,p_aSW_directSW_diffuseLW_in,274.577,,,,2.5,0.838,0,5.933
24,2020-01-03 22:00:00,0.0,0.7,88.7,0.25,0.0,0.0,0.0,5.7,804.532,p_aSW_directSW_diffuseLW_in,281.825,,,,2.5,0.838,0,5.937
25,2020-01-03 22:15:00,0.0,0.7,89.0,0.5,0.0,0.0,0.0,5.7,804.586,p_aSW_directSW_diffuseLW_in,283.785,,,,2.5,0.837,0,5.917
26,2020-01-03 22:30:00,0.0,0.7,90.0,0.75,0.0,0.0,0.0,5.8,804.64,p_aSW_directSW_diffuseLW_in,285.744,,,,2.5,0.837,0,5.927
27,2020-01-03 22:45:00,0.0,0.7,91.0,0.5,0.0,0.0,0.0,5.8,804.694,p_aSW_directSW_diffuseLW_in,287.704,,,,2.5,0.836,0,5.95
28,2020-01-03 23:00:00,0.0,0.7,91.0,0.5,0.0,0.0,0.0,5.8,804.748,p_aSW_directSW_diffuseLW_in,289.664,,,,2.5,0.836,0,5.943
29,2020-01-03 23:15:00,0.0,0.8,91.7,0.0,0.0,0.0,0.0,5.9,804.685,p_aSW_directSW_diffuseLW_in,285.496,,,,2.5,0.835,0,5.943
30,2020-01-03 23:30:00,0.0,0.8,91.7,0.75,0.0,0.0,0.0,5.9,804.622,p_aSW_directSW_diffuseLW_in,281.328,,,,2.5,0.835,0,5.96
31,2020-01-03 23:45:00,0.0,0.8,92.3,0.5,0.0,0.0,0.0,6.0,804.56,p_aSW_directSW_diffuseLW_in,277.16,,,,2.5,0.834,0,5.967
32,2020-01-04 00:00:00,0.0,0.85,92.0,0.5,0.0,0.0,0.0,6.0,804.497,p_aSW_directSW_diffuseLW_in,272.992,,,,2.5,0.834,0,5.97
33,2020-01-04 00:15:00,0.0,0.9,93.0,0.5,0.0,0.0,0.0,6.1,804.47,p_aSW_directSW_diffuseLW_in,271.266,,,,2.5,0.833,0,5.963
34,2020-01-04 00:30:00,0.0,1.05,92.65,0.0,0.0,0.0,0.0,6.1,804.443,p_aSW_directSW_diffuseLW_in,269.54,,,,2.5,0.833,0,5.983
35,2020-01-04 00:45:00,0.0,1.1,92.3,0.0,0.0,0.0,0.0,6.1,804.416,p_aSW_directSW_diffuseLW_in,267.814,,,,2.5,0.832,0,5.977
36,2020-01-04 01:00:00,0.0,1.1,92.3,0.0,0.0,0.0,0.0,6.1,804.389,p_aSW_directSW_diffuseLW_in,266.088,,,,2.5,0.832,0,5.99
37,2020-01-04 01:15:00,0.0,1.1,93.0,0.0,0.0,0.0,0.0,6.2,804.431,p_aSW_directSW_diffuseLW_in,264.958,,,,2.5,0.831,0,5.977
38,2020-01-04 01:30:00,0.0,1.1,93.0,0.0,0.0,0.0,0.0,6.2,804.474,p_aSW_directSW_diffuseLW_in,263.828,,,,2.5,0.831,0,5.973
39,2020-01-04 01:45:00,0.0,1.1,93.0,0.0,0.0,0.0,0.0,6.2,804.516,p_aSW_directSW_diffuseLW_in,262.699,,,,2.5,0.83,0,5.983
40,2020-01-04 02:00:00,0.0,1.2,93.7,0.0,0.0,0.0,0.0,6.2,804.558,p_aSW_directSW_diffuseLW_in,261.569,,,,2.5,0.83,0,5.987
41,2020-01-04 02:15:00,0.0,1.2,93.7,0.0,0.0,0.0,0.0,6.2,804.606,p_aSW_directSW_diffuseLW_in,263.558,,,,2.5,0.829,0,5.983
42,2020-01-04 02:30:00,0.0,1.2,94.05,0.0,0.0,0.0,0.0,6.25,804.654,p_aSW_directSW_diffuseLW_in,265.548,,,,2.5,0.829,0,5.983
43,2020-01-04 02:45:00,0.0,1.2,94.4,0.0,0.0,0.0,0.0,6.3,804.701,p_aSW_directSW_diffuseLW_in,267.538,,,,2.5,0.828,0,5.99
44,2020-01-04 03:00:00,0.0,1.25,94.05,0.5,0.0,0.0,0.0,6.3,804.749,p_aSW_directSW_diffuseLW_in,269.527,,,,2.5,0.828,0,5.993
45,2020-01-04 03:15:00,0.0,1.4,94.4,1.0,0.0,0.0,0.0,6.4,804.632,p_aSW_directSW_diffuseLW_in,272.967,,,,2.5,0.827,0,6.0
46,2020-01-04 03:30:00,0.0,1.4,94.4,0.5,0.0,0.0,0.0,6.4,804.514,p_aSW_directSW_diffuseLW_in,276.406,,,,2.5,0.827,0,6.01
47,2020-01-04 03:45:00,0.0,1.4,94.4,0.5,0.0,0.0,0.0,6.4,804.397,p_aSW_directSW_diffuseLW_in,279.846,,,,2.5,0.826,0,5.997
48,2020-01-04 04:00:00,0.0,1.4,94.75,0.25,0.0,0.0,0.0,6.4,804.28,p_aSW_directSW_diffuseLW_in,283.286,,,,2.5,0.826,0,6.007
49,2020-01-04 04:15:00,0.0,1.4,94.4,0.0,0.0,0.0,0.0,6.4,804.263,p_aSW_directSW_diffuseLW_in,282.773,,,,2.5,0.825,0,5.987
50,2020-01-04 04:30:00,0.0,1.4,94.05,0.5,0.0,0.0,0.0,6.35,804.246,p_aSW_directSW_diffuseLW_in,282.26,,,,2.5,0.825,0,6.007
51,2020-01-04 04:45:00,0.0,1.4,93.7,0.5,0.0,0.0,0.0,6.3,804.229,p_aSW_directSW_diffuseLW_in,281.747,,,,2.5,0.824,0,6.013
52,2020-01-04 05:00:00,0.0,1.45,95.1,0.75,0.0,0.0,0.0,6.45,804.212,p_aSW_directSW_diffuseLW_in,281.234,,,,2.5,0.824,0,5.99
53,2020-01-04 05:15:00,0.0,1.5,95.1,0.5,0.0,0.0,0.0,6.5,804.248,p_aSW_directSW_diffuseLW_in,282.122,,,,2.5,0.823,0,5.98
54,2020-01-04 05:30:00,0.0,1.5,95.1,0.25,0.0,0.0,0.0,6.5,804.283,p_aSW_directSW_diffuseLW_in,283.01,,,,2.5,0.823,0,5.977
55,2020-01-04 05:45:00,0.0,1.4,95.1,1.0,0.0,0.0,0.0,6.4,804.319,p_aSW_directSW_diffuseLW_in,283.898,,,,2.5,0.822,0,5.987
56,2020-01-04 06:00:00,0.0,1.5,95.1,0.25,0.0,0.0,0.0,6.5,804.354,p_aSW_directSW_diffuseLW_in,284.786,,,,2.5,0.822,0,6.007
57,2020-01-04 06:15:00,0.0,1.5,95.1,0.5,0.0,0.0,0.0,6.5,804.483,p_aSW_directSW_diffuseLW_in,283.272,,,,2.5,0.821,0,6.02
58,2020-01-04 06:30:00,0.0,1.5,95.1,0.0,0.0,0.0,0.0,6.5,804.611,p_aSW_directSW_diffuseLW_in,281.758,,,,2.5,0.821,0,6.0
59,2020-01-04 06:45:00,0.0,1.6,94.4,1.0,0.0,0.0,0.0,6.5,804.74,p_aSW_directSW_diffuseLW_in,280.244,,,,2.5,0.82,0,5.99
60,2020-01-04 07:00:00,0.0,1.55,94.75,0.25,0.0,0.0,0.0,6.5,804.868,p_aSW_directSW_diffuseLW_in,278.73,,,,2.5,0.82,0,5.973
61,2020-01-04 07:15:00,0.0,1.5,95.1,0.0,0.444,1.914,0.0,6.5,804.939,p_aSW_directSW_diffuseLW_in,280.27,,,,2.5,0.819,0,6.033
62,2020-01-04 07:30:00,0.032,1.6,94.4,0.25,0.889,3.828,0.0,6.5,805.01,p_aSW_directSW_diffuseLW_in,281.811,,,,2.5,0.819,0,6.007
63,2020-01-04 07:45:00,0.067,1.6,94.4,0.0,1.334,5.743,0.0,6.5,805.08,p_aSW_directSW_diffuseLW_in,283.352,,,,2.5,0.818,0,6.013
64,2020-01-04 08:00:00,0.101,1.7,95.1,0.25,1.778,7.657,0.0,6.6,805.151,p_aSW_directSW_diffuseLW_in,284.892,,,,2.5,0.818,0,6.023
65,2020-01-04 08:15:00,0.133,1.8,95.1,0.5,3.32,17.563,0.0,6.6,805.194,p_aSW_directSW_diffuseLW_in,284.821,,,,2.5,0.817,0,6.007
66,2020-01-04 08:30:00,0.164,1.8,94.75,0.5,4.861,27.469,0.0,6.6,805.236,p_aSW_directSW_diffuseLW_in,284.75,,,,2.5,0.817,0,6.017
67,2020-01-04 08:45:00,0.193,1.8,95.1,0.5,6.403,37.374,0.0,6.6,805.279,p_aSW_directSW_diffuseLW_in,284.68,,,,2.5,0.816,0,5.993
