,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing_type,LW_in,DroneV,dia,h_s,cam_temp,h_f,a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt
0,2020-01-03 16:15:00,0.0,0.4,82.0,1.0,7.724,11.286,0.0,5.2,803.835,-p_aSW_directSW_diffuseLW_in,208.19,,,,,2.5,0.85,0,1.986,0,0,1,-78.055,12.356,-91.685,1.273,0,0,0,0,0,0
1,2020-01-03 16:30:00,0.0,0.35,82.65,1.0,5.149,7.524,0.0,5.2,803.914,-p_aSW_directSW_diffuseLW_in,206.921,,,,,2.5,0.849,0,2.127,0,0,1,-83.602,8.237,-92.954,1.114,0,0,0,0,0,0
2,2020-01-03 16:45:00,0.0,0.1,83.2,2.1,2.575,3.762,0.0,5.1,803.994,-p_aSW_directSW_diffuseLW_in,205.652,,,,,2.5,0.849,0,2.276,0,0,1,-89.435,4.119,-94.223,0.668,0,0,0,0,0,0
3,2020-01-03 17:00:00,0.0,0.1,82.6,1.25,0.0,0.0,0.0,5.1,804.074,-p_aSW_directSW_diffuseLW_in,204.382,,,,-2.687,2.5,0.848,0,2.42,0,0,1,-95.095,0.0,-95.493,0.398,0,0,0,0,0,0
4,2020-01-03 17:15:00,0.0,0.0,83.2,1.5,0.0,0.0,0.0,5.1,804.082,-p_aSW_directSW_diffuseLW_in,208.07,,,,,2.5,0.848,0,2.336,0,0,1,-91.805,0.0,-91.805,0.0,0,0,0,0,0,0
5,2020-01-03 17:30:00,0.0,-0.05,82.0,1.0,0.0,0.0,0.0,5.0,804.091,-p_aSW_directSW_diffuseLW_in,211.758,,,,,2.5,0.847,0,2.246,0,0,1,-88.276,0.0,-88.117,-0.159,0,0,0,0,0,0
6,2020-01-03 17:45:00,0.0,-0.2,83.2,2.1,0.0,0.0,0.0,5.0,804.099,-p_aSW_directSW_diffuseLW_in,215.447,,,,,2.5,0.847,0,2.182,0,0,1,-85.764,0.0,-84.428,-1.337,0,0,0,0,0,0
7,2020-01-03 18:00:00,0.0,-0.05,81.4,1.8,0.0,0.0,0.0,4.95,804.108,-p_aSW_directSW_diffuseLW_in,219.135,,,,-4.195,2.5,0.846,0,2.062,0,0,1,-81.026,0.0,-80.74,-0.286,0,0,0,0,0,0
8,2020-01-03 18:15:00,0.0,0.1,80.2,1.0,0.0,0.0,0.0,4.9,804.204,-p_aSW_directSW_diffuseLW_in,218.544,,,,,2.5,0.846,0,2.062,0,0,1,-81.012,0.0,-81.331,0.318,0,0,0,0,0,0
9,2020-01-03 18:30:00,0.0,0.2,79.0,1.3,0.0,0.0,0.0,4.9,804.3,-p_aSW_directSW_diffuseLW_in,217.952,,,,,2.5,0.845,0,2.064,0,0,1,-81.095,0.0,-81.923,0.828,0,0,0,0,0,0
10,2020-01-03 18:45:00,0.0,0.3,80.2,1.5,0.0,0.0,0.0,5.0,804.396,-p_aSW_directSW_diffuseLW_in,217.361,,,,,2.5,0.845,0,2.063,0,0,1,-81.081,0.0,-82.514,1.433,0,0,0,0,0,0
11,2020-01-03 19:00:00,0.0,0.5,79.95,1.25,0.0,0.0,0.0,5.05,804.492,-p_aSW_directSW_diffuseLW_in,216.77,,,,-3.474,2.5,0.844,0,2.064,0,0,1,-81.114,0.0,-83.105,1.99,0,0,0,0,0,0
