,DX,Max_IceV,Duration,Min_T_s,Min_T_bulk
0,2.0,91.141,93.333,-82.302,-6.443
1,2.5,99.916,93.333,-65.813,-5.296
2,3.0,106.962,93.333,-54.829,-4.755
3,3.5,112.959,93.333,-46.986,-4.462
4,4.0,118.4,93.333,-41.106,-4.317
5,4.5,123.81,93.333,-36.534,-4.213
6,5.0,128.873,93.333,-32.877,-4.13
7,5.5,133.9,93.333,-30.195,-4.058
8,6.0,137.144,93.333,-30.021,-4.012
9,6.5,140.532,93.333,-29.858,-4.196
10,7.0,143.964,93.333,-29.696,-4.273
11,7.5,145.821,93.333,-29.542,-4.319
12,8.0,147.041,93.333,-32.411,-4.602
13,8.5,150.757,93.333,-36.472,-4.825
14,9.0,153.883,93.333,-30.164,-4.678
15,9.5,157.326,93.333,-36.018,-4.847
