       DX    Max_IceV   Duration
0   0.001   43.809538  54.531250
1   0.002   56.449891  93.333333
2   0.003   68.369671  93.333333
3   0.004   75.888406  93.333333
4   0.005   81.324586  93.333333
5   0.006   84.974653  93.333333
6   0.007   87.924347  93.333333
7   0.008   90.413526  93.333333
8   0.009   92.458699  93.333333
9   0.010   94.300713  93.333333
10  0.011   95.624649  93.333333
11  0.012   96.787294  93.333333
12  0.013   97.644736  93.333333
13  0.014   98.515673  93.333333
14  0.015   99.280896  93.333333
15  0.016   99.971285  93.333333
16  0.017  100.587968  93.333333
17  0.018  101.224947  93.333333
18  0.019  101.890609  93.333333
19  0.020  102.363261  93.333333
20  0.021  102.882222  93.333333
21  0.022  103.329154  93.333333
22  0.023  103.747467  93.333333
23  0.024  104.138509  93.333333
24  0.025  104.480731  93.333333
25  0.026  100.594294  93.333333
26  0.027  100.645789  93.333333
27  0.028  100.012072  93.333333
28  0.029  100.646319  93.333333
29  0.030  100.541470  93.333333
30  0.031  100.320008  93.333333
31  0.032  101.006619  93.333333
32  0.033  100.949723  93.333333
33  0.034  101.042519  93.333333
34  0.035  101.080387  93.333333
35  0.036  100.999524  93.333333
36  0.037  101.584449  93.333333
37  0.038  101.600030  93.333333
38  0.039  101.758555  93.333333
