,Experiment,rmse_V,corr_V,rmse_T,corr_T
0,"{'DX': 0.002, 'TIME_STEP': 900}",18.249,0.98,6.29,0.337
1,"{'DX': 0.002, 'TIME_STEP': 960}",19.874,0.978,4.936,0.259
2,"{'DX': 0.002, 'TIME_STEP': 1020}",21.48,0.974,5.447,0.262
3,"{'DX': 0.003, 'TIME_STEP': 900}",12.024,0.956,4.268,0.369
4,"{'DX': 0.003, 'TIME_STEP': 960}",12.41,0.964,3.592,0.283
5,"{'DX': 0.003, 'TIME_STEP': 1020}",13.24,0.969,3.798,0.304
6,"{'DX': 0.004, 'TIME_STEP': 900}",15.905,0.913,3.318,0.396
7,"{'DX': 0.004, 'TIME_STEP': 960}",14.175,0.925,2.924,0.316
8,"{'DX': 0.004, 'TIME_STEP': 1020}",12.92,0.935,3.084,0.326
9,"{'DX': 0.005, 'TIME_STEP': 900}",22.678,0.877,2.837,0.401
10,"{'DX': 0.005, 'TIME_STEP': 960}",20.143,0.89,2.613,0.322
11,"{'DX': 0.005, 'TIME_STEP': 1020}",17.961,0.901,2.712,0.335
12,"{'DX': 0.006, 'TIME_STEP': 900}",29.955,0.846,2.55,0.407
13,"{'DX': 0.006, 'TIME_STEP': 960}",26.843,0.858,2.415,0.338
14,"{'DX': 0.006, 'TIME_STEP': 1020}",24.017,0.871,2.49,0.346
15,"{'DX': 0.007, 'TIME_STEP': 900}",23.91,,1.81,0.129
16,"{'DX': 0.007, 'TIME_STEP': 960}",23.91,,1.81,0.129
17,"{'DX': 0.007, 'TIME_STEP': 1020}",30.439,0.845,2.365,0.359
18,"{'DX': 0.008, 'TIME_STEP': 900}",23.91,,1.817,0.126
19,"{'DX': 0.008, 'TIME_STEP': 960}",23.91,,1.817,0.125
20,"{'DX': 0.008, 'TIME_STEP': 1020}",23.91,,1.818,0.127
21,"{'DX': 0.009000000000000001, 'TIME_STEP': 900}",23.91,,1.841,0.119
22,"{'DX': 0.009000000000000001, 'TIME_STEP': 960}",23.91,,1.828,0.122
23,"{'DX': 0.009000000000000001, 'TIME_STEP': 1020}",23.91,,1.824,0.125
