When,cam_temp
2020-11-13 15:00:00,-0.082
2020-11-13 16:00:00,-1.797
2020-11-13 17:00:00,-3.724
2020-11-13 18:00:00,-3.719
2020-11-13 19:00:00,-4.043
2020-11-13 20:00:00,-3.071
2020-11-13 21:00:00,-2.65
2020-11-13 22:00:00,-3.674
2020-11-13 23:00:00,-3.295
2020-11-14 00:00:00,-3.364
2020-11-14 01:00:00,-2.659
2020-11-14 02:00:00,-4.146
2020-11-14 03:00:00,-4.167
2020-11-14 04:00:00,-3.309
2020-11-14 05:00:00,-3.735
2020-11-14 06:00:00,-3.034
2020-11-14 07:00:00,-2.982
2020-11-14 08:00:00,-2.622
2020-11-14 09:00:00,-2.035
2020-11-14 10:00:00,5.256
2020-11-14 11:00:00,12.451
2020-11-14 12:00:00,6.914
2020-11-14 13:00:00,1.176
2020-11-14 14:00:00,0.318
2020-11-14 15:00:00,-1.419
2020-11-14 16:00:00,-2.227
2020-11-14 17:00:00,-4.037
2020-11-14 18:00:00,-3.949
2020-11-14 19:00:00,-3.973
2020-11-14 20:00:00,-4.198
2020-11-14 21:00:00,-5.06
2020-11-14 22:00:00,-4.982
2020-11-14 23:00:00,-5.124
2020-11-15 00:00:00,-6.383
2020-11-15 01:00:00,-4.851
2020-11-15 02:00:00,-6.154
2020-11-15 03:00:00,-6.521
2020-11-15 04:00:00,-4.466
2020-11-15 05:00:00,-4.78
2020-11-15 06:00:00,-4.536
2020-11-15 07:00:00,-4.316
2020-11-15 08:00:00,-3.465
2020-11-15 09:00:00,-1.169
2020-11-15 10:00:00,5.013
2020-11-15 11:00:00,9.911
2020-11-15 12:00:00,5.657
2020-11-15 13:00:00,3.223
2020-11-15 14:00:00,3.945
2020-11-15 15:00:00,0.453
2020-11-15 16:00:00,-0.504
2020-11-15 17:00:00,3.617
2020-11-15 18:00:00,5.697
2020-11-15 19:00:00,6.55
2020-11-15 20:00:00,6.011
2020-11-15 21:00:00,5.704
2020-11-15 22:00:00,6.767
2020-11-15 23:00:00,6.766
2020-11-16 00:00:00,5.775
2020-11-16 01:00:00,3.575
2020-11-16 02:00:00,3.038
2020-11-16 03:00:00,3.428
2020-11-16 04:00:00,2.498
2020-11-16 05:00:00,2.498
2020-11-16 06:00:00,3.004
2020-11-16 07:00:00,1.274
2020-11-16 08:00:00,1.827
2020-11-16 09:00:00,5.44
2020-11-16 10:00:00,2.957
2020-11-16 11:00:00,6.158
2020-11-16 12:00:00,5.519
2020-11-16 13:00:00,5.2
2020-11-16 14:00:00,3.853
2020-11-16 15:00:00,5.788
2020-11-16 16:00:00,3.866
2020-11-16 17:00:00,0.107
2020-11-16 18:00:00,-1.206
2020-11-16 19:00:00,-1.731
2020-11-16 20:00:00,-0.52
2020-11-16 21:00:00,1.116
2020-11-16 22:00:00,0.891
