,When,v_a,T_a,RH,p_a
0,2020-12-20 10:45:00,0.45,5.05,56.35,900.2
1,2020-12-20 11:00:00,0.5,4.6,59.967,900.033
2,2020-12-20 11:15:00,0.733,3.567,64.0,900.0
3,2020-12-20 11:30:00,0.633,3.867,63.267,900.0
4,2020-12-20 11:45:00,0.633,4.533,60.767,899.9
5,2020-12-20 12:00:00,0.733,4.867,57.967,899.933
6,2020-12-20 12:15:00,0.7,4.933,57.467,900.167
7,2020-12-20 12:30:00,0.4,4.967,57.933,900.2
8,2020-12-20 12:45:00,0.467,4.633,61.1,900.3
9,2020-12-20 13:00:00,0.333,4.4,61.6,900.367
10,2020-12-20 13:15:00,0.3,4.2,63.533,900.367
11,2020-12-20 13:30:00,0.367,3.867,66.433,900.3
12,2020-12-20 13:45:00,0.533,3.767,66.267,900.433
13,2020-12-20 14:00:00,0.333,3.533,68.867,900.5
14,2020-12-20 14:15:00,0.467,3.5,68.8,900.533
15,2020-12-20 14:30:00,0.5,2.9,70.5,900.567
16,2020-12-20 14:45:00,0.4,2.7,71.467,900.567
17,2020-12-20 15:00:00,0.433,2.4,72.433,900.633
18,2020-12-20 15:15:00,0.333,2.033,73.833,900.667
19,2020-12-20 15:30:00,0.433,2.1,75.167,900.667
20,2020-12-20 15:45:00,0.5,1.667,74.7,900.567
21,2020-12-20 16:00:00,0.3,1.467,78.167,900.733
22,2020-12-20 16:15:00,0.367,1.2,75.733,900.933
23,2020-12-20 16:30:00,0.233,0.9,77.967,901.0
24,2020-12-20 16:45:00,0.333,0.5,78.167,901.133
25,2020-12-20 17:00:00,0.433,0.4,80.0,901.3
26,2020-12-20 17:15:00,0.333,0.0,79.333,901.5
27,2020-12-20 17:30:00,0.267,-0.067,81.933,901.667
28,2020-12-20 17:45:00,0.3,-0.133,80.467,901.8
29,2020-12-20 18:00:00,0.267,-0.4,79.5,901.767
30,2020-12-20 18:15:00,0.5,-0.033,81.533,901.6
31,2020-12-20 18:30:00,0.6,0.6,76.467,901.567
