,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing,LW_in,DroneV,dia,h_s,cam_temp,a,cld,Discharge
0,2020-11-22 00:00:00,0.0,-0.65,90.2,2.1,0.0,0.0,0.0,5.25,806.422,0,217.021,,,,-6.639,0.35,0,12.33
1,2020-11-22 00:15:00,0.0,-0.6,89.6,1.5,0.0,0.0,0.0,5.2,806.318,0,217.284,,,,,0.35,0,12.33
2,2020-11-22 00:30:00,0.0,-0.6,89.6,2.1,0.0,0.0,0.0,5.2,806.214,0,217.548,,,,,0.35,0,12.33
3,2020-11-22 00:45:00,0.0,-0.6,90.2,2.1,0.0,0.0,0.0,5.3,806.111,0,217.811,,,,,0.35,0,12.33
4,2020-11-22 01:00:00,0.0,-0.45,89.25,2.1,0.0,0.0,0.0,5.25,806.007,0,218.074,,,,-6.221,0.35,0,12.33
5,2020-11-22 01:15:00,0.0,-0.3,88.9,2.1,0.0,0.0,0.0,5.3,806.028,0,218.236,,,,,0.35,0,12.33
6,2020-11-22 01:30:00,0.0,-0.3,88.9,1.8,0.0,0.0,0.0,5.3,806.049,0,218.399,,,,,0.35,0,12.33
7,2020-11-22 01:45:00,0.0,-0.3,87.6,1.5,0.0,0.0,0.0,5.2,806.07,0,218.562,,,,,0.35,0,12.33
8,2020-11-22 02:00:00,0.0,-0.45,88.9,2.1,0.0,0.0,0.0,5.25,806.091,0,218.724,,,,-5.757,0.35,0,12.33
9,2020-11-22 02:15:00,0.0,-0.5,90.2,1.5,0.0,0.0,0.0,5.3,806.056,0,218.972,,,,,0.35,0,12.33
10,2020-11-22 02:30:00,0.0,-0.5,90.2,1.55,0.0,0.0,0.0,5.3,806.021,0,219.221,,,,,0.35,0,12.33
11,2020-11-22 02:45:00,0.0,-0.6,89.6,0.0,0.0,0.0,0.0,5.2,805.986,0,219.469,,,,,0.35,0,12.33
12,2020-11-22 03:00:00,0.0,-0.7,88.9,0.75,0.0,0.0,0.0,5.2,805.951,0,219.718,,,,-5.796,0.35,0,12.33
13,2020-11-22 03:15:00,0.0,-0.9,88.9,0.0,0.0,0.0,0.0,5.1,805.963,0,219.764,,,,,0.35,0,12.33
14,2020-11-22 03:30:00,0.0,-1.1,89.85,1.25,0.0,0.0,0.0,5.05,805.975,0,219.809,,,,,0.35,0,12.33
15,2020-11-22 03:45:00,0.0,-1.2,90.2,1.5,0.0,0.0,0.0,5.0,805.987,0,219.854,,,,,0.35,0,12.33
16,2020-11-22 04:00:00,0.0,-1.15,91.5,1.5,0.0,0.0,0.0,5.15,805.999,0,219.9,,,,-5.655,0.35,0,12.33
17,2020-11-22 04:15:00,0.0,-0.9,91.5,2.1,0.0,0.0,0.0,5.2,806.071,0,219.779,,,,,0.35,0,12.33
18,2020-11-22 04:30:00,0.0,-0.85,91.55,1.8,0.0,0.0,0.0,5.25,806.144,0,219.658,,,,,0.35,0,12.33
19,2020-11-22 04:45:00,0.0,-0.6,92.2,2.1,0.0,0.0,0.0,5.4,806.216,0,219.537,,,,,0.35,0,12.33
20,2020-11-22 05:00:00,0.0,-0.45,92.25,2.1,0.0,0.0,0.0,5.45,806.288,0,219.416,,,,-6.458,0.35,0,12.33
21,2020-11-22 05:15:00,0.0,-0.2,90.9,2.1,0.0,0.0,0.0,5.5,806.322,0,220.022,,,,,0.35,0,12.33
22,2020-11-22 05:30:00,0.0,-0.1,91.25,2.1,0.0,0.0,0.0,5.55,806.356,0,220.629,,,,,0.35,0,12.33
23,2020-11-22 05:45:00,0.0,0.1,90.9,2.6,0.0,0.0,0.0,5.6,806.391,0,221.236,,,,,0.35,0,0.0
24,2020-11-22 06:00:00,0.0,0.15,90.25,1.8,0.0,0.0,0.0,5.6,806.425,0,221.842,,,,-6.347,0.35,0,0.0
25,2020-11-22 06:15:00,0.0,0.3,89.6,2.1,0.168,0.439,0.0,5.6,806.454,0,219.777,,,,,0.35,0,0.0
26,2020-11-22 06:30:00,0.0,0.45,89.3,2.1,0.336,0.878,0.0,5.6,806.482,0,217.712,,,,,0.35,0,0.0
