,DX,Max_IceV,Duration,Min_T_s
0,2.0,62.346,141.542,-268.173
1,3.0,80.323,155.385,-59.878
2,4.0,94.219,155.385,-44.749
3,5.0,104.565,155.385,-35.746
4,6.0,113.51,155.385,-29.764
5,7.0,121.623,155.385,-27.568
6,8.0,129.39,155.385,-27.346
7,9.0,136.704,155.385,-27.038
8,10.0,143.494,155.385,-26.676
9,11.0,150.375,155.385,-26.286
10,12.0,156.976,155.385,-25.882
11,13.0,163.414,155.385,-25.475
12,14.0,169.694,155.385,-25.074
13,15.0,175.969,155.385,-24.683
14,16.0,182.033,155.385,-24.304
15,17.0,188.299,155.385,-23.939
16,18.0,194.07,155.385,-23.588
17,19.0,199.993,155.385,-23.251
18,20.0,205.969,155.385,-22.929
19,21.0,211.906,155.385,-22.619
20,22.0,217.684,155.385,-22.322
21,23.0,223.451,155.385,-22.036
22,24.0,229.184,155.385,-21.762
23,25.0,235.088,155.385,-21.499
24,26.0,241.083,155.385,-27.925
25,27.0,243.701,155.385,-37.635
26,28.0,249.445,155.385,-26.893
27,29.0,254.066,155.385,-35.299
