,DX,TIME_STEP,rmse_V,corr_V,rmse_T,corr_T,Max_IceV,Duration
0,3.0,15.0,33.01,0.84,5.44,0.48,89.18,155.38
1,3.0,30.0,0.64,1.0,6.7,0.35,28.12,35.27
2,3.0,45.0,0.08,1.0,15.75,0.42,27.03,35.12
3,3.0,60.0,0.69,1.0,29.86,0.29,26.02,24.21
4,4.0,15.0,15.7,0.93,3.94,0.45,116.31,155.38
5,4.0,30.0,58.56,-0.18,5.48,0.41,44.54,135.48
6,4.0,45.0,0.42,1.0,11.94,0.39,27.81,35.25
7,4.0,60.0,0.08,1.0,15.74,0.36,27.01,35.12
8,5.0,15.0,14.28,0.91,3.4,0.5,140.1,155.38
9,5.0,30.0,48.55,0.46,4.1,0.28,61.63,155.38
10,5.0,45.0,0.73,1.0,10.43,0.4,28.29,35.38
11,5.0,60.0,0.31,1.0,12.56,0.39,27.62,35.21
12,6.0,15.0,26.56,0.88,3.13,0.51,162.55,155.38
13,6.0,30.0,38.29,0.77,4.33,0.42,77.42,155.38
14,6.0,45.0,59.58,-0.28,7.65,0.41,40.5,134.88
15,6.0,60.0,0.56,1.0,11.68,0.39,27.98,35.29
16,7.0,15.0,40.44,0.86,2.96,0.52,184.42,155.38
17,7.0,30.0,29.03,0.9,3.19,0.45,90.91,155.38
18,7.0,45.0,54.68,0.14,6.35,0.43,52.3,145.5
19,7.0,60.0,23.49,-0.52,13.67,0.38,28.38,39.38
20,8.0,15.0,54.54,0.85,2.8,0.55,206.24,155.38
21,8.0,30.0,20.92,0.94,3.03,0.47,103.38,155.38
22,8.0,45.0,46.74,0.53,5.34,0.43,62.89,155.38
23,8.0,60.0,59.82,-0.3,7.56,0.4,39.88,134.71
24,9.0,15.0,11.74,1.0,2.61,0.49,194.55,77.74
25,9.0,30.0,14.45,0.94,2.93,0.47,114.9,155.38
26,9.0,45.0,40.25,0.73,4.69,0.43,72.87,155.38
27,9.0,60.0,55.04,0.07,6.51,0.4,48.71,141.38
28,10.0,15.0,16.37,1.0,2.54,0.49,211.44,77.7
29,10.0,30.0,11.19,0.93,2.88,0.48,126.15,155.38
30,10.0,45.0,34.11,0.84,4.21,0.45,81.9,155.38
31,10.0,60.0,50.21,0.38,5.66,0.41,56.63,155.38
32,11.0,15.0,21.03,1.0,2.51,0.49,228.68,77.68
33,11.0,30.0,13.02,0.92,2.84,0.48,137.19,155.38
34,11.0,45.0,28.4,0.91,3.84,0.45,90.43,155.38
35,11.0,60.0,45.54,0.57,5.06,0.42,64.05,155.38
36,12.0,15.0,25.77,1.0,2.48,0.48,246.55,77.66
37,12.0,30.0,18.04,0.91,2.78,0.51,148.0,155.38
38,12.0,45.0,23.07,0.94,3.61,0.46,98.64,155.38
39,12.0,60.0,40.87,0.71,4.58,0.44,71.25,155.38
40,13.0,15.0,30.57,1.0,2.47,0.38,153.27,49.42
41,13.0,30.0,24.27,0.9,2.77,0.51,158.9,155.38
42,13.0,45.0,18.32,0.95,3.4,0.48,106.44,155.38
43,13.0,60.0,36.37,0.81,4.23,0.45,78.1,155.38
44,14.0,15.0,20.73,1.0,2.42,0.38,135.7,47.53
45,14.0,30.0,30.66,0.89,2.79,0.51,169.37,155.38
46,14.0,45.0,14.18,0.95,3.25,0.47,114.31,155.38
47,14.0,60.0,31.99,0.88,3.98,0.47,84.63,155.38
48,15.0,15.0,23.0,1.0,2.42,0.35,140.78,47.32
49,15.0,30.0,37.41,0.88,2.73,0.53,180.08,155.38
50,15.0,45.0,11.52,0.94,3.17,0.48,121.62,155.38
51,15.0,60.0,27.85,0.91,3.74,0.48,90.9,155.38
52,16.0,15.0,25.31,1.0,2.25,0.47,87.7,38.62
53,16.0,30.0,44.28,0.87,2.72,0.53,190.75,155.38
54,16.0,45.0,10.86,0.93,3.09,0.48,128.85,155.38
55,16.0,60.0,23.86,0.94,3.59,0.48,96.92,155.38
56,17.0,15.0,13.64,1.0,2.18,0.48,69.42,33.62
57,17.0,30.0,51.09,0.86,2.69,0.57,201.41,155.38
58,17.0,45.0,12.38,0.93,3.02,0.49,135.99,155.38
59,17.0,60.0,20.36,0.95,3.45,0.48,102.53,155.38
60,18.0,15.0,14.46,1.0,2.18,0.48,71.47,33.5
61,18.0,30.0,57.91,0.85,2.67,0.57,212.02,155.38
62,18.0,45.0,15.33,0.92,2.96,0.5,143.12,155.38
63,18.0,60.0,17.05,0.95,3.32,0.49,108.13,155.38
64,19.0,15.0,15.28,1.0,2.17,0.48,73.57,33.49
65,19.0,30.0,65.73,0.84,2.68,0.56,224.09,155.38
66,19.0,45.0,19.09,0.91,2.91,0.5,150.3,155.38
67,19.0,60.0,14.19,0.95,3.21,0.5,113.68,155.38
68,20.0,15.0,16.1,1.0,2.17,0.48,75.66,33.48
69,20.0,30.0,13.92,1.0,2.49,0.54,196.98,77.83
70,20.0,45.0,23.23,0.9,2.87,0.51,157.47,155.38
71,20.0,60.0,11.96,0.95,3.13,0.51,119.15,155.38
72,21.0,15.0,16.91,1.0,2.17,0.48,77.72,33.48
73,21.0,30.0,16.17,1.0,2.47,0.53,205.33,77.77
74,21.0,45.0,27.13,0.9,2.8,0.52,163.89,155.38
75,21.0,60.0,10.69,0.94,3.07,0.51,124.69,155.38
76,22.0,15.0,17.73,1.0,2.17,0.48,79.8,33.47
77,22.0,30.0,18.42,1.0,2.46,0.53,213.79,77.75
78,22.0,45.0,31.49,0.89,2.78,0.52,170.93,155.38
79,22.0,60.0,10.73,0.94,3.0,0.52,130.45,155.38
80,23.0,15.0,18.55,1.0,2.16,0.48,81.88,33.47
81,23.0,30.0,20.7,1.0,2.45,0.53,222.37,77.75
82,23.0,45.0,36.01,0.88,2.75,0.52,177.99,155.38
83,23.0,60.0,12.03,0.93,2.99,0.53,135.59,155.38
84,24.0,15.0,19.37,1.0,2.16,0.48,83.96,33.47
85,24.0,30.0,23.0,1.0,2.44,0.52,231.13,77.73
86,24.0,45.0,40.55,0.88,2.73,0.52,185.04,155.38
87,24.0,60.0,14.06,0.92,2.95,0.52,140.61,155.38
88,25.0,15.0,20.19,1.0,2.15,0.48,86.04,33.47
89,25.0,30.0,25.3,1.0,2.44,0.52,240.04,77.73
90,25.0,45.0,45.08,0.87,2.71,0.53,192.11,155.38
91,25.0,60.0,16.52,0.92,2.92,0.52,145.59,155.38
92,26.0,15.0,21.02,1.0,2.15,0.48,88.15,33.46
93,26.0,30.0,27.61,1.0,2.45,0.51,249.3,77.73
94,26.0,45.0,49.58,0.86,2.7,0.53,199.2,155.38
95,26.0,60.0,19.36,0.91,2.89,0.52,150.88,155.38
96,27.0,15.0,21.82,1.0,2.15,0.48,90.22,33.46
97,27.0,30.0,29.87,1.0,2.26,0.47,156.19,49.58
98,27.0,45.0,54.15,0.86,2.68,0.53,206.27,155.38
99,27.0,60.0,22.46,0.91,2.85,0.53,156.23,155.38
100,28.0,15.0,22.65,1.0,2.14,0.49,92.3,33.46
