 

stn;time;nto000d0
MER;20200101;33
MER;20200102;100
MER;20200103;50
MER;20200104;92
MER;20200105;25
MER;20200106;0
MER;20200107;54
MER;20200108;17
MER;20200109;25
MER;20200110;54
MER;20200111;25
MER;20200112;8
MER;20200113;38
MER;20200114;33
MER;20200115;25
MER;20200116;0
MER;20200117;58
MER;20200118;63
MER;20200119;83
MER;20200120;13
MER;20200121;8
MER;20200122;0
MER;20200123;67
MER;20200124;33
MER;20200125;13
MER;20200126;58
MER;20200127;67
MER;20200128;96
MER;20200129;100
MER;20200130;50
MER;20200131;46
MER;20200201;75
MER;20200202;96
MER;20200203;100
MER;20200204;96
MER;20200205;54
MER;20200206;13
MER;20200207;0
MER;20200208;33
MER;20200209;46
MER;20200210;92
MER;20200211;100
MER;20200212;88
MER;20200213;92
MER;20200214;75
MER;20200215;33
MER;20200216;63
MER;20200217;67
MER;20200218;54
MER;20200219;100
MER;20200220;54
MER;20200221;50
MER;20200222;4
MER;20200223;88
MER;20200224;8
MER;20200225;96
MER;20200226;100
MER;20200227;75
MER;20200228;46
MER;20200229;79
MER;20200301;58
MER;20200302;100
MER;20200303;79
MER;20200304;58
MER;20200305;100
MER;20200306;83
MER;20200307;88
MER;20200308;38
MER;20200309;92
MER;20200310;100
MER;20200311;79
MER;20200312;50
MER;20200313;100
MER;20200314;92
MER;20200315;0
MER;20200316;0
MER;20200317;21
MER;20200318;0
MER;20200319;0
MER;20200320;58
MER;20200321;42
MER;20200322;92
MER;20200323;33
MER;20200324;0
MER;20200325;63
MER;20200326;42
MER;20200327;13
MER;20200328;50
MER;20200329;100
MER;20200330;100
MER;20200331;29
MER;20200401;4
MER;20200402;33
MER;20200403;63
MER;20200404;0
MER;20200405;0
MER;20200406;0
MER;20200407;0
MER;20200408;4
MER;20200409;46
MER;20200410;0
MER;20200411;4
MER;20200412;50
MER;20200413;50
MER;20200414;29
MER;20200415;0
MER;20200416;29
MER;20200417;46
MER;20200418;42
MER;20200419;79
MER;20200420;63
MER;20200421;92
MER;20200422;0
MER;20200423;33
MER;20200424;38
MER;20200425;92
MER;20200426;75
MER;20200427;67
MER;20200428;96
MER;20200429;71
MER;20200430;96
MER;20200501;96
MER;20200502;96
MER;20200503;79
MER;20200504;38
MER;20200505;96
MER;20200506;92
MER;20200507;4
MER;20200508;33
MER;20200509;54
MER;20200510;63
MER;20200511;92
MER;20200512;92
MER;20200513;83
MER;20200514;96
MER;20200515;100
