 

stn;time;pva200s0;tre200s0;rre150z0;ure200s0;tde200s0;fkl010z0;dkl010z0;gre000z0
MMGTT;201912010000;5.0;6.0;0.0;54.0;-2.6;8.2;110;-
MMGTT;201912010010;5.0;6.0;0.0;54.0;-2.6;8.7;110;-
MMGTT;201912010020;5.1;6.0;0.0;54.8;-2.4;7.2;110;-
MMGTT;201912010030;5.0;6.1;0.0;53.6;-2.6;7.2;110;-
MMGTT;201912010040;5.0;6.1;0.0;53.6;-2.6;8.2;110;-
MMGTT;201912010050;5.0;6.1;0.0;52.8;-2.8;8.2;110;-
MMGTT;201912010100;4.9;6.2;0.0;51.7;-3.0;8.7;140;-
MMGTT;201912010110;5.0;6.1;0.0;52.8;-2.8;8.7;140;-
MMGTT;201912010120;4.9;6.1;0.0;52.0;-3.0;8.7;110;-
MMGTT;201912010130;4.9;6.1;0.0;52.0;-3.0;8.2;110;-
MMGTT;201912010140;4.9;6.1;0.0;51.6;-3.1;8.2;110;-
MMGTT;201912010150;4.9;6.0;0.0;52.8;-2.9;8.2;110;-
MMGTT;201912010200;4.9;6.1;0.0;51.6;-3.1;7.2;110;-
MMGTT;201912010210;4.9;6.1;0.0;51.6;-3.1;7.7;110;-
MMGTT;201912010220;4.8;6.1;0.0;50.9;-3.3;5.7;110;-
MMGTT;201912010230;4.8;6.2;0.0;50.9;-3.2;6.7;110;-
MMGTT;201912010240;4.8;6.1;0.0;50.9;-3.3;6.7;110;-
MMGTT;201912010250;4.7;6.0;0.0;50.8;-3.4;8.2;110;-
MMGTT;201912010300;4.7;6.0;0.0;50.8;-3.4;8.7;110;-
MMGTT;201912010310;4.7;6.0;0.0;50.8;-3.4;8.2;110;-
MMGTT;201912010320;4.7;6.0;0.0;50.8;-3.4;8.2;110;-
MMGTT;201912010330;4.8;6.1;0.0;50.9;-3.3;9.8;110;-
MMGTT;201912010340;4.8;6.1;0.0;50.9;-3.3;8.7;110;-
MMGTT;201912010350;4.8;6.2;0.0;50.9;-3.2;9.3;110;-
MMGTT;201912010400;4.8;6.2;0.0;50.9;-3.2;9.3;140;-
MMGTT;201912010410;4.9;6.3;0.0;50.9;-3.1;8.2;110;-
MMGTT;201912010420;4.8;6.2;0.0;50.9;-3.2;9.3;110;-
MMGTT;201912010430;4.8;6.1;0.0;50.9;-3.3;9.8;110;-
MMGTT;201912010440;4.7;6.0;0.0;50.8;-3.4;11.8;110;-
MMGTT;201912010450;4.7;6.0;0.0;50.8;-3.4;10.8;110;-
MMGTT;201912010500;4.8;5.9;0.0;52.0;-3.2;11.3;110;-
MMGTT;201912010510;4.8;5.9;0.0;51.2;-3.4;10.8;140;-
MMGTT;201912010520;4.8;5.9;0.0;52.0;-3.2;9.8;110;-
MMGTT;201912010530;4.8;5.9;0.0;52.0;-3.2;10.8;140;-
MMGTT;201912010540;4.9;5.8;0.0;52.7;-3.1;11.3;140;-
MMGTT;201912010550;4.9;5.8;0.0;53.1;-3.0;9.3;140;-
MMGTT;201912010600;5.0;5.8;0.0;53.9;-2.8;10.3;140;-
MMGTT;201912010610;5.0;5.7;0.0;55.1;-2.6;10.8;140;-
MMGTT;201912010620;5.0;5.7;0.0;54.7;-2.7;10.3;140;-
MMGTT;201912010630;4.9;5.7;0.0;53.9;-2.9;10.3;140;-
MMGTT;201912010640;4.9;5.7;0.0;53.9;-2.9;12.3;140;-
MMGTT;201912010650;4.9;5.7;0.0;53.9;-2.9;11.3;140;-
MMGTT;201912010700;5.0;5.8;0.0;53.9;-2.8;9.8;140;-
MMGTT;201912010710;5.0;5.8;0.0;53.9;-2.8;10.8;140;-
MMGTT;201912010720;5.1;5.6;0.0;55.9;-2.5;12.3;140;-
MMGTT;201912010730;5.1;5.7;0.0;55.9;-2.4;11.3;140;-
MMGTT;201912010740;5.1;5.7;0.0;55.9;-2.4;12.3;140;-
