,time,temp,RH,wind,SW_global,LW_in,press
0,2021-01-01 00:00:00,-9.854,82.468,2.084,0.0,253.869,783.523
1,2021-01-01 01:00:00,-9.589,81.754,2.171,0.0,255.193,783.51
2,2021-01-01 02:00:00,-9.802,83.176,2.218,0.0,245.757,783.696
3,2021-01-01 03:00:00,-9.637,83.93,2.141,0.0,249.253,783.649
4,2021-01-01 04:00:00,-9.717,85.351,2.087,0.0,254.886,783.449
5,2021-01-01 05:00:00,-9.588,84.361,1.961,0.0,257.807,783.331
6,2021-01-01 06:00:00,-9.821,85.105,1.877,0.0,255.77,783.471
7,2021-01-01 07:00:00,-9.91,85.584,1.837,0.0,253.049,783.783
8,2021-01-01 08:00:00,-9.741,85.628,1.866,14.842,253.512,783.917
9,2021-01-01 09:00:00,-9.304,85.857,1.709,94.193,253.548,784.313
10,2021-01-01 10:00:00,-8.754,86.16,1.498,193.856,235.944,783.952
11,2021-01-01 11:00:00,-8.011,85.515,1.322,246.536,241.156,783.867
12,2021-01-01 12:00:00,-7.902,84.525,1.222,233.231,236.875,783.643
13,2021-01-01 13:00:00,-7.407,85.772,1.113,229.915,249.432,783.209
14,2021-01-01 14:00:00,-7.454,86.384,1.261,146.345,260.64,783.403
15,2021-01-01 15:00:00,-7.795,86.179,1.237,55.241,266.151,783.603
16,2021-01-01 16:00:00,-7.094,83.953,1.213,13.305,255.628,783.79
17,2021-01-01 17:00:00,-7.301,84.006,1.359,0.0,260.582,784.071
18,2021-01-01 18:00:00,-7.735,84.923,1.403,0.0,266.443,784.098
19,2021-01-01 19:00:00,-7.732,84.354,1.396,0.0,247.462,784.309
20,2021-01-01 20:00:00,-7.451,84.035,1.434,0.0,250.052,784.547
21,2021-01-01 21:00:00,-7.365,83.87,1.572,0.0,254.022,784.575
22,2021-01-01 22:00:00,-7.28,83.001,0.498,0.0,243.956,784.652
23,2021-01-01 23:00:00,-7.528,83.052,0.68,0.0,250.841,784.75
24,2021-01-02 00:00:00,-7.477,83.631,1.046,0.0,252.656,785.039
25,2021-01-02 01:00:00,-7.132,82.776,0.938,0.0,253.998,784.858
26,2021-01-02 02:00:00,-6.573,83.121,1.148,0.0,251.336,784.728
27,2021-01-02 03:00:00,-6.396,83.448,1.521,0.0,257.105,784.712
28,2021-01-02 04:00:00,-5.902,82.561,1.413,0.0,247.323,784.713
29,2021-01-02 05:00:00,-6.085,82.218,1.182,0.0,236.251,784.56
30,2021-01-02 06:00:00,-6.527,84.224,1.209,0.0,240.656,784.539
31,2021-01-02 07:00:00,-6.505,85.766,1.353,0.0,255.382,784.771
32,2021-01-02 08:00:00,-6.25,85.73,1.505,10.382,262.459,784.935
33,2021-01-02 09:00:00,-6.254,85.795,1.567,45.974,268.43,784.933
34,2021-01-02 10:00:00,-6.24,87.525,0.733,121.091,261.389,784.949
35,2021-01-02 11:00:00,-5.314,84.68,1.102,219.006,248.761,784.499
36,2021-01-02 12:00:00,-4.43,82.861,1.075,225.184,244.366,784.283
37,2021-01-02 13:00:00,-4.44,84.368,0.981,193.796,256.89,783.877
38,2021-01-02 14:00:00,-5.018,87.251,0.854,145.456,260.058,783.856
39,2021-01-02 15:00:00,-5.204,89.501,0.526,77.332,262.719,783.868
40,2021-01-02 16:00:00,-5.531,90.604,0.518,13.079,264.984,783.924
41,2021-01-02 17:00:00,-5.789,89.973,0.522,0.0,262.102,783.654
42,2021-01-02 18:00:00,-5.966,87.935,0.444,0.0,271.152,783.729
43,2021-01-02 19:00:00,-6.234,88.329,0.453,0.0,254.861,783.574
44,2021-01-02 20:00:00,-6.75,89.164,0.447,0.0,254.383,783.786
45,2021-01-02 21:00:00,-6.679,87.168,0.624,0.0,266.903,783.656
46,2021-01-02 22:00:00,-6.338,89.654,0.547,0.0,260.936,784.038
47,2021-01-02 23:00:00,-6.475,91.169,0.472,0.0,245.194,783.713
48,2021-01-03 00:00:00,-6.542,91.203,0.13,0.0,242.797,783.566
49,2021-01-03 01:00:00,-6.57,90.571,0.334,0.0,243.546,783.271
50,2021-01-03 02:00:00,-6.354,90.865,0.191,0.0,242.608,783.526
51,2021-01-03 03:00:00,-6.852,93.597,0.052,0.0,264.724,783.522
52,2021-01-03 04:00:00,-7.196,94.59,0.197,0.0,264.763,783.365
53,2021-01-03 05:00:00,-7.259,94.259,0.139,0.0,270.492,783.278
54,2021-01-03 06:00:00,-7.021,92.937,0.137,0.0,238.998,783.549
55,2021-01-03 07:00:00,-7.471,92.091,0.542,0.0,254.907,783.726
56,2021-01-03 08:00:00,-7.457,94.092,1.065,12.733,261.742,784.068
57,2021-01-03 09:00:00,-7.048,93.848,1.304,58.255,256.416,784.246
58,2021-01-03 10:00:00,-6.689,92.611,1.18,133.477,267.292,784.405
59,2021-01-03 11:00:00,-6.602,91.204,1.153,158.31,256.338,784.69
60,2021-01-03 12:00:00,-6.095,91.293,1.326,160.555,270.05,784.768
61,2021-01-03 13:00:00,-6.135,89.222,0.864,163.177,261.731,784.562
62,2021-01-03 14:00:00,-6.421,91.1,0.88,122.839,262.833,784.888
63,2021-01-03 15:00:00,-6.84,91.691,0.849,79.306,252.382,785.264
64,2021-01-03 16:00:00,-7.091,90.507,1.22,18.248,236.329,785.565
65,2021-01-03 17:00:00,-7.252,90.82,1.549,0.0,235.495,785.707
66,2021-01-03 18:00:00,-7.465,89.993,1.601,0.0,243.963,786.029
67,2021-01-03 19:00:00,-7.928,90.575,1.587,0.0,227.733,786.284
68,2021-01-03 20:00:00,-8.567,90.514,1.49,0.0,230.922,786.528
69,2021-01-03 21:00:00,-9.706,90.99,1.503,0.0,231.942,786.468
70,2021-01-03 22:00:00,-8.555,89.579,1.728,0.0,220.57,786.432
71,2021-01-03 23:00:00,-8.5,87.269,1.572,0.0,218.519,786.341
72,2021-01-04 00:00:00,-9.349,86.407,1.467,0.0,228.082,786.334
73,2021-01-04 01:00:00,-9.362,86.459,0.757,0.0,231.589,786.145
74,2021-01-04 02:00:00,-9.381,86.377,0.601,0.0,231.471,786.308
75,2021-01-04 03:00:00,-9.458,87.46,0.563,0.0,231.271,786.352
76,2021-01-04 04:00:00,-9.941,87.824,0.736,0.0,216.778,786.013
