time,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,snow_h
2021-12-08 14:00:00,-1.025,96.675,0.58,72.012,0.0,5.25,88.085,315.79,30.335
2021-12-08 15:00:00,-1.28,96.47,0.55,34.115,2.55,5.217,88.1,315.3,31.185
2021-12-08 16:00:00,-1.41,97.275,0.43,4.596,9.21,5.217,88.14,311.975,34.255
2021-12-08 17:00:00,-1.445,97.665,0.36,0.0,8.415,5.233,88.15,309.505,37.06
2021-12-08 18:00:00,-1.485,97.925,0.45,0.0,4.23,5.233,88.165,308.73,38.47
2021-12-08 19:00:00,-1.5,98.07,0.48,0.0,2.28,5.25,88.195,308.565,39.23
2021-12-08 20:00:00,-1.5,98.15,0.485,0.0,3.03,5.217,88.205,308.555,40.24
2021-12-08 21:00:00,-1.5,98.105,0.6,0.0,0.0,5.233,88.235,308.57,40.525
2021-12-08 22:00:00,-1.49,98.165,0.71,0.0,5.475,5.2,88.245,308.68,42.35
2021-12-08 23:00:00,-1.525,98.16,0.71,0.0,1.695,5.2,88.275,308.615,42.915
2021-12-09 00:00:00,-1.595,98.145,0.74,0.0,6.075,5.2,88.305,308.355,44.94
2021-12-09 01:00:00,-1.58,98.32,0.77,0.0,4.845,5.183,88.315,308.27,46.555
2021-12-09 02:00:00,-1.575,98.36,1.15,0.0,3.225,5.1,88.33,308.405,47.63
2021-12-09 03:00:00,-1.715,98.405,1.135,0.0,9.645,5.1,88.38,307.925,50.845
2021-12-09 04:00:00,-1.785,98.345,1.305,0.0,12.255,5.1,88.425,307.58,54.93
2021-12-09 05:00:00,-1.845,98.47,1.105,0.0,9.03,5.117,88.47,307.285,57.94
2021-12-09 06:00:00,-1.86,98.6,1.29,0.0,10.14,5.05,88.515,307.125,61.32
2021-12-09 07:00:00,-1.925,98.565,1.27,0.0,17.085,5.0,88.6,306.955,67.015
2021-12-09 08:00:00,-2.065,98.415,1.1,23.688,4.68,4.967,88.665,306.505,68.575
2021-12-09 09:00:00,-2.17,98.37,1.095,86.297,0.0,5.083,88.72,306.74,68.79
2021-12-09 10:00:00,-2.08,98.04,0.83,205.369,0.0,5.283,88.78,309.58,68.97
2021-12-09 11:00:00,-1.705,97.205,1.235,264.468,0.0,5.217,88.835,314.45,68.085
2021-12-09 12:00:00,-1.56,96.17,1.055,283.574,0.0,5.333,88.825,315.84,67.96
2021-12-09 13:00:00,-1.295,95.03,0.705,296.518,0.0,5.233,88.825,315.875,67.705
2021-12-09 14:00:00,-1.275,93.65,1.09,211.969,0.0,5.067,88.815,315.88,67.265
2021-12-09 15:00:00,-1.475,92.025,0.72,90.004,0.0,4.95,88.825,315.835,66.36
2021-12-09 16:00:00,-1.73,91.035,0.525,11.045,0.0,4.4,88.865,313.205,65.67
2021-12-09 17:00:00,-4.425,91.67,0.49,0.0,0.0,4.1,88.86,298.625,64.82
2021-12-09 18:00:00,-5.335,95.6,0.4,0.0,0.0,4.183,88.905,288.275,64.445
2021-12-09 19:00:00,-4.845,96.695,0.355,0.0,0.0,4.167,88.93,289.135,64.565
2021-12-09 20:00:00,-4.705,95.165,0.355,0.0,0.0,3.733,88.92,290.85,64.7
2021-12-09 21:00:00,-7.255,94.895,0.445,0.0,0.0,3.5,88.88,280.595,65.02
2021-12-09 22:00:00,-8.035,94.645,0.53,0.0,0.0,3.467,88.83,272.02,65.22
2021-12-09 23:00:00,-6.1,88.055,1.14,0.0,0.0,3.817,88.775,278.355,65.15
2021-12-10 00:00:00,-2.945,68.02,3.115,0.0,0.0,4.183,88.64,291.67,65.365
2021-12-10 01:00:00,-2.395,63.485,5.035,0.0,0.0,4.233,88.435,295.62,63.92
2021-12-10 02:00:00,-1.465,56.475,4.745,0.0,0.0,3.833,88.28,297.615,62.575
2021-12-10 03:00:00,-0.45,50.94,4.08,0.0,0.0,3.567,88.125,297.99,62.425
2021-12-10 04:00:00,0.705,43.255,4.79,0.0,0.0,3.617,87.95,294.44,62.19
2021-12-10 05:00:00,-0.16,50.135,2.99,0.0,0.0,3.633,87.885,280.57,62.065
2021-12-10 06:00:00,1.07,40.33,4.455,0.0,0.0,3.983,87.785,285.235,61.87
2021-12-10 07:00:00,1.67,39.02,5.76,0.0,0.0,4.6,87.785,291.635,61.59
2021-12-10 08:00:00,0.595,47.895,7.61,18.278,0.0,4.567,87.78,294.155,60.77
2021-12-10 09:00:00,-0.705,60.76,8.52,65.232,2.115,4.6,87.825,297.335,61.475
2021-12-10 10:00:00,-0.725,61.635,7.95,100.582,0.0,4.683,87.86,298.54,61.6
2021-12-10 11:00:00,-0.86,65.53,7.435,122.582,0.0,4.8,87.825,298.82,60.52
2021-12-10 12:00:00,-0.01,59.08,5.785,122.703,0.0,4.767,87.76,300.74,60.34
2021-12-10 13:00:00,-0.21,65.31,4.04,84.444,0.0,4.833,87.775,302.67,59.9
2021-12-10 14:00:00,-0.425,70.385,3.585,84.565,0.0,4.917,87.77,302.26,59.95
2021-12-10 15:00:00,-1.81,91.9,0.555,43.156,0.0,4.967,87.84,308.635,59.705
2021-12-10 16:00:00,-1.9,94.565,0.395,4.49,0.0,5.017,87.915,308.2,59.43
2021-12-10 17:00:00,-1.985,95.74,0.45,0.0,4.08,5.233,87.995,306.635,60.79
2021-12-10 18:00:00,-1.5,96.3,0.535,0.0,9.525,5.35,88.085,307.42,63.965
2021-12-10 19:00:00,-1.085,96.16,0.82,0.0,1.05,5.3,88.19,309.895,64.315
2021-12-10 20:00:00,-1.22,95.855,0.705,0.0,3.765,5.2,88.275,309.615,65.57
