"TOA5","EddyCorrUFR","CR6","12056","CR6.Std.09.02","CPU:Guttannen_AWS_calibrated_final.CR6","4312","Flux_CSFormat"
"TIMESTAMP","RECORD","H","H_QC","H_samples","TAU","TAU_QC","USTAR","TSTAR","TKE","amb_press_Avg","T107_probe_Avg","T_probe_Avg","RH_probe_Avg","T_DP_probe_Avg","e_probe","e_sat_probe","H2O_probe","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","ZL","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","NETRAD","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","T_nr_Avg","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","SnowHeight","Waterpressure","WaterFlow","Csattemp","CsatRH","CsatPitch","CsatRoll","Tice_Avg(1)","Tice_Avg(2)","Tice_Avg(3)","Tice_Avg(4)","Tice_Avg(5)","Tice_Avg(6)","Tice_Avg(7)","Tice_Avg(8)"
"TS","RN","W m-2","grade","samples","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","kPa","deg C","deg C","%","deg C","kPa","kPa","g/m^3","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","Decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","adimensional","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","W m-2","%","W m-2","W m-2","W m-2","W m-2","Klvin","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","cm","Bar","l/min","","","","","dec C","dec C","dec C","dec C","dec C","dec C","dec C","dec C"
"","","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-12-14 00:30:00",494,-12.83273,8,13048,7.596508,7,0.08743478,0.1348211,0.0732135,90.68153,-2.006363,-1.8494,95.0899,-2.686973,0.5040025,0.5298335,4.027455,0.2033798,0.2178531,0.2190149,0.2979836,-0.008360809,0.1008603,-1.123664,0.832366,180,0.4127345,0.2988824,47.11989,42.54222,132.8801,1.406589,-0.1983982,7,-14.8395,0.203534,0.2178548,0.2190149,0.2979836,-0.002670511,0.1008566,-17.80149,0,-1.709477,0.976307,282.0851,297.2007,269.6061,185.0727,-66.50034,5.207701,-23.20496,"NAN",0,57.53,-0.233,0,5.063,26.92,-1.037,0.983,1.075,0.07,-0.242,-2.668,-2.877,-2.904,-2.491,-2.444
"2021-12-14 01:00:00",495,3.578487,9,18000,8.889933,9,0.06190268,-0.03484228,0.05093569,90.67793,-2.51284,-2.404215,96.37855,-3.009367,0.4916887,0.5101039,3.936651,0.09930898,0.1943328,0.02475568,0.2312975,-0.01152207,0.1029934,-1.082118,0.6901449,180,0.2770506,0.102348,13.99737,64.32134,166.0026,1.110054,1.060745,9,2.775531,0.09997458,0.1931343,0.02475568,0.2312975,-0.0003399802,0.1052237,-15.7559,0,-0.4180484,1.534021,279.3592,293.163,268.6745,14.45229,-65.94821,-173.6373,-23.20604,"NAN",0,57.5,-0.233,0,4.436,27.01,-1.037,0.984,1.085,0.696,-0.241,-2.685,-3.011,-3.028,-2.575,-2.559
"2021-12-14 01:30:00",496,-6.768747,9,18000,4.465222,9,0.06308021,0.09340747,0.09012425,90.6862,-1.77907,-1.820948,95.58083,-2.393324,0.5148935,0.5385762,4.11125,0.1347056,0.2687877,0.1760315,0.2998479,-0.02810404,0.1345096,-0.628956,0.7579064,180,0.39637,0.2216592,52.57545,53.77674,127.4246,1.71369,3.709012,9,0.7937774,0.1371707,0.2689091,0.1760315,0.2998479,-0.01093722,0.1342668,-15.95436,0,0.3998381,2.695494,280.7089,294.3676,268.9194,30.41595,-63.90154,-165.9522,-23.20731,"NAN",0,57.54,-0.178,0,4.515,26.97,-1.038,0.982,1.093,0.781,-0.24,-2.53,-3.002,-2.964,-2.548,-2.594
"2021-12-14 02:30:00",497,-24.89546,7,13648,4.62332,1,0.07393759,0.3396438,0.08029401,90.68282,-1.643366,-1.77268,94.26347,-2.4435,0.5130694,0.544144,4.094505,0.1866187,0.2728813,0.1495326,0.2660277,-0.003232128,0.1239076,-0.415697,0.5711387,180,0.3816898,0.2391372,38.70425,49.50138,141.2957,1.730544,0.3460704,1,8.507315,0.1866453,0.2730203,0.1495326,0.2660277,-0.000709763,0.1236011,-15.74541,0,0.1246718,2.704133,281.6371,294.8031,268.973,55.79549,-56.50433,-150.2179,-23.20991,"NAN",0,57.01,-0.232,0,4.56,26.93,-1.038,0.985,1.082,0.621,-0.241,-2.643,-2.983,-3.094,-2.603,-2.59
"2021-12-14 03:00:00",498,-3.755579,9,18000,6.348469,9,0.07556115,0.04357367,0.09648717,90.67818,-0.9301853,-0.965586,92.58968,-1.979154,0.5309854,0.5732526,4.226475,0.1888158,0.2679569,0.2466729,0.3172753,-0.01611971,0.1432124,0.2380403,0.5356914,180,0.4442676,0.3106428,52.56783,44.42284,127.4322,1.492602,0.9564112,9,3.078309,0.1893974,0.2680716,0.2466729,0.3172753,-0.006313286,0.1429977,-15.92445,0,-0.1584798,2.365473,284.3083,297.7088,269.6296,63.80312,-52.59705,-143.6262,-23.21099,"NAN",0,56.94,-0.231,0,5.052,26.91,-1.037,0.984,1.078,0.375,-0.241,-2.611,-2.882,-2.997,-2.636,-2.564
"2021-12-14 03:30:00",499,-11.1308,9,18000,6.613064,9,0.02934442,0.1260826,0.07092224,90.68253,-1.032463,-1.094869,92.79795,-2.050068,0.5282725,0.5691123,4.206378,0.1262214,0.229993,0.1774093,0.2761743,-0.01102579,0.1125853,0.2065013,0.5882279,180,0.3594283,0.2177292,54.56929,50.85836,125.4307,1.578293,0.7632349,9,3.857436,0.1266175,0.230397,0.1774093,0.2761743,-0.004628013,0.1117561,-15.51435,0,-0.1100253,2.466411,283.9141,296.852,269.4303,71.72203,-47.74558,-135.9934,-23.21224,"NAN",0,56.87,-0.232,0,5.009,26.92,-1.038,0.985,1.078,0.221,-0.241,-2.65,-2.88,-2.99,-2.644,-2.527
"2021-12-14 04:30:00",500,-0.5225607,9,13000,0.9976639,9,0.123282,0.01517148,0.1535923,90.68504,-1.140483,-1.133849,91.51105,-2.346128,0.5167339,0.5645336,4.116212,0.1285197,0.3136705,0.08628311,0.4394992,-0.009701428,0.1250431,0.1544394,0.588443,180,0.4805106,0.154797,33.87588,66.68859,146.1241,1.595592,0.004687246,9,628.1151,0.1288748,0.3121143,0.08628311,0.4394992,-0.001643621,0.1288785,-15.61668,0,0.1222077,2.902167,283.8972,296.7339,269.3503,85.32915,-37.08751,-120.1132,-23.21484,"NAN",0,56.71,-0.231,0,4.903,26.94,-1.037,0.982,1.091,0.17,-0.242,-2.823,-3.106,-3.057,-2.736,-2.573
"2021-12-14 05:00:00",501,-0.2375982,9,18000,17.61724,4,0.06420163,0.001644196,0.08661506,90.70705,-1.97247,-1.796611,92.41977,-3.03996,0.4909208,0.5309374,3.922591,0.1963755,0.2763106,0.1793231,0.2920671,1.450251E-05,0.1076075,-0.8234577,0.5207542,180,0.4209287,0.265933,42.40136,49.15193,137.5986,1.495733,-0.09384964,4,-31.37071,0.1963755,0.27631,0.1793231,0.2920671,3.793264E-06,0.1076091,-15.91766,0,-1.319587,1.620051,282.8298,295.8078,269.1388,90.15224,-32.66148,-113.657,-23.21589,"NAN",0,56.58,-0.231,0,4.703,26.91,-1.039,0.986,1.097,0.367,-0.242,-2.848,-3.102,-3.095,-2.77,-2.592
"2021-12-14 05:30:00",502,0.6691659,9,18000,4.794165,4,0.0738822,-0.008896193,0.09928163,90.71352,-1.880097,-1.825614,91.00423,-3.155596,0.4868251,0.5346497,3.888461,0.24349,0.2888847,0.1495593,0.318589,-0.00223011,0.1166615,-0.9349224,0.7050585,180,0.4261713,0.2857539,31.55957,46.49469,148.4404,2.178123,-0.3502544,4,-8.405688,0.2435,0.2889748,0.1495593,0.318589,-0.0003298309,0.1164382,-15.4673,0,-0.8130236,1.921663,281.6888,294.4214,268.8123,95.14679,-27.83732,-106.6176,-23.21703,"NAN",0,56.59,-0.23,0,4.428,26.92,-1.038,0.983,1.107,0.82,-0.243,-2.77,-3.098,-3.15,-2.787,-2.655
