 

stn;time;pva200s0;tre200s0;rre150z0;ure200s0;tde200s0;fkl010z0
MMGTT;202112010000;5.8;-0.2;0.0;97.1;-0.6;0.0
MMGTT;202112010010;5.9;-0.1;0.0;97.1;-0.5;0.5
MMGTT;202112010020;5.9;-0.1;0.0;97.1;-0.5;0.5
MMGTT;202112010030;5.9;-0.1;0.0;97.1;-0.5;1.0
MMGTT;202112010040;5.9;0.0;0.0;97.1;-0.4;0.0
MMGTT;202112010050;5.9;0.0;0.0;97.1;-0.4;0.0
MMGTT;202112010100;5.9;0.0;0.0;97.1;-0.4;0.5
MMGTT;202112010110;5.9;0.0;0.0;97.1;-0.4;1.0
MMGTT;202112010120;5.9;0.0;0.0;97.1;-0.4;0.0
MMGTT;202112010130;5.9;-0.1;0.0;97.1;-0.5;0.0
MMGTT;202112010140;5.9;-0.1;0.0;97.1;-0.5;1.0
MMGTT;202112010150;5.9;-0.1;0.0;97.1;-0.5;0.5
MMGTT;202112010200;5.8;-0.2;0.0;97.1;-0.6;0.0
MMGTT;202112010210;5.8;-0.2;0.0;97.1;-0.6;0.0
MMGTT;202112010220;5.8;-0.2;0.0;97.1;-0.6;1.0
MMGTT;202112010230;5.8;-0.3;0.0;97.1;-0.7;1.0
MMGTT;202112010240;5.8;-0.3;0.0;97.1;-0.7;0.5
MMGTT;202112010250;5.8;-0.3;0.0;97.1;-0.7;1.0
MMGTT;202112010300;5.8;-0.3;0.0;96.4;-0.8;1.0
MMGTT;202112010310;5.8;-0.3;0.0;97.1;-0.7;1.0
MMGTT;202112010320;5.8;-0.3;0.0;97.1;-0.7;1.5
MMGTT;202112010330;5.8;-0.3;0.0;97.1;-0.7;0.0
MMGTT;202112010340;5.8;-0.4;0.0;97.1;-0.8;0.5
MMGTT;202112010350;5.7;-0.5;0.0;97.1;-0.9;0.0
MMGTT;202112010400;5.7;-0.6;0.0;97.1;-1.0;0.0
MMGTT;202112010410;5.6;-0.7;0.0;97.1;-1.1;1.0
MMGTT;202112010420;5.5;-0.9;0.0;96.4;-1.4;0.5
MMGTT;202112010430;5.4;-1.2;0.0;97.1;-1.6;0.5
MMGTT;202112010440;5.4;-1.3;0.0;97.1;-1.7;1.0
MMGTT;202112010450;5.3;-1.6;0.0;97.1;-2.0;0.5
MMGTT;202112010500;5.2;-1.7;0.0;97.1;-2.1;1.5
MMGTT;202112010510;5.2;-1.8;0.0;97.1;-2.2;0.5
MMGTT;202112010520;5.2;-1.8;0.0;97.1;-2.2;0.0
MMGTT;202112010530;5.2;-1.8;0.0;97.1;-2.2;1.5
MMGTT;202112010540;5.2;-1.9;0.0;97.1;-2.3;0.5
MMGTT;202112010550;5.1;-2.0;0.0;97.1;-2.4;1.0
MMGTT;202112010600;5.1;-2.1;0.0;97.1;-2.5;1.5
MMGTT;202112010610;5.1;-2.1;0.0;97.1;-2.5;2.1
MMGTT;202112010620;5.1;-2.1;0.0;97.1;-2.5;1.5
MMGTT;202112010630;5.1;-1.9;0.0;96.4;-2.4;1.0
MMGTT;202112010640;5.4;-1.6;0.0;98.5;-1.8;2.1
MMGTT;202112010650;5.4;-1.3;0.0;97.8;-1.6;1.0
MMGTT;202112010700;5.4;-1.3;0.0;97.1;-1.7;1.0
MMGTT;202112010710;5.4;-1.3;0.0;97.1;-1.7;1.0
MMGTT;202112010720;5.4;-1.3;0.0;97.1;-1.7;1.0
MMGTT;202112010730;5.4;-1.3;0.0;97.1;-1.7;0.0
MMGTT;202112010740;5.4;-1.3;0.0;97.1;-1.7;0.0
MMGTT;202112010750;5.4;-1.4;0.0;97.1;-1.8;1.0
MMGTT;202112010800;5.3;-1.6;0.0;97.1;-2.0;1.0
MMGTT;202112010810;5.2;-1.8;0.0;97.1;-2.2;0.5
MMGTT;202112010820;5.1;-1.9;0.0;96.4;-2.4;0.5
MMGTT;202112010830;5.1;-2.0;0.0;97.1;-2.4;1.0
MMGTT;202112010840;5.1;-2.0;0.0;97.1;-2.4;1.0
MMGTT;202112010850;5.1;-1.9;0.0;96.4;-2.4;1.5
MMGTT;202112010900;5.3;-1.7;0.0;97.8;-2.0;0.5
MMGTT;202112010910;5.4;-1.4;0.0;97.8;-1.7;0.0
MMGTT;202112010920;5.6;-1.0;0.0;97.8;-1.3;1.0
MMGTT;202112010930;5.8;-0.6;0.0;98.5;-0.8;1.0
MMGTT;202112010940;5.9;-0.2;0.0;98.6;-0.4;1.0
MMGTT;202112010950;6.1;0.3;0.0;97.8;0.0;1.0
MMGTT;202112011000;6.2;0.6;0.0;97.9;0.3;1.0
MMGTT;202112011010;6.3;0.7;0.0;97.9;0.4;1.5
MMGTT;202112011020;6.3;0.7;0.0;97.9;0.4;1.0
MMGTT;202112011030;6.4;0.9;0.0;98.6;0.7;0.5
MMGTT;202112011040;6.5;1.1;0.0;97.9;0.8;0.5
MMGTT;202112011050;6.5;1.2;0.0;97.9;0.9;0.5
MMGTT;202112011100;6.5;1.2;0.0;97.9;0.9;0.5
MMGTT;202112011110;6.6;1.3;0.0;97.9;1.0;0.5
MMGTT;202112011120;6.5;1.2;0.0;97.9;0.9;1.5
MMGTT;202112011130;6.7;1.4;0.0;98.6;1.2;0.5
MMGTT;202112011140;6.7;1.6;0.0;97.9;1.3;1.0
MMGTT;202112011150;6.8;1.7;0.0;97.9;1.4;1.0
MMGTT;202112011200;6.8;1.8;0.0;97.9;1.5;1.5
MMGTT;202112011210;6.9;2.0;0.0;97.9;1.7;0.5
MMGTT;202112011220;7.0;2.2;0.0;97.9;1.9;1.0
MMGTT;202112011230;7.0;2.2;0.0;97.9;1.9;0.5
MMGTT;202112011240;7.0;2.2;0.0;97.2;1.8;1.0
MMGTT;202112011250;7.0;2.2;0.0;97.2;1.8;1.0
MMGTT;202112011300;7.0;2.3;0.0;96.5;1.8;0.5
MMGTT;202112011310;7.0;2.3;0.0;97.2;1.9;1.0
MMGTT;202112011320;7.0;2.3;0.0;97.2;1.9;1.0
MMGTT;202112011330;7.1;2.4;0.0;97.2;2.0;1.0
MMGTT;202112011340;7.0;2.4;0.0;96.5;1.9;1.0
MMGTT;202112011350;7.0;2.5;0.0;95.8;1.9;1.0
MMGTT;202112011400;7.1;2.6;0.0;95.8;2.0;1.5
MMGTT;202112011410;7.0;2.6;0.0;94.4;1.8;1.5
MMGTT;202112011420;6.9;2.4;0.0;95.1;1.7;1.0
MMGTT;202112011430;6.9;2.3;0.0;95.1;1.6;1.5
MMGTT;202112011440;6.9;2.4;0.0;94.4;1.6;1.5
MMGTT;202112011450;7.0;3.1;0.0;91.2;1.8;2.1
MMGTT;202112011500;6.8;3.7;0.0;85.5;1.5;2.1
MMGTT;202112011510;7.0;3.9;0.0;86.1;1.8;2.1
MMGTT;202112011520;6.9;3.6;0.0;86.7;1.6;1.0
MMGTT;202112011530;6.8;3.3;0.0;88.0;1.5;0.0
MMGTT;202112011540;6.8;3.0;0.0;89.2;1.4;1.0
MMGTT;202112011550;6.7;2.7;0.0;89.8;1.2;1.5
MMGTT;202112011600;6.6;2.4;0.0;91.1;1.1;0.5
MMGTT;202112011610;6.6;2.2;0.0;91.7;1.0;0.5
MMGTT;202112011620;6.5;2.0;0.0;91.7;0.8;0.5
MMGTT;202112011630;6.5;1.8;0.0;93.1;0.8;1.5
MMGTT;202112011640;6.5;1.7;0.0;94.4;0.9;1.5
MMGTT;202112011650;6.5;1.7;0.0;93.7;0.8;1.0
MMGTT;202112011700;6.4;1.6;0.0;93.7;0.7;0.5
MMGTT;202112011710;6.5;1.5;0.0;95.1;0.8;0.5
MMGTT;202112011720;6.4;1.4;0.0;95.1;0.7;0.5
MMGTT;202112011730;6.4;1.4;0.0;95.1;0.7;1.0
MMGTT;202112011740;6.4;1.3;0.0;95.1;0.6;1.0
MMGTT;202112011750;6.4;1.3;0.0;95.1;0.6;1.0
MMGTT;202112011800;6.4;1.2;0.0;96.5;0.7;1.0
MMGTT;202112011810;6.4;1.3;0.0;95.8;0.7;1.0
MMGTT;202112011820;6.4;1.2;0.0;96.5;0.7;0.5
MMGTT;202112011830;6.4;1.2;0.0;96.5;0.7;0.0
MMGTT;202112011840;6.4;1.2;0.2;95.8;0.6;0.0
MMGTT;202112011850;6.4;1.2;0.0;95.8;0.6;0.5
MMGTT;202112011900;6.3;1.1;0.2;95.8;0.5;0.0
MMGTT;202112011910;6.3;1.1;0.2;95.8;0.5;1.5
MMGTT;202112011920;6.3;1.1;0.0;95.8;0.5;0.5
MMGTT;202112011930;6.3;1.0;0.2;95.8;0.4;0.0
MMGTT;202112011940;6.3;0.9;0.0;96.4;0.4;0.5
MMGTT;202112011950;6.2;0.9;0.0;95.8;0.3;0.5
MMGTT;202112012000;6.2;0.8;0.0;96.4;0.3;0.5
MMGTT;202112012010;6.2;0.8;0.0;96.4;0.3;0.0
MMGTT;202112012020;6.2;0.8;0.0;95.7;0.2;0.5
MMGTT;202112012030;6.2;0.8;0.0;95.7;0.2;1.0
MMGTT;202112012040;6.2;0.8;0.0;96.4;0.3;0.5
MMGTT;202112012050;6.3;0.8;0.0;97.1;0.4;1.0
MMGTT;202112012100;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012110;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012120;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012130;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012140;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012150;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012200;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012210;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112012220;6.3;0.8;0.0;97.1;0.4;1.0
MMGTT;202112012230;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012240;6.3;0.9;0.0;97.1;0.5;0.5
MMGTT;202112012250;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112012300;6.3;0.8;0.0;97.1;0.4;1.0
MMGTT;202112012310;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012320;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012330;6.3;0.8;0.0;97.1;0.4;0.0
MMGTT;202112012340;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112012350;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112020000;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112020010;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112020020;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112020030;6.3;0.8;0.0;97.1;0.4;1.5
MMGTT;202112020040;6.3;0.8;0.0;97.1;0.4;1.0
MMGTT;202112020050;6.3;0.8;0.0;97.1;0.4;1.0
MMGTT;202112020100;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112020110;6.3;0.8;0.0;97.1;0.4;0.5
MMGTT;202112020120;6.2;0.7;0.0;97.1;0.3;0.5
MMGTT;202112020130;6.2;0.7;0.0;97.1;0.3;0.0
MMGTT;202112020140;6.2;0.7;0.0;96.4;0.2;0.0
MMGTT;202112020150;6.2;0.6;0.0;97.1;0.2;0.0
MMGTT;202112020200;6.1;0.6;0.0;96.4;0.1;0.0
MMGTT;202112020210;6.1;0.6;0.0;96.4;0.1;0.0
MMGTT;202112020220;6.1;0.5;0.0;97.1;0.1;0.5
MMGTT;202112020230;6.1;0.6;0.0;96.4;0.1;0.5
MMGTT;202112020240;6.1;0.6;0.0;96.4;0.1;0.5
MMGTT;202112020250;6.1;0.6;0.0;96.4;0.1;0.0
MMGTT;202112020300;6.2;0.6;0.0;97.1;0.2;0.5
MMGTT;202112020310;6.2;0.6;0.0;97.1;0.2;0.0
MMGTT;202112020320;6.2;0.6;0.0;97.1;0.2;0.5
MMGTT;202112020330;6.2;0.6;0.0;97.1;0.2;0.5
MMGTT;202112020340;6.2;0.6;0.0;97.1;0.2;1.5
MMGTT;202112020350;6.2;0.6;0.0;97.1;0.2;1.0
MMGTT;202112020400;6.1;0.6;0.0;96.4;0.1;1.0
MMGTT;202112020410;6.1;0.6;0.0;96.4;0.1;2.1
MMGTT;202112020420;6.1;0.6;0.0;96.4;0.1;1.0
MMGTT;202112020430;6.1;0.6;0.0;96.4;0.1;0.5
MMGTT;202112020440;6.1;0.5;0.0;97.1;0.1;0.5
MMGTT;202112020450;6.1;0.5;0.0;97.1;0.1;0.0
MMGTT;202112020500;6.1;0.5;0.0;97.1;0.1;0.5
MMGTT;202112020510;6.1;0.4;0.0;97.1;0.0;0.5
MMGTT;202112020520;6.1;0.4;0.0;97.1;0.0;0.0
MMGTT;202112020530;6.1;0.4;0.0;97.1;0.0;0.5
MMGTT;202112020540;6.1;0.4;0.0;97.1;0.0;1.0
MMGTT;202112020550;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020600;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020610;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020620;6.1;0.3;0.0;97.1;-0.1;2.1
MMGTT;202112020630;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020640;6.1;0.3;0.0;97.1;-0.1;1.0
MMGTT;202112020650;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020700;6.1;0.3;0.0;97.1;-0.1;2.1
MMGTT;202112020710;6.1;0.3;0.0;97.1;-0.1;1.0
MMGTT;202112020720;6.0;0.2;0.0;97.1;-0.2;1.0
MMGTT;202112020730;6.0;0.2;0.0;97.1;-0.2;0.5
MMGTT;202112020740;6.1;0.3;0.0;97.1;-0.1;0.5
MMGTT;202112020750;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020800;6.1;0.3;0.0;97.1;-0.1;2.1
MMGTT;202112020810;6.1;0.3;0.0;97.1;-0.1;2.6
MMGTT;202112020820;6.0;0.2;0.0;96.4;-0.3;5.1
