,time,Discharge,T_a,RH,v_a
0,2021-11-22 12:15:00,0.0,-54.84726190476191,-24.849166666666626,-12.290595238095225
1,2021-11-22 12:30:00,,,,
2,2021-11-22 12:45:00,,,,
3,2021-11-22 13:00:00,,,,
4,2021-11-22 13:15:00,,,,
5,2021-11-22 13:30:00,,,,
6,2021-11-22 13:45:00,,,,
7,2021-11-22 14:00:00,0.0,-54.84999999999997,-24.850000000000012,-12.292580645161294
8,2021-11-22 14:15:00,0.0,-54.84866666666669,-24.849333333333295,-12.291222222222205
9,2021-11-22 14:30:00,0.0,-54.84690140845068,-24.848450704225325,-12.291408450704216
10,2021-11-22 14:45:00,,,,
11,2021-11-22 15:00:00,,,,
12,2021-11-22 15:15:00,,,,
13,2021-11-22 15:30:00,,,,
14,2021-11-22 15:45:00,,,,
15,2021-11-22 16:00:00,,,,
16,2021-11-22 16:15:00,,,,
17,2021-11-22 16:30:00,,,,
18,2021-11-22 16:45:00,,,,
19,2021-11-22 17:00:00,,,,
20,2021-11-22 17:15:00,,,,
21,2021-11-22 17:30:00,,,,
22,2021-11-22 17:45:00,,,,
23,2021-11-22 18:00:00,,,,
24,2021-11-22 18:15:00,,,,
25,2021-11-22 18:30:00,,,,
26,2021-11-22 18:45:00,,,,
27,2021-11-22 19:00:00,,,,
28,2021-11-22 19:15:00,,,,
29,2021-11-22 19:30:00,,,,
30,2021-11-22 19:45:00,,,,
31,2021-11-22 20:00:00,,,,
32,2021-11-22 20:15:00,,,,
33,2021-11-22 20:30:00,,,,
34,2021-11-22 20:45:00,,,,
35,2021-11-22 21:00:00,,,,
36,2021-11-22 21:15:00,,,,
37,2021-11-22 21:30:00,,,,
38,2021-11-22 21:45:00,,,,
39,2021-11-22 22:00:00,,,,
40,2021-11-22 22:15:00,,,,
41,2021-11-22 22:30:00,,,,
42,2021-11-22 22:45:00,,,,
43,2021-11-22 23:00:00,,,,
44,2021-11-22 23:15:00,,,,
45,2021-11-22 23:30:00,,,,
46,2021-11-22 23:45:00,,,,
47,2021-11-23 00:00:00,,,,
48,2021-11-23 00:15:00,,,,
49,2021-11-23 00:30:00,,,,
50,2021-11-23 00:45:00,,,,
51,2021-11-23 01:00:00,,,,
52,2021-11-23 01:15:00,,,,
53,2021-11-23 01:30:00,,,,
54,2021-11-23 01:45:00,,,,
55,2021-11-23 02:00:00,,,,
56,2021-11-23 02:15:00,,,,
57,2021-11-23 02:30:00,,,,
58,2021-11-23 02:45:00,,,,
59,2021-11-23 03:00:00,,,,
60,2021-11-23 03:15:00,,,,
61,2021-11-23 03:30:00,,,,
62,2021-11-23 03:45:00,,,,
63,2021-11-23 04:00:00,,,,
64,2021-11-23 04:15:00,,,,
65,2021-11-23 04:30:00,,,,
66,2021-11-23 04:45:00,,,,
67,2021-11-23 05:00:00,,,,
68,2021-11-23 05:15:00,,,,
69,2021-11-23 05:30:00,,,,
70,2021-11-23 05:45:00,,,,
71,2021-11-23 06:00:00,,,,
72,2021-11-23 06:15:00,,,,
73,2021-11-23 06:30:00,,,,
74,2021-11-23 06:45:00,,,,
75,2021-11-23 07:00:00,,,,
76,2021-11-23 07:15:00,,,,
77,2021-11-23 07:30:00,,,,
78,2021-11-23 07:45:00,,,,
79,2021-11-23 08:00:00,,,,
80,2021-11-23 08:15:00,,,,
81,2021-11-23 08:30:00,,,,
82,2021-11-23 08:45:00,,,,
83,2021-11-23 09:00:00,,,,
84,2021-11-23 09:15:00,,,,
85,2021-11-23 09:30:00,,,,
86,2021-11-23 09:45:00,,,,
87,2021-11-23 10:00:00,0.0,0.47750000000000004,96.52250000000001,0.07125000000000001
88,2021-11-23 10:15:00,0.0,0.6219999999999999,97.04679999999999,-0.0007999999999999999
89,2021-11-23 10:30:00,0.0,0.2825,96.43125,0.019374999999999996
90,2021-11-23 10:45:00,0.0,1.0233333333333334,96.48666666666666,0.1366666666666667
91,2021-11-23 11:00:00,,,,
92,2021-11-23 11:15:00,,,,
93,2021-11-23 11:30:00,,,,
94,2021-11-23 11:45:00,0.0,0.8074358974358976,96.895641025641,-0.0030769230769230774
95,2021-11-23 12:00:00,13.352941176470587,0.8522058823529415,95.02029411764704,0.018529411764705878
