"TOA5","EddyCorrUFR","CR6","12056","CR6.Std.09.02","CPU:Guttannen_AWS_calibrated_final.CR6","4312","Flux_CSFormat"
"TIMESTAMP","RECORD","H","H_QC","H_samples","TAU","TAU_QC","USTAR","TSTAR","TKE","amb_press_Avg","T107_probe_Avg","T_probe_Avg","RH_probe_Avg","T_DP_probe_Avg","e_probe","e_sat_probe","H2O_probe","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","ZL","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","NETRAD","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","T_nr_Avg","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","SnowHeight","Waterpressure","WaterFlow","Csattemp","CsatRH","CsatPitch","CsatRoll","Tice_Avg(1)","Tice_Avg(2)","Tice_Avg(3)","Tice_Avg(4)","Tice_Avg(5)","Tice_Avg(6)","Tice_Avg(7)","Tice_Avg(8)"
"TS","RN","W m-2","grade","samples","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","kPa","deg C","deg C","%","deg C","kPa","kPa","g/m^3","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","Decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","adimensional","adimensional","m","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","W m-2","%","W m-2","W m-2","W m-2","W m-2","Klvin","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","cm","Bar","l/min","","","","","dec C","dec C","dec C","dec C","dec C","dec C","dec C","dec C"
"","","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-13 00:30:00",1903,-19.05186,8,18000,17.27306,4,0.1531474,0.1322245,0.1935677,91.2728,-6.901056,-6.891372,88.45655,-8.488411,0.3243099,0.3663881,2.639136,0.2619947,0.45112,0.1416954,0.3973846,0.06051978,0.1603482,-5.551935,0.7234636,180,0.5795741,0.2978569,28.40588,56.47252,151.5941,2.930601,0.05358489,4,54.94328,0.2687989,0.4495312,0.1416954,0.3973846,0.007140748,0.1647499,18.89355,0,-0.6688516,1.423272,275.3444,254.3587,264.0878,348.9797,-64.46468,174.91,-21.51934,"NAN",0,36.38,-0.189,0,-0.532,26.7,-0.953,0.935,1.219,-0.039,-0.207,-0.308,-0.776,-1.633,-4.573,-16.4
"2022-01-13 01:00:00",1904,-5.206239,9,18000,27.97776,6,0.1358916,0.02840102,0.1144475,91.26282,-7.055697,-6.972722,87.82578,-8.735011,0.3181491,0.361974,2.59055,0.1517028,0.3028077,0.1583616,0.349427,0.03506242,0.1228958,-5.768373,0.7285498,180,0.4556274,0.219299,46.23027,58.33619,133.7697,1.455775,-0.07702623,6,-38.22243,0.1553358,0.2986217,0.1583616,0.349427,0.01067204,0.132744,22.33083,0,-0.01734177,0.4804159,275.6798,252.8512,264.0925,69.24188,-64.72087,-113.5923,-21.51579,"NAN",0,36.31,-0.189,0,-0.505,26.75,-0.952,0.936,1.21,-0.017,-0.207,-0.302,-0.767,-1.651,-4.603,"NAN"
"2022-01-13 01:30:00",1905,5.284537,9,18000,22.03912,3,0.1238581,-0.03211774,0.1125773,91.28443,-7.906386,-7.714125,87.23698,-9.658312,0.2959363,0.3390232,2.417362,0.2136382,0.2748044,0.2307516,0.3693957,0.03789498,0.1148211,-6.877044,0.8615361,180,0.5064709,0.3144639,47.20533,49.87309,132.7947,1.491074,-0.1519294,3,-19.37827,0.2166375,0.272788,0.2307516,0.3693957,0.0120629,0.1195327,23.98458,0,0.12368,-0.5030906,274.5151,251.1573,263.7417,21.02622,-63.54654,-170.0936,-21.51238,"NAN",0,36.18,-0.187,0,-0.83,26.76,-0.953,0.936,1.202,-0.028,-0.207,-0.301,-0.794,-1.641,-4.699,"NAN"
"2022-01-13 02:00:00",1906,7.797082,8,18000,18.37352,6,0.1013011,-0.05240922,0.104445,91.30045,-7.380151,-7.48103,90.41539,-8.679634,0.3191579,0.3529431,2.602082,0.09709052,0.2784663,0.1975496,0.3440704,0.02986151,0.1138509,-6.050713,0.5625271,180,0.4217932,0.2201194,63.82705,56.00928,116.1729,1.536613,0.1188127,6,24.77958,0.1002235,0.2799432,0.1975496,0.3440704,0.01653865,0.1101694,19.82282,0,-0.5242952,1.000453,273.3362,251.9886,263.5377,35.14548,-61.119,-162.5959,-21.50882,"NAN",0,36.4,-0.186,0,-1.058,26.72,-0.953,0.936,1.191,-0.038,-0.207,-0.31,-0.824,-1.607,-4.813,-17.71
"2022-01-13 02:30:00",1907,-3.353368,9,18000,12.26716,2,0.1069712,0.02750131,0.1034887,91.29871,-7.545239,-7.490786,90.26118,-8.865832,0.3148722,0.3486901,2.568529,0.1970525,0.285937,0.03960662,0.3311198,0.03794574,0.1248084,-6.04856,0.8119764,180,0.3969044,0.200993,11.3648,56.90781,168.6352,1.830089,0.1906496,2,15.44262,0.2006715,0.2832258,0.03960662,0.3311198,0.0007311031,0.1308443,19.26021,0,-0.49548,1.129194,272.1754,251.2905,263.2597,47.17132,-57.72917,-155.0983,-21.50524,"NAN",0,36.3,-0.186,0,-1.105,26.7,-0.952,0.935,1.178,-0.021,-0.206,-0.303,-0.825,-1.586,-4.782,-18.26
"2022-01-13 03:00:00",1908,-6.344083,8,18000,13.68738,4,0.167366,0.04920797,0.1130267,91.28677,-7.308375,-7.270228,88.51088,-8.882929,0.3145362,0.3551044,2.563481,0.117921,0.2933298,0.08805109,0.3561762,0.0329984,0.1146714,-5.995095,0.6823244,180,0.3917482,0.1471674,36.74848,64.00188,143.2515,2.252744,0.1946521,4,15.12509,0.1222837,0.2832758,0.08805109,0.3561762,0.00639892,0.137647,18.63055,0,-0.6855347,1.194889,272.5558,252.0449,263.3959,57.26294,-53.66058,-147.5998,-21.5018,"NAN",0,36.01,-0.187,0,-0.793,26.69,-0.95,0.939,1.166,-0.022,-0.206,-0.297,-0.843,-1.587,-4.827,-18.06
"2022-01-13 03:30:00",1909,-24.93349,7,18000,33.4717,6,0.1125349,0.1230117,0.06171846,91.30901,-7.680202,-7.54385,88.83012,-9.203578,0.3065264,0.3448737,2.501851,0.08508687,0.2626136,0.1431236,0.2106934,0.02490296,0.100396,-6.097508,0.5898317,180,0.3339585,0.1665053,59.26851,57.35687,120.7315,1.03165,-0.2464684,6,-11.94526,0.08783447,0.2586167,0.1431236,0.2106934,0.01204323,0.1102844,19.70599,0,-0.4029324,0.7149413,272.547,251.7232,263.3601,66.45102,-48.73352,-139.4665,-21.49796,"NAN",0,36.14,-0.062,0,-0.936,26.66,-0.951,0.94,1.159,-0.011,-0.206,-0.3,-0.862,-1.626,-4.865,-17.38
"2022-01-13 04:00:00",1910,9.555816,8,18000,15.15809,6,0.1479055,-0.07039177,0.08089857,91.3047,-8.033888,-7.890287,89.08095,-9.518471,0.2989948,0.335519,2.443677,0.07768942,0.251278,0.1081937,0.3022265,0.03398206,0.08553156,-6.488248,0.678153,180,0.3516793,0.1331975,54.3195,63.84387,125.6805,1.753372,-0.1365819,6,-21.55579,0.08367875,0.2431094,0.1081937,0.3022265,0.01372195,0.1065556,21.32242,0,-0.08305254,0.2081138,271.6809,250.0673,263.0981,73.77531,-43.90115,-131.9687,-21.49437,"NAN",0,36.04,-0.185,0,-1.178,26.67,-0.954,0.937,1.155,-0.023,-0.206,-0.305,-0.881,-1.68,-4.908,"NAN"
"2022-01-13 04:30:00",1911,12.02225,8,18000,26.21869,3,0.1510736,-0.06728407,0.151775,91.30882,-7.502577,-7.462266,89.26488,-8.967978,0.3123725,0.3496966,2.547807,0.1441508,0.3382814,0.1500041,0.4146523,0.03217513,0.1310696,-5.960585,0.8328604,180,0.5123661,0.2080403,46.13994,62.42581,133.86,1.675017,-0.1212608,3,-24.27932,0.1473748,0.3350483,0.1500041,0.4146523,0.009764913,0.1391263,15.89324,0,-1.036576,1.90839,271.3223,252.4841,263.1385,79.72274,-39.3143,-125.1057,-21.4912,"NAN",0,35.99,-0.185,0,-1.083,26.66,-0.951,0.942,1.149,-0.003,-0.206,-0.317,-0.913,-1.745,-4.977,"NAN"
