,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in
0,2020-12-14 00:00:00,0.0,-6.684,27.337,0.437,60,-1.63725,-0.54575,0,67.459,0.0,0.0,181.19
1,2020-12-14 00:15:00,0.0,-7.019,28.37,0.638,60,-1.656,-0.552,0,67.455,0.35,1.0235,180.174
2,2020-12-14 00:30:00,0.0,-7.353,29.402,0.839,60,-1.674,-0.558,0,67.451,0.35,1.03366,179.159
3,2020-12-14 00:45:00,0.0,-7.279,29.993,0.728,60,-1.50225,-0.50075,0,67.444,0.35,1.0605,178.676
4,2020-12-14 01:00:00,0.0,-7.204,30.584,0.617,60,-1.3305,-0.4435,0,67.437,0.35,1.0877,178.193
5,2020-12-14 01:15:00,0.0,-7.265,31.026,0.63,60,-1.4715,-0.4905,0,67.433,0.35,1.09822,177.958
6,2020-12-14 01:30:00,0.0,-7.326,31.467,0.644,60,-1.6125,-0.5375,0,67.428,0.35,1.10857,177.723
7,2020-12-14 01:45:00,0.0,-7.56,31.849,0.736,60,-1.683,-0.561,0,67.43,0.35,1.10185,177.331
8,2020-12-14 02:00:00,0.0,-7.794,32.231,0.827,60,-1.75275,-0.58425,0,67.432,0.35,1.09497,176.939
9,2020-12-14 02:15:00,0.0,-7.891,32.8,0.875,60,-1.719,-0.573,0,67.436,0.35,1.10592,176.601
10,2020-12-14 02:30:00,0.0,-7.988,33.369,0.923,60,-1.68525,-0.56175,0,67.441,0.35,1.11664,176.263
11,2020-12-14 02:45:00,0.0,-8.352,34.239,0.797,60,-1.85175,-0.61725,0,67.445,0.35,1.11365,175.773
12,2020-12-14 03:00:00,0.0,-8.715,35.109,0.671,60,-2.01825,-0.67275,0,67.45,0.35,1.10995,175.283
13,2020-12-14 03:15:00,0.0,-8.731,35.169,0.759,60,-2.00625,-0.66875,0,67.448,0.35,1.11045,174.983
14,2020-12-14 03:30:00,0.0,-8.746,35.228,0.846,60,-1.9935,-0.6645,0,67.447,0.35,1.111,174.684
15,2020-12-14 03:45:00,0.0,-9.019,35.897,0.681,60,-1.8435,-0.6145,0,67.443,0.35,1.10809,174.3
16,2020-12-14 04:00:00,0.0,-9.291,36.566,0.516,60,-1.69425,-0.56475,0,67.439,0.35,1.10482,173.916
