,When,T_a,RH,v_a,Rad,DRad,Prec,p_a,vp_a,vp_w,vp_i,pva200s0,Fountain,Discharge,TotalE,SW,LW,Qs,e_a
0,2019-02-01 00:00:00,-0.45,43.15,2.45,0.5,0.0,0.0,436.9,2.45,2.85,2.85,2.45,0,4,0.0,0.0,0.0,0.0,
1,2019-02-01 00:05:00,-0.45,43.15,2.45,0.5,0.0,0.0,436.9,2.45,2.85,2.85,2.45,0,4,-95.88195,0.2,-90.62428,-5.45766,0.66729
2,2019-02-01 00:10:00,0.15,41.4,1.9,0.0,0.0,0.0,436.9,2.6,3.15,2.85,2.6,0,4,-85.63297,0.0,-87.04379,1.41082,0.67277
3,2019-02-01 00:15:00,0.15,41.4,1.9,0.0,0.0,0.0,436.9,2.6,3.15,2.85,2.6,0,4,-85.63297,0.0,-87.04379,1.41082,0.67277
4,2019-02-01 00:20:00,-0.1,42.4,1.4,0.5,0.0,0.0,436.9,2.55,3.0,3.0,2.55,0,4,-88.87428,0.2,-88.38124,-0.69304,0.67099
5,2019-02-01 00:25:00,-0.1,42.4,1.4,0.5,0.0,0.0,436.9,2.55,3.0,3.0,2.55,0,4,-88.87428,0.2,-88.38124,-0.69304,0.67099
6,2019-02-01 00:30:00,0.3,40.8,1.7,0.5,0.0,0.0,436.85,2.6,3.2,3.0,2.6,0,4,-83.86853,0.2,-86.59288,2.52434,0.67271
7,2019-02-01 00:35:00,0.3,40.8,1.7,0.5,0.0,0.0,436.85,2.6,3.2,3.0,2.6,0,4,-83.86853,0.2,-86.59288,2.52434,0.67271
8,2019-02-01 00:40:00,0.75,38.8,1.65,0.5,0.0,0.0,436.8,2.65,3.4,3.0,2.65,0,4,-78.32648,0.2,-84.65103,6.12455,0.67439
9,2019-02-01 00:45:00,0.75,38.8,1.65,0.5,0.0,0.0,436.8,2.65,3.4,3.0,2.65,0,4,-78.32648,0.2,-84.65103,6.12455,0.67439
