,time,ghi,sea,temp,RH,wind,ppt,Discharge,alb,vp_a,LW_in,SW_global,press,SW_direct,SW_diffuse,T_F,e_a
0,2019-01-01 00:00:00,0.0,0.0,-24.977,74.617,0.949,0.0,1000000,0.85,0.0,0.0,0.0,615.685,0.0,0.0,0.0,
1,2019-01-01 01:00:00,0.0,0.0,-25.708,69.909,0.944,0.0,1000000,0.845,0.531,110.539,0.0,615.685,0.0,0.0,0.0,0.52
2,2019-01-01 02:00:00,0.0,0.0,-25.598,66.058,0.947,0.005,1000000,0.85,0.507,109.992,0.0,615.685,0.0,0.0,0.0,0.517
3,2019-01-01 03:00:00,0.0,0.0,-25.213,63.144,0.931,0.005,1000000,0.85,0.502,110.489,0.0,615.685,0.0,0.0,0.0,0.516
4,2019-01-01 04:00:00,0.0,0.0,-23.747,67.967,0.837,0.008,1000000,0.85,0.616,116.385,0.0,615.685,0.0,0.0,0.0,0.531
5,2019-01-01 05:00:00,0.0,0.0,-19.586,65.86,0.824,0.009,1000000,0.85,0.858,130.074,0.0,615.685,0.0,0.0,0.0,0.555
6,2019-01-01 06:00:00,0.0,0.0,-16.324,64.928,0.833,0.011,1000000,0.85,1.114,141.848,0.0,615.685,0.0,0.0,0.0,0.575
7,2019-01-01 07:00:00,0.0,0.0,-14.316,64.272,0.895,0.02,1000000,0.85,1.302,149.463,0.0,615.685,0.0,0.0,0.0,0.587
8,2019-01-01 08:00:00,63.187,0.093,-12.92,63.025,0.998,0.02,1000000,0.85,1.43,154.661,63.187,615.685,50.549,12.637,0.0,0.595
9,2019-01-01 09:00:00,236.347,0.265,-11.981,61.298,0.908,0.025,1000000,0.85,1.5,157.902,236.347,615.685,189.077,47.269,0.0,0.599
10,2019-01-01 10:00:00,392.726,0.409,-11.54,60.712,0.89,0.045,1000000,0.85,1.539,159.519,392.726,615.685,314.181,78.545,0.0,0.601
11,2019-01-01 11:00:00,505.369,0.514,-11.704,62.136,0.789,0.057,1000000,0.85,1.555,159.362,505.369,615.685,404.295,101.074,0.0,0.602
12,2019-01-01 12:00:00,560.898,0.567,-12.189,65.073,0.698,0.062,1000000,0.85,1.566,158.389,560.898,615.685,448.719,112.18,0.0,0.602
13,2019-01-01 13:00:00,553.423,0.56,-12.728,65.0,0.62,0.063,1000000,0.85,1.498,156.133,553.423,615.685,442.739,110.685,0.0,0.599
14,2019-01-01 14:00:00,483.717,0.494,-13.083,65.769,0.626,0.065,1000000,0.85,1.473,154.938,483.717,615.685,386.974,96.743,0.0,0.597
15,2019-01-01 15:00:00,359.295,0.379,-13.596,67.646,0.62,0.071,1000000,0.85,1.453,153.465,359.295,615.685,287.436,71.859,0.0,0.596
16,2019-01-01 16:00:00,195.695,0.227,-14.057,69.073,0.642,0.078,1000000,0.85,1.429,152.052,195.695,615.685,156.556,39.139,0.0,0.595
17,2019-01-01 17:00:00,27.508,0.05,-14.449,69.996,0.647,0.083,1000000,0.85,1.402,150.761,27.508,615.685,22.006,5.502,0.0,0.594
18,2019-01-01 18:00:00,0.0,0.0,-14.736,70.391,0.676,0.082,1000000,0.85,1.377,149.733,0.0,615.685,0.0,0.0,0.0,0.592
19,2019-01-01 19:00:00,0.0,0.0,-14.699,71.064,0.587,0.066,1000000,0.85,1.395,150.085,0.0,615.685,0.0,0.0,0.0,0.593
20,2019-01-01 20:00:00,0.0,0.0,-14.912,70.991,0.582,0.055,1000000,0.85,1.369,149.212,0.0,615.685,0.0,0.0,0.0,0.592
21,2019-01-01 21:00:00,0.0,0.0,-15.203,71.166,0.598,0.045,1000000,0.85,1.34,148.108,0.0,615.685,0.0,0.0,0.0,0.59
22,2019-01-01 22:00:00,0.0,0.0,-15.37,70.952,0.569,0.034,1000000,0.85,1.318,147.385,0.0,615.685,0.0,0.0,0.0,0.589
23,2019-01-01 23:00:00,0.0,0.0,-15.583,71.082,0.533,0.043,1000000,0.85,1.297,146.584,0.0,615.685,0.0,0.0,0.0,0.587
24,2019-01-02 00:00:00,0.0,0.0,-15.81,71.561,0.562,0.054,1000000,0.85,1.281,145.834,0.0,615.685,0.0,0.0,0.0,0.586
25,2019-01-02 01:00:00,0.0,0.0,-14.858,72.331,0.564,0.0,1000000,0.848,1.401,149.827,0.0,615.685,0.0,0.0,0.0,0.594
26,2019-01-02 02:00:00,0.0,0.0,-14.948,71.96,0.561,0.04,1000000,0.85,1.384,149.358,0.0,615.685,0.0,0.0,0.0,0.593
27,2019-01-02 03:00:00,0.0,0.0,-14.746,70.731,0.526,0.036,1000000,0.85,1.383,149.796,0.0,615.685,0.0,0.0,0.0,0.593
28,2019-01-02 04:00:00,0.0,0.0,-13.696,70.698,0.438,0.03,1000000,0.85,1.506,154.027,0.0,615.685,0.0,0.0,0.0,0.599
29,2019-01-02 05:00:00,0.0,0.0,-11.807,75.157,0.305,0.023,1000000,0.85,1.865,163.311,0.0,615.685,0.0,0.0,0.0,0.617
30,2019-01-02 06:00:00,0.0,0.0,-9.625,67.794,0.046,0.028,1000000,0.85,2.001,170.334,0.0,615.685,0.0,0.0,0.0,0.623
31,2019-01-02 07:00:00,0.0,0.0,-9.049,63.627,0.077,0.016,1000000,0.85,1.965,171.329,0.0,615.685,0.0,0.0,0.0,0.621
32,2019-01-02 08:00:00,62.751,0.093,-8.245,62.547,0.429,0.028,1000000,0.85,2.057,174.484,62.751,615.685,50.201,12.55,0.0,0.625
33,2019-01-02 09:00:00,236.168,0.265,-7.843,59.372,0.767,0.064,1000000,0.85,2.014,174.985,236.168,615.685,188.934,47.234,0.0,0.623
34,2019-01-02 10:00:00,392.996,0.41,-7.799,58.975,0.833,0.06,1000000,0.85,2.008,175.014,392.996,615.685,314.397,78.599,0.0,0.623
35,2019-01-02 11:00:00,506.162,0.515,-8.623,60.485,0.549,0.12,1000000,0.85,1.931,171.971,506.162,615.685,404.93,101.232,0.0,0.619
36,2019-01-02 12:00:00,562.231,0.569,-9.626,67.057,0.476,0.159,1000000,0.85,1.979,170.064,562.231,615.685,449.785,112.446,0.0,0.622
37,2019-01-02 13:00:00,555.256,0.562,-10.205,64.882,0.257,0.1,1000000,0.85,1.829,166.743,555.256,615.685,444.205,111.051,0.0,0.615
38,2019-01-02 14:00:00,485.959,0.496,-11.198,61.531,0.277,0.206,1000000,0.85,1.603,161.26,485.959,615.685,388.767,97.192,0.0,0.604
39,2019-01-02 15:00:00,361.798,0.381,-11.897,63.362,0.237,0.038,1000000,0.85,1.561,159.001,361.798,615.685,289.438,72.36,0.0,0.602
40,2019-01-02 16:00:00,198.218,0.229,-12.719,65.184,0.219,0.042,1000000,0.85,1.503,156.233,198.218,615.685,158.574,39.644,0.0,0.599
41,2019-01-02 17:00:00,29.312,0.052,-13.668,66.221,0.264,0.023,1000000,0.85,1.414,152.707,29.312,615.685,23.449,5.862,0.0,0.594
42,2019-01-02 18:00:00,0.0,0.0,-14.85,65.405,0.327,0.038,1000000,0.85,1.268,147.72,0.0,615.685,0.0,0.0,0.0,0.585
43,2019-01-02 19:00:00,0.0,0.0,-15.627,68.326,0.383,0.016,1000000,0.85,1.242,145.587,0.0,615.685,0.0,0.0,0.0,0.584
44,2019-01-02 20:00:00,0.0,0.0,-16.314,68.974,0.41,0.014,1000000,0.85,1.184,143.117,0.0,615.685,0.0,0.0,0.0,0.58
45,2019-01-02 21:00:00,0.0,0.0,-17.162,70.754,0.42,0.014,1000000,0.85,1.132,140.389,0.0,615.685,0.0,0.0,0.0,0.577
46,2019-01-02 22:00:00,0.0,0.0,-17.842,71.924,0.422,0.013,1000000,0.85,1.086,138.147,0.0,615.685,0.0,0.0,0.0,0.573
47,2019-01-02 23:00:00,0.0,0.0,-18.507,73.383,0.447,0.025,1000000,0.85,1.048,136.059,0.0,615.685,0.0,0.0,0.0,0.571
