,time,ghi,sea,temp,RH,wind,ppt,Discharge,alb,vp_a,LW_in,SW_global,press,SW_direct,SW_diffuse,T_F,e_a
0,2019-01-01 00:00:00,0.0,0.0,-27.71,68.948,1.428,0.0,1000000,0.85,0.0,0.0,0.0,851.911,0.0,0.0,0.0,
1,2019-01-01 01:00:00,0.0,0.0,-27.073,66.684,1.459,0.0,1000000,0.845,0.447,105.588,0.0,851.911,0.0,0.0,0.0,0.508
2,2019-01-01 02:00:00,0.0,0.0,-26.451,64.859,1.484,0.002,1000000,0.85,0.461,107.064,0.0,851.911,0.0,0.0,0.0,0.51
3,2019-01-01 03:00:00,0.0,0.0,-25.92,63.62,1.515,0.002,1000000,0.85,0.474,108.403,0.0,851.911,0.0,0.0,0.0,0.512
4,2019-01-01 04:00:00,0.0,0.0,-25.424,62.889,1.531,0.002,1000000,0.85,0.49,109.764,0.0,851.911,0.0,0.0,0.0,0.514
5,2019-01-01 05:00:00,0.0,0.0,-24.95,62.583,1.522,0.001,1000000,0.85,0.509,111.175,0.0,851.911,0.0,0.0,0.0,0.517
6,2019-01-01 06:00:00,0.0,0.0,-24.568,62.774,1.515,0.001,1000000,0.85,0.528,112.434,0.0,851.911,0.0,0.0,0.0,0.519
7,2019-01-01 07:00:00,23.611,0.047,-24.053,62.858,1.501,0.001,1000000,0.85,0.554,114.104,23.611,851.911,18.889,4.722,0.0,0.523
8,2019-01-01 08:00:00,219.91,0.258,-23.919,64.767,1.501,0.0,1000000,0.848,0.578,115.027,219.91,851.911,175.928,43.982,0.0,0.526
9,2019-01-01 09:00:00,453.06,0.477,-23.884,67.217,1.522,0.0,1000000,0.843,0.601,115.753,453.06,851.911,362.448,90.612,0.0,0.529
10,2019-01-01 10:00:00,679.694,0.701,-23.786,69.031,1.543,0.0,1000000,0.838,0.623,116.515,679.694,851.911,543.755,135.939,0.0,0.531
11,2019-01-01 11:00:00,875.282,0.928,-24.95,75.598,1.52,0.0,1000000,0.833,0.615,114.217,875.282,851.911,700.226,175.056,0.0,0.531
12,2019-01-01 12:00:00,1021.588,1.154,-25.086,76.595,1.516,0.0,1000000,0.828,0.615,113.99,1021.588,851.911,817.271,204.318,0.0,0.531
13,2019-01-01 13:00:00,1105.759,1.367,-25.184,76.733,1.492,0.0,1000000,0.823,0.611,113.702,1105.759,851.911,884.607,221.152,0.0,0.53
14,2019-01-01 14:00:00,1120.589,1.434,-25.081,76.673,1.473,0.0,1000000,0.817,0.616,114.023,1120.589,851.911,896.471,224.118,0.0,0.531
