time,temp,RH,wind,tcc,SW_global,Discharge
2018-12-31 19:00:00,-26.808,70.218,0.792,1.0,0.0,1000000
2018-12-31 20:00:00,-26.592,69.026,0.856,0.999,0.0,1000000
2018-12-31 21:00:00,-25.745,68.47,0.817,0.999,0.0,1000000
2018-12-31 22:00:00,-25.607,68.501,0.8,1.0,0.0,1000000
2018-12-31 23:00:00,-25.102,68.08,0.822,1.0,0.0,1000000
2019-01-01 00:00:00,-24.03,68.646,0.801,1.0,0.0,1000000
2019-01-01 01:00:00,-23.746,68.804,0.788,0.978,0.0,1000000
2019-01-01 02:00:00,-23.556,69.546,0.782,0.951,0.0,1000000
2019-01-01 03:00:00,-23.165,68.718,0.787,0.908,0.0,1000000
2019-01-01 04:00:00,-22.789,70.895,0.778,0.846,0.0,1000000
2019-01-01 05:00:00,-22.281,72.659,0.834,0.745,0.0,1000000
2019-01-01 06:00:00,-23.813,82.754,0.786,0.803,0.0,1000000
2019-01-01 07:00:00,-24.216,85.395,0.835,0.819,0.0,1000000
2019-01-01 08:00:00,-24.521,86.481,0.837,0.898,0.0,1000000
2019-01-01 09:00:00,-24.731,81.564,0.698,0.926,0.0,1000000
2019-01-01 10:00:00,-24.712,79.937,0.611,0.9,0.0,1000000
2019-01-01 11:00:00,-24.118,78.259,0.55,0.848,0.0,1000000
2019-01-01 12:00:00,-22.793,74.578,0.491,0.819,0.0,1000000
2019-01-01 13:00:00,-22.061,73.157,0.516,0.638,0.0,1000000
2019-01-01 14:00:00,-21.498,72.152,0.557,0.53,0.0,1000000
2019-01-01 15:00:00,-21.228,70.918,0.636,0.414,0.0,1000000
2019-01-01 16:00:00,-20.985,70.164,0.607,0.282,0.0,1000000
2019-01-01 17:00:00,-21.974,74.431,0.683,0.006,0.0,1000000
2019-01-01 18:00:00,-22.01,73.423,0.655,0.0,0.0,1000000
2019-01-01 19:00:00,-21.967,73.421,0.576,0.0,0.0,1000000
2019-01-01 20:00:00,-22.016,73.076,0.587,0.0,0.0,1000000
2019-01-01 21:00:00,-22.089,73.356,0.54,0.0,0.0,1000000
2019-01-01 22:00:00,-21.676,71.738,0.469,0.0,0.0,1000000
2019-01-01 23:00:00,-21.091,69.895,0.46,0.0,0.0,1000000
2019-01-02 00:00:00,-21.698,70.779,0.459,0.003,0.0,1000000
2019-01-02 01:00:00,-22.007,70.433,0.448,0.008,0.0,1000000
2019-01-02 02:00:00,-22.075,68.512,0.452,0.021,0.0,1000000
2019-01-02 03:00:00,-22.205,68.691,0.418,0.155,0.0,1000000
2019-01-02 04:00:00,-22.507,66.634,0.411,0.37,0.0,1000000
2019-01-02 05:00:00,-22.209,64.615,0.501,0.597,0.0,1000000
2019-01-02 06:00:00,-22.309,64.533,0.434,0.515,0.0,1000000
2019-01-02 07:00:00,-22.549,65.635,0.396,0.691,0.0,1000000
2019-01-02 08:00:00,-23.244,66.537,0.367,0.621,0.0,1000000
2019-01-02 09:00:00,-23.065,68.086,0.347,0.658,0.0,1000000
2019-01-02 10:00:00,-23.045,70.331,0.335,0.59,0.0,1000000
2019-01-02 11:00:00,-23.434,70.202,0.354,0.771,0.0,1000000
2019-01-02 12:00:00,-23.852,71.439,0.402,0.688,0.0,1000000
2019-01-02 13:00:00,-24.795,73.602,0.494,0.739,0.0,1000000
2019-01-02 14:00:00,-24.936,75.973,0.517,0.588,0.0,1000000
2019-01-02 15:00:00,-24.279,77.081,0.507,0.567,0.0,1000000
2019-01-02 16:00:00,-23.699,80.953,0.476,0.513,0.0,1000000
2019-01-02 17:00:00,-23.893,80.001,0.479,0.515,0.0,1000000
2019-01-02 18:00:00,-24.816,83.06,0.553,0.399,0.0,1000000
2019-01-02 19:00:00,-24.618,83.538,0.557,0.541,0.0,1000000
2019-01-02 20:00:00,-24.504,84.209,0.55,0.519,0.0,1000000
2019-01-02 21:00:00,-24.662,85.424,0.46,0.494,0.0,1000000
2019-01-02 22:00:00,-24.77,82.968,0.36,0.616,0.0,1000000
2019-01-02 23:00:00,-25.372,87.224,0.299,0.656,0.0,1000000
2019-01-03 00:00:00,-26.871,89.698,0.241,0.736,0.0,1000000
2019-01-03 01:00:00,-27.887,81.115,0.287,0.793,0.0,1000000
2019-01-03 02:00:00,-28.795,76.213,0.335,0.859,0.0,1000000
2019-01-03 03:00:00,-29.18,75.177,0.366,0.863,0.0,1000000
2019-01-03 04:00:00,-29.615,75.183,0.427,0.884,0.0,1000000
2019-01-03 05:00:00,-30.789,75.959,0.426,0.855,0.0,1000000
2019-01-03 06:00:00,-30.596,76.634,0.425,0.873,0.0,1000000
2019-01-03 07:00:00,-30.349,77.451,0.428,0.869,0.0,1000000
2019-01-03 08:00:00,-30.245,77.018,0.438,0.898,0.0,1000000
2019-01-03 09:00:00,-30.413,77.853,0.422,0.747,0.0,1000000
2019-01-03 10:00:00,-29.991,76.137,0.445,0.705,0.0,1000000
2019-01-03 11:00:00,-29.535,73.813,0.47,0.425,0.0,1000000
2019-01-03 12:00:00,-29.149,72.536,0.513,0.224,0.0,1000000
2019-01-03 13:00:00,-28.513,71.531,0.554,0.176,0.0,1000000
2019-01-03 14:00:00,-28.262,71.554,0.581,0.143,0.0,1000000
2019-01-03 15:00:00,-28.914,72.466,0.588,0.154,0.0,1000000
2019-01-03 16:00:00,-28.893,72.722,0.607,0.138,0.0,1000000
