time,temp,RH,ppt,wind,SW_global,LW_in,press,missing_type
2019-12-01 00:00:00,-4.344,36.1,0.0,0.948,-2.0,183.829,644.835,-
2019-12-01 01:00:00,-4.384,30.76,0.0,0.836,-0.05,181.763,644.977,-
2019-12-01 02:00:00,-4.274,27.69,0.0,0.664,15.983,181.696,644.907,-
2019-12-01 03:00:00,-1.179,27.48,0.0,0.814,272.9,189.125,645.936,-
2019-12-01 04:00:00,1.673,29.5,0.0,1.558,516.85,206.099,646.401,-
2019-12-01 05:00:00,3.202,27.7,0.0,1.61,657.033,216.116,645.924,-
2019-12-01 06:00:00,4.157,29.82,0.0,2.421,735.267,222.317,645.656,-
2019-12-01 07:00:00,4.263,37.49,0.0,3.07,740.967,225.969,645.199,-
2019-12-01 08:00:00,4.408,48.92,0.0,2.846,670.3,230.199,644.691,-
2019-12-01 09:00:00,4.034,57.21,0.0,2.807,536.217,231.067,644.722,-
2019-12-01 10:00:00,2.832,67.05,0.0,2.304,356.633,239.484,644.701,-
2019-12-01 11:00:00,0.254,84.9,0.0,1.137,66.15,254.424,644.995,-
2019-12-01 12:00:00,-0.724,90.9,0.0,0.218,0.583,283.455,644.839,-
2019-12-01 13:00:00,-1.174,94.6,0.0,0.107,-1.2,244.74,645.215,-
2019-12-01 14:00:00,-2.12,97.6,0.0,0.185,-1.15,248.535,645.5,-
2019-12-01 15:00:00,-2.277,97.6,0.0,0.129,-0.033,300.229,645.757,-
2019-12-01 16:00:00,-2.832,86.9,0.0,0.278,-1.05,258.522,645.425,-
2019-12-01 17:00:00,-3.067,68.14,0.0,0.832,-2.0,206.782,645.408,-
2019-12-01 18:00:00,-2.662,64.72,0.0,0.842,-2.0,204.614,645.337,-
2019-12-01 19:00:00,-3.336,60.95,0.0,1.186,-1.783,201.267,645.001,-
2019-12-01 20:00:00,-3.299,60.51,0.0,0.884,-1.917,199.698,644.838,-
2019-12-01 21:00:00,-3.81,55.04,0.0,1.081,-1.967,196.61,644.63,-
2019-12-01 22:00:00,-3.295,51.09,0.0,0.995,-1.8,194.451,644.19,-
2019-12-01 23:00:00,-4.054,49.37,0.0,1.052,-2.0,192.342,644.248,-
2019-12-02 00:00:00,-3.884,46.44,0.0,1.216,-2.0,190.177,644.404,-
2019-12-02 01:00:00,-4.387,40.56,0.0,1.23,-0.283,186.8,644.859,-
2019-12-02 02:00:00,-4.318,37.7,0.0,0.775,15.867,184.071,644.817,-
2019-12-02 03:00:00,-1.464,23.98,0.0,0.899,228.983,189.82,645.432,-
2019-12-02 04:00:00,1.195,31.45,0.0,1.578,515.233,201.379,645.616,-
2019-12-02 05:00:00,1.686,35.84,0.0,1.76,656.567,210.133,645.095,-
