,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,h_f,a,vp_a,cld,Discharge
0,2020-01-01 00:00:00,0.0,-9.953,70.542,2.703,0.0,0.0,0.0,782.184,,226.569,5.0,0.35,0.0,0,10
1,2020-01-01 01:00:00,0.0,-9.947,71.89,2.617,0.0,0.0,0.0,781.996,,223.088,5.0,0.35,2.062,0,10
2,2020-01-01 02:00:00,0.0,-10.66,74.072,2.652,0.0,0.0,0.0,782.224,,227.945,5.0,0.35,2.008,0,10
3,2020-01-01 03:00:00,0.041,-12.19,78.21,2.694,0.306,1.835,0.0,782.344,,212.781,5.0,0.35,1.875,0,10
4,2020-01-01 04:00:00,0.198,-12.12,78.238,2.59,21.006,51.704,0.0,782.604,,221.747,5.0,0.35,1.886,0,10
5,2020-01-01 05:00:00,0.329,-10.385,69.296,2.195,116.393,100.521,0.0,782.654,,209.615,5.0,0.35,1.92,0,10
6,2020-01-01 06:00:00,0.423,-10.044,70.754,1.909,223.946,146.326,0.0,782.801,,201.008,5.0,0.35,2.014,0,10
7,2020-01-01 07:00:00,0.469,-7.89,70.382,1.664,286.938,152.178,0.0,782.162,,231.715,5.0,0.35,2.373,0,10
8,2020-01-01 08:00:00,0.462,-5.132,63.412,1.491,254.951,193.404,0.0,781.809,,219.924,5.0,0.35,2.644,0,10
9,2020-01-01 09:00:00,0.404,-3.622,56.199,1.301,239.15,177.304,0.0,781.539,,215.578,5.0,0.35,2.626,0,10
10,2020-01-01 10:00:00,0.3,-4.529,65.79,1.326,105.419,199.114,0.0,781.454,,245.067,5.0,0.35,2.871,0,10
11,2020-01-01 11:00:00,0.162,-4.293,60.547,1.459,62.449,127.662,0.0,781.539,,222.233,5.0,0.35,2.69,0,10
12,2020-01-01 12:00:00,0.0,-2.966,62.599,1.709,5.063,43.054,0.0,781.638,,238.542,5.0,0.35,3.072,0,10
13,2020-01-01 13:00:00,0.0,-2.538,60.647,1.994,0.0,0.0,0.0,781.874,,239.111,5.0,0.35,3.073,0,10
14,2020-01-01 14:00:00,0.0,-2.87,60.809,2.11,0.0,0.0,0.0,781.832,,229.354,5.0,0.35,3.006,0,10
15,2020-01-01 15:00:00,0.0,-5.442,67.61,2.119,0.0,0.0,0.0,781.996,,233.911,5.0,0.35,2.753,0,10
16,2020-01-01 16:00:00,0.0,-5.996,68.268,2.062,0.0,0.0,0.0,782.169,,226.172,5.0,0.35,2.665,0,10
17,2020-01-01 17:00:00,0.0,-6.826,70.788,2.021,0.0,0.0,0.0,782.097,,228.451,5.0,0.35,2.592,0,10
18,2020-01-01 18:00:00,0.0,-6.516,67.536,2.022,0.0,0.0,0.0,782.048,,233.87,5.0,0.35,2.533,0,10
19,2020-01-01 19:00:00,0.0,-6.453,67.185,2.011,0.0,0.0,0.0,781.878,,217.34,5.0,0.35,2.532,0,10
20,2020-01-01 20:00:00,0.0,-6.824,66.863,1.871,0.0,0.0,0.0,781.833,,225.313,5.0,0.35,2.449,0,10
21,2020-01-01 21:00:00,0.0,-6.239,65.271,1.763,0.0,0.0,0.0,781.769,,235.751,5.0,0.35,2.501,0,10
22,2020-01-01 22:00:00,0.0,-7.329,73.93,1.724,0.0,0.0,0.0,781.641,,237.421,5.0,0.35,2.604,0,10
23,2020-01-01 23:00:00,0.0,-6.491,73.948,1.391,0.0,0.0,0.0,781.622,,248.953,5.0,0.35,2.779,0,10
24,2020-01-02 00:00:00,0.0,-6.416,71.456,1.653,0.0,0.0,0.0,781.511,,240.759,5.0,0.35,2.701,0,10
25,2020-01-02 01:00:00,0.0,-5.982,69.983,1.854,0.0,0.0,0.0,782.05,,242.557,5.0,0.35,2.734,0,10
26,2020-01-02 02:00:00,0.0,-5.2,68.471,1.84,0.0,0.0,0.0,781.985,,245.924,5.0,0.35,2.84,0,10
27,2020-01-02 03:00:00,0.04,-4.252,66.066,1.723,0.039,1.991,0.0,782.035,,244.891,5.0,0.35,2.944,0,10
28,2020-01-02 04:00:00,0.198,-4.117,63.792,1.606,4.237,58.797,0.0,782.649,,242.64,5.0,0.35,2.872,0,10
29,2020-01-02 05:00:00,0.329,-3.375,63.367,1.428,12.112,154.878,0.0,782.908,,246.306,5.0,0.35,3.016,0,10
30,2020-01-02 06:00:00,0.423,-3.21,63.688,0.771,27.718,230.419,0.0,782.958,,249.404,5.0,0.35,3.069,0,10
31,2020-01-02 07:00:00,0.47,-3.256,65.248,0.4,135.456,252.684,0.0,782.828,,242.184,5.0,0.35,3.134,0,10
32,2020-01-02 08:00:00,0.464,-2.428,67.344,0.51,62.144,278.495,0.0,782.278,,261.827,5.0,0.35,3.44,0,10
33,2020-01-02 09:00:00,0.406,-3.522,73.429,0.59,69.069,238.744,0.0,782.194,,263.146,5.0,0.35,3.457,0,10
34,2020-01-02 10:00:00,0.302,-3.742,72.787,0.25,65.074,158.742,0.0,782.657,,263.118,5.0,0.35,3.371,0,10
35,2020-01-02 11:00:00,0.164,-3.087,73.683,0.664,20.627,126.625,0.0,783.071,,258.273,5.0,0.35,3.584,0,10
36,2020-01-02 12:00:00,0.001,-2.789,76.88,0.388,9.77,32.233,0.0,783.571,,255.367,5.0,0.35,3.823,0,10
37,2020-01-02 13:00:00,0.0,-2.197,77.406,0.988,0.0,0.007,0.0,783.84,,261.572,5.0,0.35,4.023,0,10
38,2020-01-02 14:00:00,0.0,-2.795,79.52,1.059,0.0,0.0,0.0,783.774,,252.571,5.0,0.35,3.953,0,10
39,2020-01-02 15:00:00,0.0,-2.283,77.297,1.255,0.0,0.0,0.0,783.956,,253.638,5.0,0.35,3.991,0,10
40,2020-01-02 16:00:00,0.0,-1.953,75.729,1.256,0.0,0.0,0.0,784.006,,259.058,5.0,0.35,4.007,0,10
41,2020-01-02 17:00:00,0.0,-2.447,76.985,1.119,0.0,0.0,0.0,783.916,,244.734,5.0,0.35,3.927,0,10
42,2020-01-02 18:00:00,0.0,-2.347,76.662,1.206,0.0,0.0,0.0,783.932,,242.775,5.0,0.35,3.94,0,10
43,2020-01-02 19:00:00,0.0,-2.575,76.382,1.23,0.0,0.0,0.0,784.014,,230.408,5.0,0.35,3.86,0,10
44,2020-01-02 20:00:00,0.0,-2.508,73.777,1.228,0.0,0.0,0.0,784.013,,249.909,5.0,0.35,3.747,0,10
45,2020-01-02 21:00:00,0.0,-2.382,71.081,1.162,0.0,0.0,0.0,783.904,,246.36,5.0,0.35,3.644,0,10
46,2020-01-02 22:00:00,0.0,-2.092,68.076,0.766,0.0,0.0,0.0,783.941,,259.116,5.0,0.35,3.565,0,10
