,level_0,index,When,T_a,RH,v_a,SW_direct,SW_diffuse,LW_in,p_a,Prec
0,0,0,2020-01-01 00:00:00,-9.953,70.542,2.703,0.0,0.0,226.569,782.184,0.0
1,1,1,2020-01-01 00:15:00,-9.9515,70.879,2.6814999999999998,0.0,0.0,225.69875,782.137,0.0
2,2,2,2020-01-01 00:30:00,-9.95,71.21600000000001,2.66,0.0,0.0,224.8285,782.0899999999999,0.0
3,3,3,2020-01-01 00:45:00,-9.9485,71.553,2.6385,0.0,0.0,223.95825,782.043,0.0
4,4,4,2020-01-01 01:00:00,-9.947,71.89,2.617,0.0,0.0,223.088,781.996,0.0
5,5,5,2020-01-01 01:15:00,-10.12525,72.4355,2.62575,0.0,0.0,224.30225,782.053,0.0
6,6,6,2020-01-01 01:30:00,-10.3035,72.981,2.6345,0.0,0.0,225.5165,782.11,0.0
7,7,7,2020-01-01 01:45:00,-10.48175,73.5265,2.64325,0.0,0.0,226.73075,782.167,0.0
8,8,8,2020-01-01 02:00:00,-10.66,74.072,2.652,0.0,0.0,227.945,782.224,0.0
9,9,9,2020-01-01 02:15:00,-11.0425,75.1065,2.6625,0.0765,0.45875,224.154,782.254,0.0
10,10,10,2020-01-01 02:30:00,-11.425,76.14099999999999,2.673,0.153,0.9175,220.363,782.2840000000001,0.0
11,11,11,2020-01-01 02:45:00,-11.8075,77.1755,2.6835,0.22949999999999998,1.37625,216.572,782.3140000000001,0.0
12,12,12,2020-01-01 03:00:00,-12.19,78.21,2.694,0.306,1.835,212.781,782.344,0.0
13,13,13,2020-01-01 03:15:00,-12.1725,78.217,2.668,5.481,14.30225,215.0225,782.4090000000001,0.0
14,14,14,2020-01-01 03:30:00,-12.155,78.22399999999999,2.642,10.655999999999999,26.7695,217.264,782.474,0.0
15,15,15,2020-01-01 03:45:00,-12.1375,78.231,2.6159999999999997,15.830999999999998,39.23675,219.5055,782.539,0.0
16,16,16,2020-01-01 04:00:00,-12.12,78.238,2.59,21.006,51.704,221.747,782.604,0.0
17,17,17,2020-01-01 04:15:00,-11.68625,76.0025,2.49125,44.85275,63.90825,218.714,782.6165000000001,0.0
18,18,18,2020-01-01 04:30:00,-11.2525,73.767,2.3925,68.6995,76.1125,215.681,782.629,0.0
19,19,19,2020-01-01 04:45:00,-10.81875,71.53150000000001,2.2937499999999997,92.54625,88.31675,212.64800000000002,782.6415,0.0
20,20,20,2020-01-01 05:00:00,-10.385,69.296,2.195,116.393,100.521,209.615,782.654,0.0
21,21,21,2020-01-01 05:15:00,-10.29975,69.66050000000001,2.1235,143.28125,111.97225,207.46325000000002,782.69075,0.0
22,22,22,2020-01-01 05:30:00,-10.214500000000001,70.025,2.052,170.1695,123.42349999999999,205.31150000000002,782.7275,0.0
23,23,23,2020-01-01 05:45:00,-10.12925,70.3895,1.9805,197.05775,134.87475,203.15975,782.7642500000001,0.0
24,24,24,2020-01-01 06:00:00,-10.044,70.754,1.909,223.946,146.326,201.008,782.801,0.0
25,25,25,2020-01-01 06:15:00,-9.5055,70.661,1.84775,239.694,147.789,208.68475,782.64125,0.0
26,26,26,2020-01-01 06:30:00,-8.967,70.56800000000001,1.7865,255.442,149.252,216.3615,782.4815000000001,0.0
27,27,27,2020-01-01 06:45:00,-8.4285,70.47500000000001,1.72525,271.19,150.715,224.03825,782.3217500000001,0.0
28,28,28,2020-01-01 07:00:00,-7.89,70.382,1.664,286.938,152.178,231.715,782.162,0.0
29,29,29,2020-01-01 07:15:00,-7.2005,68.6395,1.62075,278.94124999999997,162.4845,228.76725,782.07375,0.0
30,30,30,2020-01-01 07:30:00,-6.510999999999999,66.897,1.5775000000000001,270.9445,172.791,225.8195,781.9855,0.0
31,31,31,2020-01-01 07:45:00,-5.8214999999999995,65.1545,1.5342500000000001,262.94775,183.0975,222.87175000000002,781.89725,0.0
